,hydro,lignite,wind_onshore,demand,s_l,s_r
0,0.0,154.61,0.0,405.0,376.34999999999997,0.0
1,0.0,154.66,0.0,380.0,273.89688697029993,0.0
2,0.0,154.61,0.0,354.0,234.91567414248465,0.0
3,0.0,154.99,0.0,337.0,341.7,0.0
4,0.0,155.32,0.0,330.0,210.186931741853,0.0
5,0.0,154.66,0.0,306.28742251006855,401.51,0.0
6,0.0,31.65322340759358,0.0,342.0,123.02281992313874,0.0
7,0.0,155.49,0.0,305.3764409016536,411.03,0.0
8,0.0,155.1,0.0,407.0,436.96000000000004,0.0
9,0.0,154.55,0.0,439.0,40.14610945612932,0.0
10,0.0,60.091548625681476,0.0,453.0,453.58000000000004,0.0
11,0.0,154.72,0.0,454.0,451.84,0.0
12,0.0,155.27,0.0,448.0,448.21000000000004,0.0
13,0.0,153.89,0.0,335.4315195243405,295.3760375022422,0.0
14,0.0,139.77185720183144,0.0,446.0,414.90906083983043,0.0
15,0.0,147.31954957540387,0.0,118.32620362623835,507.61,0.0
16,0.0,179.41,0.0,414.33125537689375,504.49,0.0
17,0.0,115.69844798650978,0.0,353.10225666823845,323.7040570921601,0.0
18,0.0,204.93,0.0,284.5203858474278,441.83,0.0
19,0.0,205.7,0.0,472.0,350.62,0.0
20,0.0,206.31,0.0,462.0,109.2022486314824,0.0
21,0.0,206.47,0.0,445.0,336.19,0.0
22,0.0,205.81,0.0,435.0,363.74,0.0
23,0.0,179.41,0.0,404.0,256.43,0.0
24,0.0,65.04182941759808,0.0,370.0,204.06,0.0
25,0.0,178.2,0.0,166.81552971333073,54.24356360683908,0.0
26,0.0,178.15,0.0,324.0,129.51999999999998,0.0
27,0.0,171.6271217244787,0.0,314.0,131.04000000000002,0.0
28,0.0,128.66613233395805,0.0,197.11714659275302,73.89794295341468,0.0
29,0.0,107.14002482919246,0.0,329.0,126.08000000000001,0.0
30,0.73,205.76,0.0,345.0,159.43,0.0
31,192.06,138.51028900938473,0.0,382.0,55.207812296567305,0.0
32,88.5731389916932,123.57061384375356,0.0,23.6805238532904,117.80000000000001,0.0
33,116.11450290440523,186.4230199782931,0.0,284.2286151237647,134.09000000000003,0.0
34,210.82,205.87,0.0,53.45505316994195,90.52406737719981,0.0
35,314.56,206.09,0.0,453.0,61.140000000000015,0.0
36,109.63326790140057,205.98,0.0,444.0,5.083157769145206,0.0
37,87.59317816437122,206.25,0.0,400.27932823656556,29.78999999999992,0.0
38,315.4,206.91,0.0,437.0,44.36000000000004,0.0
39,209.93119166168847,207.02,0.0,21.678726514197372,137.20999999999995,0.0
40,211.33194757413352,205.81,0.0,206.87937952878198,166.74999999999997,0.0
41,314.59,206.69,0.0,354.0307566812005,153.42000000000002,0.0
42,312.35,206.42,0.0,482.0,175.22000000000003,0.0
43,206.66,205.32,0.0,474.0,165.10999999999999,0.0
44,71.35,72.8145904747668,0.0,464.0,151.3955430987766,0.0
45,0.0,178.37,0.0,447.0,178.6505585924625,0.0
46,0.0,40.733866517451446,0.0,26.43240131922148,214.04973294527002,0.0
47,0.0,154.5,0.0,409.0,301.65999999999997,0.0
48,0.0,154.55,0.0,369.0,146.75155299077704,0.0
49,0.0,114.20212545425659,0.0,338.0,229.01,0.0
50,0.0,154.94,0.0,321.0,221.83,0.0
51,0.0,154.94,0.0,311.0,156.22165812386876,0.0
52,0.0,155.27,0.0,318.0,63.41286049063929,0.0
53,0.0,154.66,0.0,344.0,229.5,0.0
54,0.8816781123077259,154.72,0.0,380.0,299.8,0.0
55,81.72,174.3,0.0,425.0,336.0,0.0
56,200.81,204.66,0.0,186.01667588359894,271.77,0.0
57,159.92,206.97,0.0,457.0,277.13,0.0
58,160.69,207.08,0.0,448.0,55.60421355506897,0.0
59,138.81,207.13,0.0,439.0,242.65,0.0
60,140.73,207.02,0.0,321.85059644289794,62.62627810091471,0.0
61,142.18,43.768794744403564,0.0,427.0,258.27,0.0
62,228.06,207.24,0.0,434.0,250.76,0.0
63,243.05,206.03,0.0,467.0,152.86276019904798,0.0
64,271.74,205.59,0.0,499.0,289.28999999999996,0.0
65,269.69,99.13873039593699,0.0,501.0,12.876448998575494,0.0
66,295.99,206.2,0.0,499.0,157.5495090742312,0.0
67,0.0,206.2,0.0,485.0,386.70000000000005,0.0
68,0.0,138.57599094159218,0.0,479.0,250.1002907132847,0.0
69,0.0,155.87,0.0,471.0,214.33397235342352,0.0
70,0.0,90.43366093553708,0.0,465.0,380.46000000000004,0.0
71,0.0,177.54,0.0,440.0,322.15000000000003,0.0
72,0.0,178.64,0.0,395.0,296.46000000000004,0.0
73,0.0,178.64,0.0,358.0,195.5612124777119,0.0
74,0.0,178.42,0.0,267.653529944816,276.09000000000003,0.0
75,0.0,177.21,0.0,325.0,256.76,0.0
76,0.0,179.47,0.0,331.0,150.5424074787887,0.0
77,0.0,206.09,0.0,357.0,227.94473921961566,0.0
78,25.360574689995783,207.52,0.0,387.0,223.05566998708665,0.0
79,175.23,207.19,0.0,427.0,82.90382417467774,0.0
80,210.71,205.92,0.0,449.0,268.23,0.0
81,211.35,141.2027933642835,0.0,455.0,239.93,0.0
82,271.14,206.2,0.0,90.40117165575256,187.48000000000002,0.0
83,144.7560185878995,206.2,0.0,117.80014811391463,5.7119922291137835,0.0
84,290.9,88.21570853292478,0.0,431.0,163.94,0.0
85,290.75,206.47,0.0,431.0,19.239320940004223,0.0
86,290.99,207.9,0.0,435.0,162.15,0.0
87,145.8608888906467,61.5736251645903,0.0,467.0,214.49,0.0
88,300.91,206.47,0.0,500.0,228.38,0.0
89,300.2,206.58,0.0,501.0,208.70000000000002,0.0
90,176.44518086010592,180.71727527882712,0.0,166.9633228497121,108.41616295575727,0.0
91,209.47,206.53,0.0,80.06630900023822,133.25073228621633,0.0
92,17.064504938144744,207.19,0.0,412.44118577441236,283.08,0.0
93,0.0,207.3,0.0,143.34146322362233,242.0741517575296,0.0
94,0.0,207.13,0.0,446.0,84.4638649003651,0.0
95,0.0,181.34,0.0,351.89614024006767,345.93,0.0
96,0.0,175.9983448235563,0.0,371.0,332.15999999999997,0.0
97,0.0,37.767584912613444,0.0,342.0,309.78,0.0
98,0.0,120.16755073891002,0.0,319.0,311.3,0.0
