,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
0,316.0,71.0,150.0,3345.0,122.0,0.0,0.0,832.0,6414.0,0.0,992.9000000000001
1,316.0,70.0,149.0,3275.0,122.0,0.0,0.0,926.0,6153.0,0.0,1084.6899999999991
2,316.0,69.0,149.0,3167.0,122.0,0.0,0.0,692.0,5907.0,0.0,1051.000000000001
3,316.0,72.0,149.0,3160.0,122.0,0.0,0.0,453.0,5918.0,0.0,806.6899999999991
4,316.0,75.0,149.0,3330.0,122.0,0.0,0.0,321.0,6033.0,0.0,808.8500000000004
5,316.0,92.0,149.0,3357.0,122.0,0.0,0.0,323.0,6160.0,0.0,790.6799999999996
6,316.0,93.0,149.0,3424.0,122.0,0.0,8.0,332.0,6624.0,0.0,717.28
7,316.0,86.0,149.0,3496.0,122.0,0.0,21.0,304.0,6958.0,0.0,374.8699999999992
8,316.0,86.0,149.0,3504.0,122.0,0.0,66.0,276.0,7382.0,0.0,238.96000000000004
9,316.0,84.0,149.0,3526.0,122.0,0.0,125.0,337.0,7750.0,0.0,229.87000000000035
10,316.0,81.0,149.0,3762.0,122.0,0.0,169.0,523.0,7972.0,0.0,306.5500000000004
11,316.0,80.0,149.0,3741.0,122.0,0.0,184.0,781.0,7876.0,0.0,454.0799999999999
12,316.0,79.0,149.0,3698.0,122.0,0.0,165.0,994.0,7804.0,0.0,498.8400000000006
13,316.0,102.0,150.0,3697.0,122.0,0.0,115.0,885.0,7618.0,0.0,334.5399999999993
14,316.0,325.0,150.0,3797.0,122.0,0.0,56.0,739.0,7700.0,0.0,238.38000000000034
15,316.0,360.0,151.0,4020.0,122.0,0.0,18.0,495.0,8181.0,413.2399999999999,0.0
16,316.0,604.0,152.0,4993.0,122.0,0.0,8.0,233.0,8445.0,910.79,0.0
17,316.0,640.0,152.0,4736.0,122.0,0.0,8.0,197.0,8379.0,787.8099999999995,0.0
18,316.0,749.0,152.0,4219.0,122.0,0.0,0.0,221.0,7950.0,607.8800000000001,0.0
19,316.0,794.0,152.0,3907.0,122.0,0.0,0.0,215.0,7508.0,294.8600000000006,0.0
20,316.0,795.0,152.0,3827.0,122.0,0.0,0.0,187.0,7138.0,569.4300000000005,0.0
21,316.0,811.0,152.0,3772.0,122.0,0.0,0.0,150.0,7128.0,565.27,0.0
22,316.0,811.0,152.0,3483.0,122.0,0.0,0.0,135.0,6641.0,0.0,540.6799999999997
23,316.0,634.0,152.0,3255.0,122.0,0.0,0.0,234.0,6317.0,0.0,1067.2400000000002
24,316.0,523.0,152.0,3200.0,122.0,0.0,0.0,337.0,6046.0,0.0,1096.3400000000001
25,316.0,485.0,152.0,3194.0,122.0,0.0,0.0,504.0,5991.0,0.0,1020.0000000000002
26,316.0,472.0,152.0,3183.0,122.0,0.0,0.0,572.0,5975.0,0.0,953.9500000000003
27,316.0,485.0,152.0,3220.0,122.0,0.0,0.0,451.0,6304.0,0.0,832.7799999999999
28,316.0,634.0,152.0,3322.0,122.0,0.0,0.0,484.0,7108.0,0.0,508.7100000000007
29,316.0,878.0,152.0,3634.0,122.0,0.0,0.0,680.0,8140.0,312.3700000000008,0.0
30,316.0,977.0,152.0,5051.0,122.0,0.0,8.0,1113.0,9033.0,666.1899999999991,0.0
31,316.0,949.0,152.0,5542.0,122.0,0.0,24.0,1606.0,9464.0,804.2400000000007,0.0
32,316.0,912.0,152.0,5741.0,122.0,0.0,78.0,1918.0,9701.0,950.7300000000005,0.0
33,316.0,896.0,152.0,5689.0,122.0,0.0,153.0,2037.0,9814.0,1063.7699999999995,0.0
34,316.0,925.0,152.0,5129.0,122.0,0.0,208.0,2167.0,9851.0,946.8399999999992,0.0
35,316.0,927.0,152.0,4823.0,122.0,0.0,226.0,2280.0,9678.0,814.9600000000007,0.0
36,320.0,919.0,152.0,5235.0,122.0,0.0,206.0,2156.0,9552.0,788.7,0.0
37,316.0,925.0,152.0,5585.0,122.0,0.0,154.0,2062.0,9532.0,830.2500000000005,0.0
