,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,232.46,1499.9,15.88,4949.54,766.42,0.0,814.39,1100.75,8379.0,320.77000000000044,0.0
1,153.58,1565.88,15.38,4800.17,766.45,0.0,807.19,1108.76,8010.0,37.51999999999953,0.0
2,133.7,1552.23,15.17,4577.33,793.26,0.0,805.8,1026.03,7713.0,0.0,31.280000000000655
3,131.38,1515.33,15.0,4522.49,779.02,0.0,805.33,995.13,7568.0,0.0,668.8799999999987
4,131.26,1529.68,14.74,4528.67,746.83,0.0,785.75,929.69,7579.0,0.0,644.0400000000004
5,131.45,1522.72,14.64,4527.47,793.93,0.0,776.34,867.62,7699.0,0.0,583.7500000000023
6,137.32,1498.67,14.32,4530.06,807.42,0.0,795.43,798.94,7552.0,0.0,110.300000000002
7,156.13,1463.24,14.15,4530.44,794.43,0.12,786.42,786.26,7599.0,0.0,88.86999999999784
8,158.38,1446.04,13.71,4530.88,809.29,89.52,717.01,829.0,7676.0,14.3999999999985,0.0
9,161.39,1399.94,12.89,4529.6,822.18,292.54,781.49,729.87,7810.0,24.139999999999418,0.0
10,157.79,1450.76,12.71,4636.49,803.32,435.62,780.57,680.3,8167.0,81.64000000000078,0.0
11,159.56,1435.79,80.56,4861.5,807.0,241.55,746.9,621.67,8655.0,331.8899999999994,0.0
12,158.19,1567.86,54.47,4948.92,856.0,138.76,585.55,539.66,8831.0,210.04000000000065,0.0
13,159.87,1492.79,50.95,4946.24,924.43,62.79,409.75,416.89,8755.0,0.0,106.89999999999964
14,166.82,1562.65,137.88,4948.41,929.89,25.82,168.66,378.49,8791.0,0.0,126.16000000000099
15,165.11,1713.31,397.49,4948.79,953.8,2.44,54.46,263.82,8901.0,0.0,193.76999999999816
16,163.57,1807.42,1105.45,4949.65,961.57,0.0,231.39,184.21,9272.0,0.0,228.3599999999974
17,162.09,1602.56,839.28,4949.84,946.99,0.0,136.27,262.69,9291.0,0.0,11.720000000001619
18,158.01,1503.52,377.58,4946.31,857.34,0.0,323.08,549.08,9217.0,0.0,122.29000000000065
19,153.38,1370.85,139.62,4942.96,723.68,0.0,774.17,610.53,9020.0,0.0,5.030000000000882
20,128.83,1449.7,204.72,4944.64,688.65,0.0,675.53,642.68,8818.0,14.790000000000646,0.0
21,137.54,1422.87,369.71,4944.35,715.58,0.0,808.39,618.0,9119.0,0.9099999999998545,0.0
22,134.23,1436.85,154.75,4945.42,785.07,0.0,810.31,688.69,9188.0,0.0,65.94999999999959
23,132.98,1392.67,26.48,4946.02,854.36,0.0,812.41,693.16,8662.0,0.0,184.34999999999923
24,135.74,1404.9,19.55,4946.91,845.0,0.0,812.43,698.53,8215.0,0.0,745.5000000000018
25,134.77,1368.69,19.46,4908.43,833.59,0.0,812.66,766.08,7888.0,0.0,864.7200000000009
26,152.41,1344.88,19.38,4849.36,824.92,0.0,808.41,790.6,7738.0,0.0,924.5
27,158.01,1392.68,19.34,4843.71,784.52,0.0,803.13,754.54,7849.0,0.0,978.0199999999995
28,172.87,1497.33,19.19,4900.83,787.6,0.0,772.84,687.91,8193.0,0.0,721.99
29,210.95,1509.91,19.08,4951.7,818.93,0.0,743.28,566.52,8949.0,63.72999999999979,0.0
30,243.95,1723.61,18.57,4951.67,927.73,0.0,759.61,461.84,9578.0,10.629999999997892,0.0
31,253.56,1769.32,19.03,4947.89,964.56,0.04,713.8,374.19,10182.0,83.98999999999796,0.0
32,277.36,2113.28,699.42,4961.6,978.24,58.63,450.85,309.92,10522.0,92.64999999999964,0.0
33,354.68,2310.61,968.08,4952.19,1007.45,245.86,388.55,259.43,10600.0,0.0,50.61000000000058
34,369.8,2355.27,1077.49,4948.16,1036.79,325.03,151.46,167.97,10827.0,0.0,67.65000000000146
35,369.28,2390.91,659.84,4949.5,1056.99,265.57,237.31,187.49,10982.0,0.0,45.469999999997526
36,369.23,2292.63,132.0,4949.66,1057.09,207.75,384.48,224.26,10966.0,30.0,0.0
37,369.99,2157.06,88.275,4951.54,1010.37,129.24,622.27,242.92,10945.0,16.875,0.0
38,373.34,2337.34,43.94,4952.64,993.79,58.77,722.67,457.01,10983.0,0.0,5.16999999999986
39,373.6,2205.65,55.98,4946.67,1044.52,4.25,779.3,495.85,11123.0,136.2900000000006,0.0
40,371.39,2258.01,417.08,4948.19,1039.98,0.0,809.14,624.05,11582.0,322.830000000001,0.0
41,374.31,2062.44,520.04,4953.6,955.35,0.0,808.59,888.18,11536.0,267.7099999999991,0.0
42,372.63,1817.07,247.58,4943.88,905.48,0.0,805.79,1003.41,11073.0,178.03000000000065,0.0
43,366.33,1712.49,23.06,4941.01,831.33,0.0,803.02,987.04,10527.0,153.61000000000058,0.0
44,278.69,1685.44,72.74,4943.18,804.93,0.0,795.59,863.62,10069.0,117.76999999999975,0.0
45,253.19,1702.16,54.295,4939.59,784.58,0.0,809.99,902.81,10189.0,177.52500000000077,0.0
46,252.8,1668.13,36.39,4938.26,793.97,0.0,804.7,980.55,10054.0,219.62000000000145,0.0
47,258.31,1671.1,20.56,4937.6,727.09,0.0,811.34,1071.12,9514.0,143.31000000000142,0.0
48,288.49,1612.5,20.33,4936.94,734.72,0.0,785.27,1164.9,8957.0,0.0,719.0399999999992
49,323.62,1627.54,20.04,4930.8,761.01,0.0,312.75,1233.28,8656.0,0.0,397.9000000000015
50,370.87,1634.57,19.78,4928.65,802.2,0.0,716.54,1172.64,8467.0,0.0,617.29
51,370.46,1649.75,19.02,4923.86,747.1,0.0,801.76,1124.77,8584.0,0.0,786.9700000000004
52,367.63,1673.51,16.95,4931.32,780.42,0.0,501.58,896.72,8931.0,0.0,429.59999999999854
53,364.3,1658.11,18.0,4934.42,800.89,0.0,700.57,914.59,9717.0,63.0399999999981,0.0
54,368.26,1674.08,81.4,4932.7,840.07,0.0,668.96,933.56,10484.0,430.8200000000015,0.0
55,363.76,1610.22,132.64,4933.45,852.94,0.02,626.6,982.41,11125.0,471.52999999999884,0.0
56,366.3,1612.45,319.08,4934.35,856.53,65.22,286.29,955.42,11304.0,438.3199999999997,0.0
