,hydro,nuclear,solar,wind_onshore,demand,s_l,s_r
0,464.85,2594.8,0.21,26.4,7311.0,1318.1699999999998,0.0
1,486.56,2810.3,0.21,29.13,7484.0,951.1199999999997,0.0
2,437.15,2813.4,0.21,28.91,7459.0,1022.25,0.0
3,474.78,1864.2,0.21,28.72,7260.0,1982.6499999999996,0.0
4,423.6,2264.4,0.22,25.79,7285.0,1674.3199999999997,0.0
5,434.65,2816.7,0.22,24.8,7205.0,1083.7400000000002,0.0
6,403.16,2816.4,0.22,22.62,7106.0,1133.5900000000001,0.0
7,426.51,2817.0,1.71,19.28,7186.0,1132.1299999999992,0.0
8,419.86,2818.0,22.19,21.77,7334.0,1101.1000000000004,0.0
9,413.73,2817.5,64.71,24.39,7429.0,1251.4899999999996,0.0
10,429.93,2815.0,98.17,19.72,7431.0,1467.6800000000003,0.0
11,488.26,2769.0,107.21,25.75,7828.0,1675.2699999999993,0.0
12,528.53,2763.8,96.19,26.3,7709.0,1836.0399999999995,0.0
13,473.24,2764.0,54.76,21.91,7491.0,1778.13,0.0
14,489.33,2803.0,16.79,21.3,7461.0,1658.03,0.0
15,494.68,2813.6,2.14,21.24,7727.0,1530.450000000001,0.0
16,544.88,2814.5,0.22,22.31,7939.0,1372.1000000000004,0.0
17,1475.03,2817.6,0.22,21.9,7070.0,1462.4199999999996,0.0
18,1255.61,2814.7,0.22,22.94,7259.0,1494.9300000000003,0.0
19,924.76,2812.3,0.22,22.99,6786.0,1189.1599999999999,0.0
20,479.28,2814.3,0.22,22.8,7381.0,955.4099999999999,0.0
21,426.5,2813.6,0.22,22.79,7649.0,889.9000000000015,0.0
22,399.64,2814.2,0.22,22.26,7605.0,755.8199999999997,0.0
23,385.95,2815.6,0.25,20.68,7482.0,893.8600000000006,0.0
24,375.9,2819.0,0.24,22.61,7478.0,953.7700000000004,0.0
25,385.45,2819.4,0.24,22.4,7443.0,1022.0,0.0
26,385.31,2818.5,0.25,22.13,7275.0,957.1199999999999,0.0
