,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
0,261.78,230.08,354.46,107.57,1827.36,2247.16,319.75,265.18,0.0,123.19,5530.0,0.0,178.3700000000008
1,262.45,229.08,352.04,107.54,1807.24,2249.56,317.49,265.95,0.0,125.48,5496.0,0.0,489.4200000000001
2,261.55,226.27,353.35,107.49,1788.46,2250.69,313.76,265.53,0.0,139.5,5337.0,0.0,1023.4699999999993
3,261.64,230.36,353.83,107.5,1813.09,2250.3,317.84,264.92,0.0,142.27,5293.0,0.0,1071.6600000000008
4,261.75,235.08,353.23,107.42,1855.45,2251.0,319.32,264.2,0.0,128.59,5284.0,0.0,1063.8499999999995
5,261.5,238.92,349.88,112.89,1712.25,2250.92,305.56,265.81,0.0,124.22,5294.0,0.0,1064.8200000000006
6,261.74,248.58,354.39,126.03,1755.76,2251.08,316.2,267.13,1.52,140.99,5315.0,0.0,777.2199999999993
7,261.23,229.61,354.89,123.82,1660.84,2253.4,302.93,266.87,9.92,148.14,5343.0,0.0,283.3299999999999
8,261.19,230.64,360.48,118.3,1682.79,2254.18,310.1,267.25,49.9,175.56,5796.0,0.0,170.84000000000106
9,261.9,249.72,362.76,116.81,1819.24,2253.55,331.8,268.86,111.56,166.94,6217.0,0.0,160.22000000000025
10,262.1,247.09,370.48,115.78,1843.09,2251.28,334.23,270.98,146.77,174.5,6406.0,0.830000000000382,0.0
11,262.34,248.63,373.3,115.12,1846.39,2251.95,340.21,272.25,189.59,163.51,6498.0,0.0,101.71999999999935
12,262.17,245.31,360.03,113.14,1810.62,2301.71,339.95,271.49,165.97,142.64,6555.0,0.0,25.63000000000102
13,263.83,244.8,352.24,110.06,1806.72,2382.03,342.99,272.45,115.33,147.02,6517.0,41.89999999999873,0.0
14,262.31,243.65,357.49,116.5,1815.14,2446.11,340.65,271.84,31.1,100.28,6612.0,0.0,31.820000000000164
15,263.5,247.77,358.31,430.97,1893.21,2447.16,342.91,272.18,1.78,69.22,6852.0,47.48000000000002,0.0
16,264.86,256.68,357.65,1107.69,2105.98,2447.55,352.05,274.85,0.0,50.8,6855.0,59.63999999999987,0.0
17,265.08,257.86,358.92,901.47,2314.03,2447.94,348.9,275.81,0.0,50.69,6848.0,60.84999999999991,0.0
18,265.4,259.25,362.15,1007.89,2495.67,2448.78,358.56,277.3,0.0,57.88,6894.0,63.8199999999988,0.0
19,265.53,258.26,358.31,832.93,2637.3,2448.78,360.94,274.86,0.0,66.5,6774.0,66.80999999999904,0.0
20,265.63,244.62,356.96,614.37,2705.63,2451.84,352.43,274.89,0.0,87.13,6459.0,61.3199999999988,0.0
21,265.36,238.8,363.28,374.46,2736.22,2454.5,340.22,271.26,0.0,78.94,6322.0,64.08999999999969,0.0
22,264.74,231.33,361.5,352.42,2422.51,2456.5,327.07,269.96,0.0,86.79,5985.0,63.20000000000073,0.0
23,262.77,224.46,359.17,115.73,2178.91,2459.48,308.9,268.8,0.0,95.11,5744.0,0.0,791.5699999999993
24,262.88,228.35,361.68,107.52,2241.74,2457.91,310.89,269.42,0.0,76.92,5831.0,0.0,1062.1
25,262.84,229.77,358.8,107.52,2220.36,2457.12,311.05,269.27,0.0,74.71,5783.0,0.0,1052.7099999999996
26,263.21,236.02,361.17,107.5,2263.61,2457.11,315.99,268.28,0.0,82.39,5681.0,0.0,1034.380000000001
27,262.9,235.5,361.48,107.49,2260.43,2458.6,311.72,267.98,0.0,107.02,5846.0,0.0,862.9400000000011
28,263.65,249.36,370.67,112.67,2619.71,2458.26,337.71,268.41,0.0,132.17,6438.0,0.0,535.1799999999992
29,266.3,278.98,369.7,139.75,2994.16,2456.11,358.9,276.02,0.0,146.95,7457.0,38.90000000000123,0.0
30,266.72,283.47,379.09,430.38,3279.76,2455.05,360.55,276.95,1.48,148.42,8130.0,82.5,0.0
31,267.03,285.06,410.96,819.15,3466.3,2452.59,383.13,277.4,18.15,149.73,8447.0,81.73999999999933,0.0
32,267.1,282.72,480.97,1020.27,3565.74,2454.47,381.11,274.11,112.45,163.64,8763.0,78.31999999999948,0.0
33,267.32,280.33,525.14,846.62,3894.7,2454.31,379.22,274.12,209.7,160.46,8857.0,82.34999999999945,0.0
34,267.55,278.32,527.21,888.36,4201.78,2451.85,383.26,276.03,208.52,147.99,8941.0,73.07000000000016,0.0
35,267.61,274.81,519.41,362.65,4265.98,2450.18,380.96,277.38,209.47,137.52,9085.0,0.0,22.28999999999644
36,267.8,275.24,518.94,337.79,4433.9,2449.5,381.42,278.51,200.77,134.36,9104.0,0.0,29.400000000002137
37,267.71,272.93,511.37,361.73,4385.65,2450.79,363.86,275.02,142.01,126.89,8991.0,74.05000000000007,0.0
