,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,4764.0,2407.0,1609.0,2414.0,6810.0,4754.0,868.0,147.0,0.0,2999.0,30106.0,44142.3469,2716.9968999999965,0.0
1,4766.0,2398.0,1683.0,2113.0,6766.0,4591.0,822.0,146.0,0.0,3096.0,30773.0,42825.4286,1538.9885999999988,0.0
2,4771.0,2414.0,1679.0,1663.0,6728.0,4889.0,813.0,146.0,0.0,3137.0,31641.0,42276.4694,479.4394000000011,0.0
3,4777.0,2411.0,1678.0,1660.0,6710.0,4696.0,841.0,146.0,0.0,3212.0,31529.0,42205.551,0.0,162.128999999999
4,4769.0,2393.0,1682.0,1656.0,6728.0,4831.0,866.0,146.0,0.0,3281.0,32063.0,41956.898,0.0,1464.771999999999
5,4781.0,2304.0,1689.0,2054.0,6666.0,4763.0,861.0,146.0,0.0,3291.0,31447.0,41102.6837,0.0,1640.2163
6,4794.0,2267.0,1679.0,2039.0,6579.0,4639.0,863.0,146.0,0.0,3282.0,30918.0,41524.1429,0.0,1601.3871000000017
7,4810.0,2251.0,1508.0,2030.0,6507.0,4616.0,862.0,146.0,173.0,3285.0,30311.0,42384.0612,0.0,1047.1588000000047
8,4849.0,2415.0,1516.0,2031.0,6537.0,4658.0,854.0,146.0,1565.0,3277.0,30811.0,44587.6327,0.0,613.1672999999992
9,4866.0,2493.0,1544.0,2105.0,6570.0,4857.0,854.0,146.0,4037.0,3196.0,31738.0,47347.3265,69.07650000000285,0.0
10,4863.0,2506.0,1564.0,2051.0,6595.0,4826.0,858.0,146.0,6000.0,3253.0,32300.0,50052.8163,1014.8462999999992,0.0
11,4850.0,2520.0,1595.0,2505.0,6358.0,5138.0,857.0,146.0,6409.0,3288.0,31596.0,51191.3367,2122.4766999999993,0.0
12,4851.0,2538.0,1631.0,2001.0,6347.0,6298.0,862.0,146.0,5685.0,3286.0,29291.0,50203.9286,2548.118599999998,0.0
13,4861.0,2547.0,1633.0,2042.0,6366.0,7285.0,860.0,146.0,4028.0,3280.0,25578.0,49271.9898,1443.7998000000025,0.0
14,4867.0,2559.0,1807.0,2040.0,6897.0,7966.0,858.0,147.0,1548.0,4231.0,22183.0,49479.5612,2641.9911999999968,0.0
15,4867.0,2831.0,1786.0,3107.0,9120.0,8595.0,888.0,153.0,41.0,4006.0,19523.0,51626.0,4197.040000000001,0.0
16,4877.0,2943.0,1850.0,4561.0,10710.0,8905.0,902.0,162.0,0.0,3687.0,18211.0,55181.1837,4270.933700000001,0.0
17,4881.0,3004.0,1914.0,6877.0,11266.0,9019.0,922.0,167.0,0.0,3256.0,17723.0,56019.1939,3999.933899999998,0.0
18,4878.0,3205.0,1753.0,6272.0,11755.0,9089.0,962.0,191.0,0.0,3104.0,17339.0,54557.1633,3719.6533,0.0
19,4855.0,3293.0,1985.0,5598.0,12141.0,9104.0,962.0,192.0,0.0,2858.0,16499.0,51957.5306,3364.650599999999,0.0
20,4847.0,3310.0,2039.0,4612.0,12551.0,9112.0,968.0,192.0,0.0,2556.0,16488.0,50253.2245,3563.874499999998,0.0
21,4826.0,3289.0,2010.0,2869.0,13019.0,9110.0,971.0,192.0,0.0,2346.0,16059.0,49510.6429,3554.9228999999996,0.0
22,4802.0,3290.0,1939.0,2317.0,12914.0,9128.0,967.0,192.0,0.0,1945.0,15814.0,46437.898,1217.8280000000013,0.0
23,4760.0,3216.0,1916.0,1703.0,12440.0,9026.0,975.0,189.0,0.0,1517.0,15486.0,43401.6939,0.0,132.21610000000146
24,4764.0,3242.0,1867.0,1693.0,11325.0,9041.0,966.0,182.0,0.0,1612.0,15233.0,41505.7551,0.0,1187.3248999999978
25,4747.0,3246.0,1857.0,1690.0,10692.0,9109.0,953.0,180.0,0.0,1533.0,14756.0,40825.3469,0.0,1543.8031000000028
26,4747.0,3412.0,1825.0,1689.0,9999.0,9178.0,947.0,179.0,0.0,1701.0,14639.0,41174.0714,0.0,730.758600000001
27,4735.0,3711.0,1918.0,2077.0,11042.0,9161.0,963.0,186.0,0.0,1811.0,15245.0,42762.2143,0.0,928.0456999999988
28,4744.0,3944.0,2289.0,2227.0,12318.0,9188.0,984.0,190.0,0.0,1934.0,15575.0,46416.7449,1209.284899999997,0.0
29,4749.0,4374.0,2887.0,2451.0,14388.0,9198.0,1011.0,206.0,0.0,2165.0,16224.0,53270.9184,3355.198400000001,0.0
30,4817.0,5095.0,3640.0,3542.0,15036.0,9277.0,1064.0,209.0,0.0,2146.0,16569.0,59575.4286,5075.098600000001,0.0
31,4855.0,5297.0,4665.0,4953.0,15352.0,9322.0,1051.0,211.0,81.0,2163.0,16310.0,63559.4184,5004.848399999995,0.0
32,4864.0,5555.0,5347.0,5302.0,15945.0,9345.0,1057.0,211.0,907.0,1942.0,16074.0,65474.0408,4700.410799999994,0.0
33,4854.0,5556.0,5612.0,5445.0,16231.0,9345.0,1065.0,211.0,2203.0,1762.0,15546.0,67298.0306,4597.970600000004,0.0
34,4855.0,5560.0,5753.0,5925.0,16486.0,9343.0,1066.0,211.0,3158.0,2266.0,15437.0,68870.4898,4816.6597999999885,0.0
35,4861.0,5537.0,5655.0,4984.0,16499.0,9302.0,1067.0,210.0,3432.0,2725.0,16317.0,69242.4796,5011.539600000007,0.0
36,4863.0,5476.0,6097.0,3780.0,16443.0,9293.0,1067.0,210.0,3245.0,2573.0,15553.0,68485.7143,5219.02430000001,0.0
37,4867.0,5454.0,6580.0,4124.0,16325.0,9298.0,1064.0,210.0,2391.0,2290.0,14061.0,67397.3571,5316.527099999996,0.0
38,4885.0,5488.0,6903.0,4464.0,16326.0,9291.0,1065.0,210.0,869.0,2538.0,13466.0,67080.7755,5418.525500000009,0.0
39,4886.0,5549.0,6720.0,4706.0,16381.0,9222.0,1069.0,210.0,41.0,2994.0,13671.0,68223.2755,6052.075500000001,0.0
40,4883.0,5563.0,6909.0,5909.0,16576.0,9292.0,1073.0,210.0,0.0,3186.0,14885.0,71119.5816,5851.481600000011,0.0
41,4871.0,5643.0,6654.0,4060.0,16544.0,9212.0,1073.0,210.0,0.0,3670.0,16092.0,70815.8469,6401.8969,0.0
42,4866.0,5469.0,5540.0,2527.0,16516.0,9062.0,1070.0,210.0,0.0,4102.0,17731.0,69242.3265,5501.066499999992,0.0
43,4855.0,4929.0,3794.0,2662.0,16108.0,9103.0,1067.0,210.0,0.0,4213.0,19276.0,65286.7653,5344.365300000005,0.0
44,4849.0,4438.0,2835.0,2385.0,15048.0,9187.0,1067.0,208.0,0.0,4215.0,20615.0,61848.1429,5137.672900000007,0.0
45,4835.0,4140.0,2650.0,3231.0,12453.0,9183.0,1060.0,206.0,0.0,4259.0,22103.0,59518.5306,5024.020599999998,0.0
46,4821.0,3905.0,2410.0,2487.0,9757.0,8857.0,1039.0,197.0,0.0,4288.0,24289.0,55391.2449,4390.184899999998,0.0
47,4778.0,3074.0,2189.0,2133.0,8500.0,7981.0,972.0,181.0,0.0,4308.0,26736.0,52325.2041,1702.0341000000008,0.0
48,4773.0,2935.0,2117.0,1700.0,7824.0,6432.0,965.0,163.0,0.0,4379.0,28623.0,50384.0306,384.7405999999992,0.0
49,4758.0,2933.0,2034.0,1693.0,7729.0,5926.0,970.0,162.0,0.0,4407.0,30304.0,49573.2143,0.0,133.23569999999927
50,4736.0,2931.0,2012.0,1698.0,7578.0,5595.0,961.0,162.0,0.0,4421.0,32504.0,50260.9388,0.0,499.98119999999835
51,4708.0,2925.0,2027.0,1845.0,7576.0,5606.0,957.0,162.0,0.0,4443.0,34245.0,51975.7755,0.0,958.1944999999978
52,4731.0,2951.0,2207.0,1846.0,7653.0,6166.0,964.0,162.0,0.0,4237.0,34589.0,54872.0102,938.300199999996,0.0
53,4734.0,3225.0,2355.0,1921.0,8407.0,7331.0,1028.0,180.0,0.0,4133.0,35846.0,60935.4184,2515.4284000000025,0.0
54,4789.0,3579.0,2817.0,3122.0,9224.0,8360.0,1081.0,207.0,0.0,4177.0,35085.0,66280.5612,4949.901199999997,0.0
55,4801.0,3644.0,2877.0,4812.0,10045.0,8548.0,1070.0,208.0,57.0,4178.0,34870.0,69929.6429,5209.532900000007,0.0
56,4781.0,3942.0,2843.0,4771.0,10776.0,8795.0,1083.0,208.0,715.0,4177.0,34077.0,71290.1531,4906.673099999996,0.0
57,4790.0,4231.0,2790.0,4952.0,12539.0,8893.0,1085.0,208.0,1444.0,4169.0,33781.0,72605.7551,4486.655099999996,0.0
58,4801.0,4395.0,2760.0,4254.0,12836.0,8900.0,1073.0,208.0,2344.0,3685.0,34324.0,73709.5102,4634.800200000005,0.0
59,4804.0,4291.0,2611.0,3794.0,12751.0,8919.0,1074.0,208.0,2928.0,3596.0,34058.0,73442.949,4678.178999999993,0.0
