,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,587.0,236.0,254.0,175.0,0.0,917.03,1551.51,3146.5,0.0,235.28999999999996
1,502.0,256.0,280.0,186.0,0.0,815.06,1465.03,3024.7,0.0,259.02000000000044
2,488.0,259.0,259.0,179.0,0.0,854.22,1494.61,2931.4,0.0,191.2400000000007
3,482.0,251.0,266.0,182.0,0.0,936.6,1406.38,2878.9,0.0,142.91999999999962
4,390.0,204.0,254.0,184.0,0.0,917.27,1423.11,2896.9,0.0,66.92000000000007
5,385.0,211.0,230.0,180.0,0.0,959.88,1501.38,2998.2,16.06999999999971,0.0
6,417.0,222.0,283.0,185.0,0.0,965.99,1470.82,3082.9,0.0,59.01999999999998
7,431.98,226.68,242.48,172.86,0.91,1019.8,1537.58,3218.5,77.97999999999956,0.0
8,469.78,243.48,236.35,160.46,11.2,1087.62,1637.26,3511.1,142.19000000000096,0.0
9,582.28,252.48,272.51,166.96,35.87,1139.75,2003.35,3774.3,167.77000000000044,0.0
10,575.92,280.72,326.25,167.44,54.12,1121.65,2026.74,4097.0,182.13999999999942,0.0
11,570.84,277.44,302.24,168.88,58.55,1136.89,2106.35,4121.9,198.52999999999884,0.0
12,660.8,258.8,251.25,160.6,59.87,1137.57,2367.24,4014.3,277.3500000000008,0.0
13,641.04,256.64,254.38,163.28,48.22,1129.89,2275.46,4140.7,194.98000000000047,0.0
14,615.62,279.92,303.25,175.34,19.19,1123.73,2110.87,4005.2,68.70999999999958,0.0
15,633.98,346.68,486.49,184.86,0.9,1096.24,1845.83,4204.8,0.0,1.4700000000002547
16,639.0,361.0,716.0,194.0,0.0,1099.52,1588.51,4493.3,0.43000000000029104,0.0
17,705.0,358.0,737.0,190.0,0.0,1062.02,1485.56,4384.9,14.0,0.0
18,712.0,377.0,603.0,199.0,0.0,1038.52,1473.49,4138.2,0.0,44.8100000000004
19,693.0,336.0,369.0,181.0,0.0,965.93,1489.09,3897.0,57.820000000000164,0.0
20,656.0,319.0,305.0,179.0,0.0,1003.1,1467.44,3652.6,71.48999999999978,0.0
21,599.0,348.0,306.0,183.0,0.0,904.29,1368.64,3404.1,0.0,37.32000000000062
22,560.0,334.0,368.0,184.0,0.0,830.32,1293.31,3148.1,0.0,39.55000000000064
23,527.0,259.0,464.0,178.0,0.0,790.03,1223.7,3003.5,38.22000000000071,0.0
24,526.0,238.0,506.0,177.0,0.0,769.68,1125.38,2907.1,42.48000000000002,0.0
25,526.0,230.0,496.0,177.0,0.0,687.69,1065.32,2853.0,31.550000000000182,0.0
26,526.0,242.0,506.0,178.0,0.0,589.29,963.61,2857.3,4.660000000000764,0.0
27,528.0,244.0,497.0,172.0,0.0,577.9,900.85,2909.6,0.0,44.27000000000044
28,549.0,262.0,537.0,178.0,0.0,487.93,874.46,3112.9,0.0,29.20999999999958
29,642.0,277.0,592.0,191.0,0.0,459.05,903.62,3657.5,0.0,120.69999999999993
30,684.0,383.0,815.0,195.0,0.0,539.86,904.41,4286.7,0.0,92.82999999999998
31,732.96,645.36,1108.97,208.72,1.28,512.69,882.24,4695.0,0.0,21.410000000000537
32,748.42,706.72,1013.12,203.94,29.12,503.15,828.49,4829.1,10.990000000000009,0.0
33,747.08,706.28,1021.77,199.56,95.8,471.42,783.36,4929.4,38.99999999999909,0.0
34,748.0,706.0,912.09,202.0,150.17,477.05,665.54,4928.4,76.67999999999961,0.0
35,750.54,703.64,822.31,198.78,173.15,510.98,562.57,4840.9,77.8799999999992,0.0
36,740.14,709.24,847.65,201.98,142.66,532.52,629.68,4799.9,40.40999999999963,0.0
37,742.34,708.44,1021.42,202.38,82.86,430.61,724.56,4766.6,23.949999999999363,0.0
38,744.56,733.96,1064.71,203.92,21.94,487.51,648.34,4722.4,0.0,0.5800000000006094
39,745.98,726.68,1194.49,200.86,1.03,444.66,699.53,5006.3,0.0,28.38999999999919
40,712.0,730.0,1247.0,204.0,0.0,436.16,818.33,5400.8,28.38000000000079,0.0
41,692.0,714.0,1307.0,202.0,0.0,558.78,801.29,5200.0,71.26000000000045,0.0
42,640.0,702.0,990.0,199.0,0.0,679.89,834.91,4801.3,0.0,37.88000000000011
43,615.0,645.0,629.0,192.0,0.0,679.32,923.33,4416.5,0.0,15.399999999999807
44,581.0,493.0,461.0,189.0,0.0,706.78,1018.77,4129.0,0.0,13.779999999999404
