,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,demand,s_l,s_r
0,855.71,572.87,663.78,1277.0,2790.8,540.03,43.1,923.07,9778.69,1161.5100000000014,0.0
1,858.29,583.34,657.35,1198.8,2790.6,535.25,43.1,911.07,9634.18,1131.8700000000017,0.0
2,874.48,597.69,655.23,1174.5,2791.8,540.4,43.1,924.44,9633.9,1260.4899999999977,0.0
3,869.99,606.35,652.8,1195.1,2792.1,548.65,43.1,866.73,9707.48,1350.5299999999997,0.0
4,860.69,596.94,652.93,1231.0,2792.1,554.5,43.1,862.91,9919.41,1529.3899999999994,0.0
5,850.47,590.92,646.92,1321.2,2792.1,552.59,43.1,828.94,9964.3,1807.0399999999972,0.0
6,862.66,594.66,643.3,1399.2,2791.5,541.43,43.1,798.37,10150.46,1715.039999999999,0.0
7,885.05,589.06,644.55,1389.2,2792.1,543.81,43.1,791.77,10184.09,1817.4200000000008,0.0
8,882.71,578.76,642.56,1300.3,2792.1,544.28,43.1,760.04,10226.24,1919.7399999999986,0.0
9,873.7,567.16,630.54,1354.8,2792.1,542.58,43.1,728.38,10395.05,1716.9699999999993,0.0
10,867.07,571.49,626.39,1409.7,2791.8,542.2,43.1,669.58,10432.06,1686.2600000000002,0.0
11,887.97,574.72,629.18,1431.6,2791.7,547.52,43.1,646.29,10425.19,1705.3899999999987,0.0
12,867.37,584.99,631.28,1546.7,2792.3,552.56,43.1,592.83,10547.72,1742.7699999999986,0.0
13,868.3,606.75,638.02,1702.1,2792.7,559.68,43.1,581.88,10847.29,1717.5000000000011,0.0
14,875.34,599.92,637.41,1774.2,2792.3,559.33,43.1,600.15,11022.25,1720.6100000000006,0.0
15,883.5,587.05,641.99,1894.7,2792.1,563.53,43.1,554.64,11021.11,1655.7299999999996,0.0
16,879.17,583.29,646.82,1946.6,2792.5,552.09,43.1,520.52,11074.88,1523.1399999999994,0.0
17,872.65,595.79,658.24,1968.4,2791.9,549.12,43.1,498.6,11064.12,1583.449999999999,0.0
18,872.74,609.0,660.83,1875.2,2790.8,546.02,43.1,473.56,10849.56,1517.5299999999988,0.0
19,863.11,626.55,653.88,1675.5,2790.8,543.86,43.1,465.84,10465.52,1516.5100000000002,0.0
20,861.6,629.74,648.79,1689.8,2791.7,541.08,43.1,429.75,10731.69,1522.8700000000008,0.0
21,857.21,626.89,645.35,1530.7,2792.2,526.29,43.1,401.67,10541.76,1455.5400000000009,0.0
22,841.8,624.13,641.03,1243.7,2792.0,507.14,43.1,384.88,10136.25,1668.9799999999996,0.0
23,836.64,607.97,637.79,1072.1,2791.9,487.51,43.1,351.87,9849.41,2267.58,0.0
24,822.71,609.3,630.52,1041.6,2792.4,488.34,43.1,315.08,9655.89,2339.759999999999,0.0
25,819.95,607.53,622.61,1076.6,2791.3,492.08,43.1,255.19,9524.9,2278.4600000000005,0.0
26,817.13,602.8,621.53,1116.1,2791.7,494.26,43.1,236.73,9555.4,2372.6500000000005,0.0
27,838.56,604.66,621.66,1245.6,2791.3,496.46,43.1,224.82,9838.15,2460.21,0.0
28,844.7,605.54,639.82,1285.5,2791.6,519.8,43.1,215.11,10608.1,2390.42,0.0
29,863.97,600.75,656.43,1548.3,2792.8,547.56,43.1,188.73,11059.28,2094.680000000002,0.0
30,886.51,601.8,705.37,1829.5,2792.1,557.91,43.1,179.4,11384.07,2001.7399999999998,0.0
31,891.57,610.36,764.56,2019.7,2795.3,560.63,43.1,156.71,11432.82,2018.6800000000003,0.0
32,881.98,588.29,776.43,1989.0,2792.4,632.63,43.1,139.67,11390.6,1727.0100000000002,0.0
33,885.33,600.15,761.16,2029.3,2791.4,572.89,43.1,128.93,11405.88,1732.4599999999973,0.0
34,886.89,598.18,757.62,2055.6,2791.2,571.42,43.1,119.38,11480.22,1823.3099999999995,0.0
35,892.69,596.17,760.41,2018.8,2790.9,576.34,43.1,109.82,11433.67,1679.8500000000004,0.0
36,890.75,590.94,753.16,2015.6,2790.0,571.47,43.1,95.92,11479.85,1712.1299999999992,0.0
37,898.16,580.1,753.75,2047.9,2791.0,565.11,43.1,127.51,11650.77,1549.9500000000007,0.0
38,925.22,657.53,757.18,2144.6,2790.5,569.59,43.1,174.29,11796.26,1705.0100000000002,0.0
39,934.13,731.88,768.25,2279.1,2791.1,601.26,43.1,189.42,11760.06,1748.5199999999986,0.0
40,931.09,735.99,770.67,2279.7,2791.5,616.69,43.1,247.76,11725.42,1819.1000000000004,0.0
41,891.86,651.42,762.85,2068.0,2791.9,594.22,43.1,287.54,11696.58,1665.539999999999,0.0
42,871.02,584.04,758.48,1901.9,2791.7,551.05,43.1,320.67,11502.25,1515.2199999999993,0.0
43,872.0,579.41,757.27,1681.8,2791.0,516.15,43.1,359.37,10973.89,1765.1499999999996,0.0
44,851.73,574.29,752.88,1336.0,2791.7,507.01,43.1,391.25,11124.23,1939.0599999999977,0.0
45,843.3,590.87,741.95,1246.4,2790.5,497.33,42.97,443.12,10922.16,2038.789999999999,0.0
46,816.76,578.37,737.99,1197.3,2791.2,488.49,40.8,528.6,10383.17,2150.209999999999,0.0
47,820.16,579.13,731.95,1229.9,2791.4,474.38,42.62,585.36,9994.76,2301.3600000000006,0.0
48,820.61,574.73,715.93,1156.4,2791.6,473.48,43.0,672.47,9715.02,2376.5199999999995,0.0
49,829.52,570.09,703.9,1076.3,2792.2,472.65,43.0,724.52,9675.39,2398.7299999999996,0.0
50,828.37,571.96,701.38,1054.2,2792.1,469.9,43.0,748.46,9703.11,2408.040000000001,0.0
51,832.01,583.07,696.72,1038.4,2792.6,477.29,43.0,731.57,9960.01,2466.3300000000004,0.0
52,844.39,660.46,695.68,1211.6,2791.5,495.11,43.0,721.18,10741.48,2426.370000000001,0.0
53,859.18,768.39,693.78,1333.8,2792.2,520.6,43.0,687.32,11204.38,2185.3499999999995,0.0
54,886.88,799.74,697.47,1534.4,2792.1,524.92,43.0,662.23,11611.28,2092.610000000001,0.0
55,893.29,795.25,681.08,1692.9,2791.6,517.0,43.0,659.58,11610.57,1908.97,0.0
56,897.94,773.42,682.11,1756.1,2792.6,517.85,43.0,654.97,11424.26,1898.3,0.0
57,900.16,770.36,679.9,1794.7,2792.8,519.87,43.0,626.14,11495.41,1863.059999999999,0.0
58,908.7,755.68,681.22,1961.0,2792.1,528.32,43.0,564.68,11502.73,1953.189999999999,0.0
59,903.67,750.67,685.3,2022.7,2792.5,535.85,43.0,518.86,11410.43,1885.629999999999,0.0
60,901.41,750.46,687.39,2071.2,2792.3,541.38,43.0,449.77,11527.29,1957.9700000000016,0.0
61,912.42,750.62,696.57,2101.3,2793.2,537.73,43.0,394.3,11799.46,1954.8099999999995,0.0
62,903.51,766.19,740.96,2176.8,2792.5,540.47,43.0,428.22,11920.02,1833.7200000000003,0.0
63,905.66,761.2,751.29,2275.6,2791.6,546.22,43.0,422.33,11932.71,1829.6199999999983,0.0
64,907.71,752.03,759.62,2285.6,2792.0,531.24,43.0,420.04,11907.39,2033.9099999999996,0.0
65,905.83,758.52,764.6,2224.7,2791.8,534.28,43.0,405.89,11900.08,2132.7400000000016,0.0
66,912.26,744.99,760.85,2142.5,2791.6,541.25,43.0,384.51,11692.99,2139.699999999999,0.0
67,913.62,743.24,764.15,1944.5,2791.7,541.53,43.0,319.89,11154.11,2088.4300000000003,0.0
68,889.92,689.34,761.67,1738.2,2792.0,539.31,43.0,231.33,11191.35,2126.49,0.0
69,880.42,602.26,754.63,1555.6,2792.1,533.04,43.0,202.98,10909.79,2417.1000000000013,0.0
70,882.92,585.35,750.28,1440.2,2792.1,514.01,43.0,194.1,10506.29,2320.8499999999995,0.0
71,870.2,573.71,750.07,1394.3,2792.5,500.64,43.0,169.27,10084.29,2489.5500000000006,0.0
72,869.09,579.3,749.47,1418.2,2791.5,506.75,43.0,166.21,9877.34,2325.540000000001,0.0
73,861.32,584.2,758.81,1382.4,2791.4,512.39,43.0,159.75,9787.03,2353.34,0.0
74,873.75,579.11,751.32,1378.1,2791.2,513.62,43.0,155.09,9840.03,2298.300000000001,0.0
75,872.92,604.17,750.62,1350.6,2792.0,523.89,43.0,171.2,10082.08,2332.3199999999997,0.0
76,877.91,691.22,752.24,1499.6,2791.6,550.89,43.0,189.8,10968.16,2324.8300000000004,0.0
77,891.07,759.92,749.73,1800.3,2791.1,572.16,43.0,194.67,11367.19,2046.0599999999995,0.0
78,905.18,761.56,755.13,1981.5,2792.2,577.54,43.0,212.7,11719.88,2086.5299999999997,0.0
79,894.41,758.1,755.0,2089.9,2792.4,611.02,43.77,249.21,11743.37,1528.9700000000005,0.0
80,902.84,771.33,746.19,2169.7,2791.4,648.42,43.8,299.07,11641.2,1491.9800000000002,0.0
81,902.9,780.48,739.56,2191.8,2791.3,647.85,43.8,351.67,11679.79,1696.37,0.0
82,910.3,795.75,736.89,2218.9,2791.5,640.43,43.8,384.21,11746.31,1834.5099999999984,0.0
83,920.78,768.4,741.95,2194.4,2791.6,641.6,43.8,432.22,11682.87,1884.08,0.0
84,928.26,757.65,735.19,2241.3,2791.6,645.0,43.8,428.64,11749.57,1811.9599999999991,0.0
85,951.75,756.73,740.46,2271.0,2791.6,667.26,43.8,441.96,11945.29,1731.1800000000003,0.0
86,950.13,761.58,757.2,2259.8,2791.8,673.19,43.8,486.61,12024.22,1749.0299999999988,0.0
87,939.08,759.29,752.99,2318.6,2791.5,666.9,43.8,524.26,11994.9,1874.6400000000012,0.0
88,939.65,762.17,750.79,2208.3,2791.5,621.78,43.8,566.57,11892.97,1718.7399999999998,0.0
89,927.55,765.81,758.08,2046.0,2791.8,587.21,43.8,639.3,11906.58,1705.9199999999983,0.0
90,910.21,768.38,755.18,1997.6,2791.9,569.92,43.8,683.65,11805.63,1821.4599999999973,0.0
91,905.95,752.43,755.86,1946.2,2791.4,557.35,43.8,737.1,11301.83,1786.4599999999991,0.0
92,887.55,659.7,748.18,1815.9,2792.1,552.3,43.8,774.98,11412.48,2022.9799999999996,0.0
93,896.16,578.58,717.97,1612.4,2791.9,548.06,43.8,796.46,11149.06,2399.0199999999986,0.0
94,897.89,570.87,718.05,1404.9,2791.6,526.58,43.8,841.77,10681.7,2503.3700000000017,0.0
95,896.93,592.87,716.73,1398.4,2792.1,518.8,43.8,891.42,10342.73,2411.039999999999,0.0
96,899.85,606.31,717.53,1455.5,2790.9,522.47,43.8,939.03,10129.39,2323.1199999999985,0.0
97,891.35,615.46,719.95,1478.2,2790.6,525.72,43.8,974.83,10035.44,2283.2000000000007,0.0
98,894.77,610.17,720.03,1487.2,2791.3,522.35,43.8,1004.7,10067.91,2236.149999999999,0.0
99,895.64,569.28,724.01,1419.1,2791.7,527.4,43.8,1018.0,10404.98,2460.8300000000004,0.0
100,895.22,623.0,729.37,1498.0,2790.9,534.46,43.8,1017.6,11158.56,2496.999999999998,0.0
101,906.27,705.08,780.56,1757.0,2790.4,547.83,43.8,1040.8,11634.22,2311.1000000000004,0.0
102,910.61,761.28,755.78,1917.5,2791.1,548.76,43.8,1016.3,12043.65,2246.0599999999995,0.0
103,911.37,790.89,742.93,1894.1,2791.5,550.05,43.8,963.49,12082.89,1787.4099999999987,0.0
104,920.82,772.07,736.13,1986.8,2792.1,552.69,43.8,922.57,11958.89,1804.7099999999982,0.0
105,919.37,770.18,734.43,2051.1,2791.7,551.05,43.8,900.68,11932.58,1808.3500000000001,0.0
106,920.73,756.44,732.67,2039.0,2790.9,573.15,43.8,866.98,11826.71,1827.2599999999982,0.0
107,926.69,755.87,731.75,2061.9,2791.4,575.09,43.8,836.56,11832.54,1736.0800000000002,0.0
108,924.71,744.71,738.51,2041.8,2791.6,569.1,43.8,815.17,11837.16,1727.6799999999998,0.0
109,931.65,741.79,744.26,1996.8,2792.5,570.58,43.8,789.51,11980.69,1700.7800000000004,0.0
110,912.83,732.73,746.66,2049.3,2792.1,556.51,43.8,740.66,12102.88,1697.9599999999978,0.0
111,919.72,699.57,746.16,2053.4,2792.7,551.98,43.8,701.2,12038.82,1696.9099999999987,0.0
112,919.87,707.15,742.31,2131.3,2792.1,551.61,43.8,679.4,12013.08,1698.2400000000011,0.0
113,921.32,698.22,741.76,2081.8,2791.0,550.78,43.8,660.96,11950.04,1717.8200000000006,0.0
114,916.1,696.33,739.96,2123.7,2791.6,548.23,43.87,622.78,11602.5,1685.5100000000002,0.0
115,899.72,750.34,727.87,2137.2,2790.7,547.25,43.9,602.35,11095.46,1753.9500000000007,0.0
116,892.49,715.29,720.1,1886.7,2792.2,530.42,43.9,554.37,11156.28,2024.580000000001,0.0
117,889.04,615.74,692.89,1855.8,2792.4,519.82,43.9,510.23,10913.05,2147.6999999999994,0.0
118,891.68,618.68,695.42,1654.4,2792.3,495.84,43.9,460.4,10369.32,2352.270000000001,0.0
119,892.83,630.43,692.72,1550.3,2792.4,488.72,43.9,422.32,10028.65,2174.8900000000003,0.0
120,886.11,645.78,677.86,1457.6,2792.2,506.47,43.9,362.94,9733.44,2170.3500000000017,0.0
121,882.56,633.8,670.13,1420.9,2792.6,505.96,43.9,338.79,9626.87,2231.5500000000015,0.0
122,888.88,630.44,675.03,1411.0,2792.5,507.35,43.9,335.63,9584.63,2239.579999999999,0.0
123,886.42,671.18,677.65,1420.8,2792.3,511.06,43.9,341.61,9662.02,2219.2800000000007,0.0
124,886.63,639.27,677.51,1443.7,2791.8,511.79,43.9,357.03,9850.78,2196.9000000000015,0.0
125,888.58,697.7,675.11,1594.0,2792.0,518.98,43.9,379.72,9964.55,2044.4299999999985,0.0
126,888.96,750.52,686.81,1800.5,2791.7,526.65,43.9,393.88,10291.76,2053.7800000000007,0.0
127,888.44,747.15,706.19,1808.1,2792.1,538.58,43.9,384.01,10337.71,2041.369999999999,0.0
128,885.0,750.29,727.86,1839.3,2792.3,537.99,43.9,378.34,10394.03,1830.5800000000017,0.0
129,891.34,757.52,740.4,1983.3,2792.4,537.73,43.9,384.32,10631.96,1584.21,0.0
130,891.54,770.83,745.6,2027.2,2792.6,541.49,43.9,428.42,10735.89,1462.67,0.0
131,887.63,769.33,746.18,2051.6,2792.6,547.06,43.9,499.43,10702.06,1445.5699999999997,0.0
132,893.3,769.08,749.22,1992.6,2792.4,551.06,43.9,587.52,10777.86,1463.6600000000012,0.0
133,900.73,750.02,748.82,2024.8,2792.5,557.7,43.9,710.4,11067.48,1499.8500000000001,0.0
134,890.87,736.89,754.97,2086.9,2792.2,567.29,43.9,847.63,11425.73,1674.0000000000002,0.0
135,897.37,718.19,765.2,2130.3,2792.5,577.49,43.9,1007.7,11516.0,1534.5699999999997,0.0
136,901.62,716.13,759.09,2133.2,2792.3,595.02,43.9,1140.8,11678.04,1551.2200000000018,0.0
137,922.61,728.35,758.83,2067.0,2792.3,604.52,43.9,1247.0,11652.93,1474.0500000000002,0.0
138,906.17,702.99,761.95,2065.5,2792.1,609.95,43.9,1340.4,11416.04,1391.6900000000023,0.0
139,904.61,698.08,760.23,1938.2,2791.8,612.0,43.9,1395.3,11010.54,1444.010000000002,0.0
140,901.15,705.9,747.7,1963.8,2791.7,606.52,43.9,1448.3,11199.05,1659.5100000000002,0.0
141,885.12,695.85,736.39,1714.2,2791.5,602.63,43.9,1485.4,10989.18,1980.8500000000004,0.0
142,869.17,702.46,765.15,1463.5,2792.2,592.36,43.9,1519.1,10532.31,1960.8600000000013,0.0
143,871.6,694.84,784.4,1396.8,2792.4,602.78,43.9,1518.0,10181.45,2036.8399999999997,0.0
