,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
0,424.0,4977.0,2575.0,1379.0,5510.0,663.0,19.0,3582.0,24580.0,2712.149807692309,0.0
1,315.0,3471.0,1783.0,1112.0,4159.0,499.0,10.0,2791.0,23193.0,6713.823269230768,0.0
2,425.0,4207.0,2254.0,1172.0,4945.0,646.0,19.0,3484.0,21647.0,2308.8557692307695,0.0
3,428.0,3916.0,2225.0,1197.0,4841.0,648.0,19.0,3774.0,20758.0,1718.5794230769243,0.0
4,442.0,4237.0,2425.0,1314.0,4875.0,648.0,19.0,4044.0,20934.0,2069.581538461538,0.0
5,424.0,4572.0,2396.0,1366.0,4994.0,648.0,19.0,4226.0,21903.0,2478.321346153847,0.0
6,406.0,4635.0,2324.0,1449.0,5333.0,648.0,23.0,4291.0,22456.0,2517.9453846153847,0.0
7,423.0,4415.0,2275.0,1620.0,4999.0,647.0,292.0,4417.0,22794.0,2472.684423076924,0.0
8,438.0,4689.0,2368.0,1791.0,5359.0,646.0,805.0,4521.0,24131.0,2546.116538461538,0.0
9,436.0,5021.0,2516.0,2050.0,6349.0,647.0,1275.0,4692.0,25501.0,2254.498846153845,0.0
10,438.0,5361.0,2669.0,2450.0,6434.0,648.0,1633.0,5023.0,27083.0,2503.7567307692298,0.0
11,439.0,5466.0,2669.0,2686.0,6600.0,648.0,2117.0,5076.0,27982.0,2475.197115384617,0.0
12,439.0,5004.0,2650.0,2552.0,6335.0,648.0,1912.0,5034.0,26361.0,2016.1032692307708,0.0
13,432.0,5446.0,2456.0,2578.0,6463.0,648.0,1792.0,4928.0,25894.0,1169.7769230769227,0.0
14,438.0,5543.0,2433.0,2527.0,6902.0,648.0,834.0,5114.0,26030.0,1333.7413461538454,0.0
15,443.0,5479.0,2685.0,3219.0,7151.0,649.0,161.0,5654.0,27409.0,1403.4348076923088,0.0
16,436.0,5576.0,2872.0,3264.0,6809.0,650.0,19.0,6124.0,30612.0,3094.469615384616,0.0
17,440.0,5113.0,3017.0,3458.0,6907.0,649.0,15.0,6308.0,31714.0,2702.1255769230775,0.0
18,439.0,4706.0,3013.0,3592.0,6804.0,648.0,16.0,6292.0,32121.0,2630.0242307692315,0.0
19,437.0,4471.0,2930.0,2757.0,5963.0,648.0,16.0,6178.0,31594.0,3503.751153846155,0.0
20,329.0,3165.0,2132.0,1747.0,4618.0,493.0,9.0,4781.0,30391.0,8102.031730769231,0.0
21,442.0,3929.0,2694.0,1779.0,5346.0,648.0,17.0,6250.0,28409.0,3142.1969230769246,0.0
22,439.0,3755.0,2237.0,1509.0,5169.0,664.0,16.0,6120.0,25875.0,2207.2417307692303,0.0
23,414.0,3663.0,2017.0,1697.0,5472.0,664.0,0.0,5214.0,23484.0,1128.5,0.0
24,419.0,3413.0,1979.0,1732.0,5371.0,663.0,0.0,4850.0,21824.0,889.6699999999983,0.0
25,403.0,3514.0,1978.0,1594.0,5450.0,663.0,0.0,4715.0,20835.0,322.5600000000013,0.0
26,394.0,3631.0,1990.0,1592.0,5245.0,665.0,0.0,4607.0,20458.0,0.0,67.31999999999971
27,398.0,3790.0,2066.0,1594.0,5280.0,668.0,0.0,4382.0,20736.0,0.0,198.52999999999884
28,397.0,3822.0,2041.0,1646.0,5430.0,671.0,0.0,4271.0,22760.0,358.16999999999825,0.0
29,383.0,4374.0,2193.0,1916.0,5987.0,672.0,0.0,4605.0,26842.0,1418.6599999999999,0.0
30,381.0,5771.0,2644.0,2358.0,6561.0,672.0,13.0,4352.0,31357.0,1947.1500000000015,0.0
31,382.0,7072.0,3025.0,3587.0,7312.0,672.0,349.0,4535.0,35813.0,2343.459999999999,0.0
32,384.0,7791.0,3209.0,5014.0,7532.0,674.0,1851.0,4282.0,39272.0,2844.0,0.0
33,385.0,8260.0,3202.0,4572.0,7604.0,671.0,3365.0,3753.0,40195.0,3370.709999999999,0.0
34,391.0,8478.0,3156.0,3716.0,7631.0,670.0,5063.0,3191.0,40804.0,4110.669999999998,0.0
35,382.0,8634.0,3074.0,3407.0,7431.0,671.0,5635.0,3352.0,40161.0,4356.739999999998,0.0
36,384.0,8279.0,3068.0,2790.0,6825.0,672.0,5191.0,4225.0,38943.0,4485.760000000002,0.0
37,384.0,7170.0,3018.0,2688.0,6499.0,671.0,3915.0,5659.0,38650.0,3957.1100000000006,0.0
38,384.0,6981.0,3007.0,2898.0,6715.0,669.0,1628.0,6345.0,38236.0,3262.4100000000035,0.0
39,400.0,7800.0,2856.0,4219.0,7378.0,671.0,168.0,6329.0,39345.0,2951.1200000000026,0.0
40,402.0,8370.0,2843.0,7087.0,7700.0,678.0,0.0,6053.0,42693.0,2706.6900000000023,0.0
41,403.0,8328.0,2843.0,7431.0,7614.0,679.0,0.0,5717.0,42828.0,2864.020000000004,0.0
42,411.0,8216.0,2877.0,6986.0,7603.0,680.0,0.0,5851.0,42163.0,2885.8700000000026,0.0
43,413.0,8052.0,2905.0,4914.0,7486.0,680.0,0.0,5848.0,39767.0,2664.699999999997,0.0
44,412.0,7413.0,2823.0,3471.0,7336.0,676.0,0.0,5740.0,36915.0,2145.9199999999983,0.0
45,414.0,6402.0,2691.0,2587.0,6479.0,675.0,0.0,5401.0,33175.0,2006.1500000000015,0.0
46,414.0,5502.0,2229.0,2502.0,5903.0,674.0,0.0,4865.0,29941.0,1886.7099999999991,0.0
47,414.0,4663.0,1982.0,1985.0,5777.0,671.0,0.0,4089.0,26694.0,1828.0600000000013,0.0
48,413.0,4571.0,1849.0,1858.0,5292.0,671.0,0.0,3994.0,24995.0,1528.8300000000017,0.0
49,413.0,4561.0,1861.0,1814.0,5182.0,671.0,0.0,3479.0,23908.0,1227.5699999999997,0.0
50,414.0,4606.0,1796.0,1679.0,5179.0,672.0,0.0,3325.0,23319.0,976.6100000000006,0.0
51,400.0,4747.0,1814.0,1781.0,5198.0,672.0,0.0,3062.0,23457.0,1333.2900000000009,0.0
52,408.0,5276.0,2026.0,1949.0,5713.0,671.0,0.0,3061.0,25453.0,2071.1399999999994,0.0
53,414.0,6383.0,2636.0,2514.0,6557.0,671.0,0.0,3166.0,29571.0,2423.9399999999987,0.0
54,414.0,7639.0,2977.0,4848.0,6881.0,671.0,62.0,2775.0,34466.0,2809.1399999999994,0.0
55,411.0,8508.0,3125.0,5349.0,7686.0,672.0,1233.0,2897.0,38853.0,3000.1600000000035,0.0
56,407.0,8644.0,3191.0,5970.0,7687.0,672.0,3304.0,3202.0,41598.0,3408.520000000004,0.0
57,410.0,8623.0,3349.0,4299.0,7000.0,659.0,5054.0,3941.0,42058.0,3782.0800000000017,0.0
58,408.0,7641.0,3263.0,3930.0,6651.0,665.0,5393.0,4786.0,41747.0,4000.9400000000023,0.0
59,410.0,7264.0,3003.0,2989.0,7164.0,672.0,4529.0,5553.0,40031.0,4115.8499999999985,0.0
60,413.0,7608.0,2904.0,2640.0,7330.0,672.0,3929.0,5816.0,39603.0,4323.330000000002,0.0
61,411.0,9055.0,3289.0,2421.0,7898.0,672.0,2615.0,5772.0,39981.0,3555.25,0.0
62,419.0,9630.0,3559.0,3137.0,8360.0,667.0,1190.0,5898.0,40203.0,2630.4300000000003,0.0
63,419.0,9720.0,3693.0,4955.0,8593.0,664.0,173.0,6030.0,41573.0,2680.279999999999,0.0
64,417.0,10096.0,3998.0,6547.0,8603.0,664.0,19.0,5926.0,44183.0,2694.260000000002,0.0
65,419.0,9545.0,3994.0,6509.0,8770.0,663.0,19.0,6003.0,43768.0,2474.1200000000026,0.0
66,418.0,9604.0,3750.0,5449.0,8809.0,662.0,19.0,5946.0,42757.0,2406.020000000004,0.0
67,435.0,9188.0,3734.0,4369.0,8364.0,663.0,19.0,6189.0,40475.0,2370.6699999999983,0.0
68,438.0,8494.0,3624.0,2601.0,8025.0,657.0,19.0,6026.0,37242.0,2335.720000000001,0.0
69,437.0,7167.0,3422.0,2164.0,6966.0,665.0,16.0,6038.0,33470.0,1751.8300000000017,0.0
70,434.0,5563.0,2636.0,1826.0,6432.0,665.0,3.0,6012.0,29825.0,1469.869999999999,0.0
71,418.0,3706.0,2150.0,2060.0,6293.0,669.0,0.0,5520.0,26341.0,1003.619999999999,0.0
72,419.0,3577.0,2088.0,1872.0,6315.0,669.0,0.0,4970.0,24105.0,0.0,279.97000000000116
73,427.0,3522.0,2076.0,1674.0,5982.0,670.0,0.0,4828.0,23141.0,0.0,497.2000000000007
74,431.0,3594.0,2067.0,1651.0,5800.0,670.0,0.0,4526.0,22779.0,0.0,581.0
75,425.0,4033.0,2079.0,1668.0,5802.0,668.0,0.0,4254.0,23035.0,0.0,656.3600000000006
76,434.0,4249.0,2119.0,1729.0,5893.0,670.0,0.0,4137.0,24552.0,952.2900000000009,0.0
77,436.0,5975.0,2890.0,1978.0,6747.0,668.0,0.0,3747.0,28623.0,1426.8499999999985,0.0
78,433.0,7262.0,3651.0,2679.0,7743.0,667.0,26.0,3071.0,33614.0,1895.2799999999988,0.0
79,432.0,8009.0,3943.0,4586.0,8417.0,667.0,662.0,2726.0,38004.0,2146.550000000003,0.0
80,421.0,8694.0,3924.0,4665.0,8163.0,660.0,2590.0,2696.0,40504.0,2673.3799999999974,0.0
81,429.0,8582.0,3707.0,3745.0,7588.0,656.0,4782.0,2755.0,41164.0,3304.4000000000015,0.0
82,435.0,8708.0,3337.0,3006.0,7586.0,655.0,5139.0,2788.0,40553.0,3652.709999999999,0.0
83,434.0,8675.0,3181.0,2483.0,7508.0,655.0,5567.0,3063.0,39383.0,3652.8199999999997,0.0
84,432.0,8054.0,3204.0,2506.0,6995.0,655.0,5140.0,3478.0,38221.0,3388.1600000000035,0.0
85,428.0,8793.0,3231.0,2664.0,7266.0,655.0,3143.0,3782.0,37759.0,2927.029999999999,0.0
86,421.0,9495.0,3531.0,3367.0,7916.0,655.0,1511.0,3826.0,38561.0,2551.8499999999985,0.0
87,429.0,9587.0,3645.0,5413.0,8275.0,654.0,180.0,3822.0,40142.0,2335.9300000000003,0.0
88,434.0,9271.0,3595.0,6638.0,8786.0,656.0,0.0,4560.0,43147.0,2342.720000000001,0.0
89,436.0,9164.0,3579.0,6116.0,8406.0,664.0,0.0,4932.0,42939.0,2367.5800000000017,0.0
