,biomass,gas,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
0,51.37,46.32,105.57,40.56,0.0,347.22,1054.0,126.31000000000006,0.0
1,51.35,45.91,104.22,40.67,0.0,288.27,1022.0,161.12,0.0
2,51.35,45.88,76.46,40.12,0.0,276.39,1000.0,81.89000000000001,0.0
3,51.53,45.79,76.17,39.99,0.0,256.84,994.0,48.97999999999993,0.0
4,51.76,45.7,105.38,39.92,0.0,269.47,1011.0,0.0,20.620000000000033
5,51.89,45.54,105.42,39.66,0.0,289.13,1027.0,4.619999999999983,0.0
6,51.61,45.64,105.39,39.79,0.95,306.19,1037.0,106.8300000000002,0.0
7,51.4,45.42,105.41,37.79,1.16,342.43,1056.0,89.39000000000006,0.0
8,51.47,45.2,105.44,39.75,2.32,365.44,1119.0,110.64999999999982,0.0
9,51.42,45.06,105.5,40.48,2.78,384.38,1184.0,208.47000000000003,0.0
10,51.46,44.96,105.47,40.57,3.47,405.22,1217.0,189.6500000000001,0.0
11,51.3,44.98,105.46,39.4,3.21,364.06,1222.0,222.0299999999999,0.0
12,50.95,44.95,105.49,38.67,1.39,331.43,1225.0,238.42999999999995,0.0
13,50.97,45.18,105.47,38.11,0.02,262.83,1236.0,292.72,0.0
14,50.99,45.23,105.32,39.18,0.0,214.29,1312.0,268.99,0.0
15,50.95,45.26,105.46,39.52,0.0,284.74,1371.0,237.04999999999993,0.0
16,50.96,45.27,105.42,39.49,0.0,352.37,1397.0,310.35999999999996,0.0
17,50.95,45.14,105.44,40.97,0.0,343.53,1381.0,331.0500000000002,0.0
18,51.04,45.32,105.44,40.12,0.0,336.05,1345.0,367.26,0.0
19,50.91,45.56,105.44,39.67,0.0,292.94,1279.0,397.1900000000001,0.0
20,50.74,45.58,105.4,39.68,0.0,251.13,1192.0,428.27000000000015,0.0
21,50.14,45.7,103.06,39.74,0.0,262.76,1097.0,528.1800000000001,0.0
22,49.84,45.84,76.42,39.61,0.0,298.41,1007.0,309.28,0.0
23,49.88,45.96,55.37,40.08,0.0,329.0,963.0,286.79,0.0
