,biomass,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
0,77.0,0.0,156.0,89.0,21.0,640.0,425.0,0.0
1,77.0,0.0,156.0,89.0,21.0,615.0,507.5,0.0
2,77.0,0.0,155.0,89.0,19.0,595.0,463.0,0.0
3,76.0,0.0,186.0,88.0,17.0,599.0,397.0,0.0
4,76.0,0.0,421.0,88.0,11.0,613.0,237.5,0.0
5,76.0,1.0,512.0,88.0,10.0,628.0,219.0,0.0
6,76.0,1.0,600.0,88.0,13.0,640.0,269.0,0.0
7,76.0,1.0,667.0,88.0,10.0,640.0,161.0,0.0
8,76.0,1.0,741.0,88.0,9.0,684.0,20.0,0.0
9,76.0,1.0,747.0,88.0,13.0,720.0,74.0,0.0
10,76.0,1.0,797.0,88.0,31.0,738.0,51.5,0.0
11,77.0,1.0,814.0,88.0,39.0,747.0,23.0,0.0
12,77.0,1.0,939.0,89.0,49.0,759.0,0.0,5.0
13,77.0,1.0,1011.0,89.0,49.0,766.0,0.0,30.5
14,77.0,1.0,1012.0,89.0,46.0,817.0,0.0,10.5
15,77.0,1.0,1013.0,89.0,47.0,840.0,22.0,0.0
16,77.0,1.0,1012.0,90.0,50.0,843.0,41.5,0.0
17,77.0,1.0,1012.0,90.0,49.0,833.0,18.0,0.0
18,78.0,1.0,1012.0,90.0,51.0,817.0,41.0,0.0
19,78.0,1.0,1049.0,90.0,51.0,795.0,77.0,0.0
20,78.0,1.0,759.0,90.0,51.0,735.0,189.0,0.0
21,78.0,1.0,578.0,91.0,51.0,669.0,260.5,0.0
22,78.0,1.0,483.0,91.0,51.0,614.0,131.5,0.0
23,78.0,1.0,636.0,90.0,51.0,575.0,0.0,76.5
24,78.0,1.0,546.0,90.0,51.0,555.0,0.0,35.0
25,78.0,1.0,564.0,90.0,49.0,550.0,2.5,0.0
26,77.0,1.0,612.0,89.0,46.0,557.0,0.0,23.0
27,77.0,1.0,787.0,89.0,48.0,600.0,0.0,145.0
28,77.0,1.0,800.0,89.0,44.0,700.0,49.5,0.0
29,77.0,1.0,807.0,89.0,34.0,827.0,272.0,0.0
30,76.0,25.0,868.0,88.0,30.0,917.0,293.5,0.0
31,76.0,25.0,876.0,88.0,31.0,961.0,351.5,0.0
32,76.0,24.0,1075.0,88.0,30.0,992.0,515.0,0.0
33,76.0,24.0,1154.0,88.0,32.0,997.0,475.5,0.0
34,76.0,37.0,1147.0,88.0,29.0,973.0,431.0,0.0
35,76.0,65.0,1070.0,88.0,34.0,992.0,470.5,0.0
36,76.0,106.0,1037.0,88.0,28.0,993.0,426.0,0.0
37,74.0,216.0,925.0,85.0,25.0,1001.0,484.0,0.0
38,74.0,365.0,1075.0,86.0,18.0,1055.0,346.5,0.0
39,74.0,380.0,1091.0,86.0,13.0,1055.0,309.0,0.0
40,75.0,379.0,1091.0,86.0,15.0,1042.0,252.5,0.0
41,75.0,376.0,1102.0,86.0,16.0,1005.0,331.5,0.0
42,77.0,211.0,935.0,89.0,14.0,969.0,454.5,0.0
43,75.0,61.0,927.0,87.0,13.0,915.0,382.5,0.0
44,75.0,1.0,927.0,87.0,10.0,828.0,355.0,0.0
45,75.0,1.0,921.0,87.0,12.0,751.0,402.5,0.0
46,75.0,1.0,836.0,87.0,10.0,681.0,372.0,0.0
47,75.0,1.0,892.0,87.0,7.0,644.0,218.5,0.0
48,75.0,1.0,895.0,87.0,7.0,621.0,168.0,0.0
49,75.0,1.0,883.0,87.0,5.0,613.0,127.0,0.0
50,75.0,1.0,872.0,87.0,5.0,619.0,135.5,0.0
51,75.0,1.0,894.0,87.0,5.0,661.0,144.5,0.0
52,75.0,1.0,1055.0,86.0,5.0,764.0,144.5,0.0
53,75.0,1.0,1074.0,86.0,6.0,904.0,249.0,0.0
54,74.0,1.0,1078.0,86.0,6.0,1022.0,294.5,0.0
55,73.0,1.0,1099.0,85.0,5.0,1063.0,399.5,0.0
56,73.0,1.0,1106.0,85.0,5.0,1081.0,372.0,0.0
57,73.0,1.0,1163.0,85.0,6.0,1090.0,375.0,0.0
58,73.0,1.0,1097.0,84.0,7.0,1069.0,300.0,0.0
59,73.0,1.0,1166.0,84.0,7.0,1087.0,291.0,0.0
60,73.0,1.0,1164.0,84.0,11.0,1083.0,239.0,0.0
61,73.0,1.0,1183.0,84.0,10.0,1083.0,181.0,0.0
62,73.0,1.0,1180.0,84.0,13.0,1120.0,275.5,0.0
63,73.0,1.0,1161.0,85.0,13.0,1099.0,339.0,0.0
64,73.0,1.0,1157.0,85.0,16.0,1076.0,259.5,0.0
65,74.0,1.0,1070.0,85.0,21.0,1034.0,228.5,0.0
66,74.0,1.0,1060.0,85.0,22.0,993.0,232.5,0.0
67,74.0,1.0,1059.0,85.0,28.0,938.0,277.5,0.0
68,75.0,1.0,984.0,86.0,25.0,853.0,259.0,0.0
69,75.0,1.0,895.0,86.0,25.0,766.0,157.5,0.0
70,75.0,1.0,808.0,87.0,22.0,695.0,157.0,0.0
71,72.0,1.0,963.0,83.0,24.0,648.0,37.5,0.0
72,74.0,1.0,972.0,86.0,24.0,637.0,118.0,0.0
73,74.0,1.0,971.0,86.0,26.0,628.0,83.0,0.0
74,74.0,1.0,969.0,86.0,25.0,637.0,119.5,0.0
75,74.0,1.0,973.0,86.0,23.0,678.0,118.0,0.0
76,74.0,9.0,974.0,86.0,22.0,780.0,120.0,0.0
77,74.0,19.0,1064.0,85.0,21.0,920.0,278.0,0.0
78,73.0,40.0,1064.0,85.0,18.0,1047.0,317.5,0.0
79,73.0,62.0,1146.0,85.0,19.0,1098.0,541.0,0.0
80,73.0,122.0,1088.0,85.0,20.0,1107.0,680.5,0.0
81,73.0,138.0,1137.0,85.0,19.0,1099.0,538.0,0.0
82,73.0,138.0,1088.0,84.0,21.0,1071.0,269.21568627450984,0.0
83,73.0,138.0,1063.0,84.0,20.0,1089.0,296.1470588235294,0.0
84,73.0,138.0,1064.0,84.0,19.0,1095.0,289.0882352941177,0.0
85,73.0,138.0,1064.0,85.0,18.0,1099.0,271.28431372549016,0.0
86,73.0,138.0,1228.0,85.0,23.0,1141.0,123.18627450980387,0.0
87,74.0,137.0,1228.0,85.0,18.0,1113.0,414.0,0.0
88,74.0,138.0,1223.0,85.0,14.0,1092.0,552.5,0.0
89,74.0,135.0,1058.0,85.0,17.0,1048.0,600.5,0.0
90,74.0,108.0,978.0,86.0,19.0,1011.0,548.0,0.0
91,74.0,106.0,981.0,86.0,18.0,957.0,579.0,0.0
92,74.0,106.0,896.0,86.0,20.0,864.0,409.0,0.0
93,74.0,96.0,894.0,86.0,24.0,785.0,317.5,0.0
94,75.0,60.0,963.0,87.0,23.0,708.0,177.0,0.0
95,74.0,60.0,979.0,86.0,23.0,659.0,126.0,0.0
96,74.0,60.0,978.0,86.0,24.0,640.0,173.5,0.0
97,74.0,60.0,976.0,86.0,21.0,632.0,209.0,0.0
98,74.0,60.0,975.0,86.0,20.0,646.0,263.0,0.0
99,74.0,60.0,976.0,85.0,17.0,681.0,200.0,0.0
100,74.0,60.0,1063.0,85.0,16.0,788.0,260.0,0.0
101,73.0,82.0,1063.0,85.0,17.0,920.0,375.0,0.0
