,hydro,lignite,wind_onshore,demand,s_l,s_r
0,0.0,154.61,0.0,405.0,376.34999999999997,0.0
1,0.0,154.66,0.0,380.0,361.70000000000005,0.0
2,0.0,154.61,0.0,354.0,353.83,0.0
3,0.0,154.99,0.0,337.0,341.7,0.0
4,0.0,155.32,0.0,330.0,353.57,0.0
5,0.0,154.66,0.0,336.0,401.51,0.0
6,0.0,153.89,0.0,342.0,391.98,0.0
7,0.0,155.49,0.0,371.0,411.03,0.0
8,0.0,155.1,0.0,407.0,436.96000000000004,0.0
9,0.0,154.55,0.0,439.0,463.97,0.0
10,0.0,155.16,0.0,453.0,453.58000000000004,0.0
11,0.0,154.72,0.0,454.0,451.84,0.0
12,0.0,155.27,0.0,448.0,448.21000000000004,0.0
13,0.0,153.89,0.0,444.0,474.57000000000005,0.0
14,0.0,154.83,0.0,446.0,518.72,0.0
15,0.0,156.97,0.0,465.0,507.61,0.0
16,0.0,179.41,0.0,476.0,504.49,0.0
17,0.0,204.77,0.0,477.0,467.48,0.0
18,0.0,204.93,0.0,475.0,441.83,0.0
19,0.0,205.7,0.0,472.0,350.62,0.0
20,0.0,206.31,0.0,462.0,335.19,0.0
21,0.0,206.47,0.0,445.0,336.19,0.0
22,0.0,205.81,0.0,435.0,363.74,0.0
23,0.0,179.41,0.0,404.0,256.43,0.0
24,0.0,178.2,0.0,370.0,204.06,0.0
25,0.0,178.2,0.0,344.0,162.32000000000002,0.0
26,0.0,178.15,0.0,324.0,129.51999999999998,0.0
27,0.0,178.42,0.0,314.0,131.04000000000002,0.0
28,0.0,177.98,0.0,316.0,106.09,0.0
29,0.0,201.91,0.0,329.0,126.08000000000001,0.0
30,0.73,205.76,0.0,345.0,159.43,0.0
31,192.06,206.75,0.0,382.0,109.58,0.0
32,210.18,205.7,0.0,417.0,117.80000000000001,0.0
33,210.16,206.36,0.0,441.0,134.09000000000003,0.0
34,210.82,205.87,0.0,454.0,143.9,0.0
35,314.56,206.09,0.0,453.0,61.140000000000015,0.0
36,312.53,205.98,0.0,444.0,27.620000000000005,0.0
37,314.66,206.25,0.0,435.0,29.78999999999992,0.0
38,315.4,206.91,0.0,437.0,44.36000000000004,0.0
39,314.67,207.02,0.0,462.0,137.20999999999995,0.0
40,311.9,205.81,0.0,478.0,166.74999999999997,0.0
41,314.59,206.69,0.0,480.0,153.42000000000002,0.0
42,312.35,206.42,0.0,482.0,175.22000000000003,0.0
43,206.66,205.32,0.0,474.0,165.10999999999999,0.0
44,71.35,204.88,0.0,464.0,252.92,0.0
45,0.0,178.37,0.0,447.0,292.24,0.0
46,0.0,155.65,0.0,438.0,302.11,0.0
47,0.0,154.5,0.0,409.0,301.65999999999997,0.0
48,0.0,154.55,0.0,369.0,255.63,0.0
49,0.0,154.72,0.0,338.0,229.01,0.0
50,0.0,154.94,0.0,321.0,221.83,0.0
51,0.0,154.94,0.0,311.0,198.95,0.0
52,0.0,155.27,0.0,318.0,191.2,0.0
53,0.0,154.66,0.0,344.0,229.5,0.0
54,1.06,154.72,0.0,380.0,299.8,0.0
55,81.72,174.3,0.0,425.0,336.0,0.0
56,200.81,204.66,0.0,451.0,271.77,0.0
57,159.92,206.97,0.0,457.0,277.13,0.0
58,160.69,207.08,0.0,448.0,252.02,0.0
59,138.81,207.13,0.0,439.0,242.65,0.0
60,140.73,207.02,0.0,429.0,252.1,0.0
61,142.18,206.75,0.0,427.0,258.27,0.0
62,228.06,207.24,0.0,434.0,250.76,0.0
63,243.05,206.03,0.0,467.0,288.11999999999995,0.0
64,271.74,205.59,0.0,499.0,289.28999999999996,0.0
65,269.69,206.42,0.0,501.0,294.03999999999996,0.0
66,295.99,206.2,0.0,499.0,266.05,0.0
67,0.0,206.2,0.0,485.0,386.70000000000005,0.0
68,0.0,180.79,0.0,479.0,349.93000000000006,0.0
69,0.0,155.87,0.0,471.0,373.57,0.0
70,0.0,156.26,0.0,465.0,380.46000000000004,0.0
71,0.0,177.54,0.0,440.0,322.15000000000003,0.0
