,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
0,0.0,454.48,5995.28,299.33,2585.63,248.12,3828.7,13654.0816,266.641599999999,0.0
1,0.0,454.79,5860.32,289.95,2416.35,250.4,3982.8,13045.9184,158.7284000000002,0.0
2,0.0,454.31,5781.56,289.89,2329.71,250.82,4083.11,12706.1224,147.6823999999981,0.0
3,0.0,454.77,5883.23,290.01,2356.53,253.93,4089.19,12546.9388,66.29879999999775,0.0
4,0.0,453.8,5878.13,290.11,2286.76,255.78,4218.48,12437.7551,0.0,152.24489999999946
5,0.0,453.54,5788.85,290.11,2184.86,254.73,4243.45,12464.2857,0.0,392.99429999999984
6,0.0,452.95,5782.75,289.73,2162.58,252.72,4236.39,12492.8571,0.0,368.93289999999956
7,0.0,453.72,5865.01,306.96,2185.57,253.28,4209.57,12255.102,0.0,693.4779999999992
8,0.0,453.49,6210.05,323.04,2633.8,254.19,4093.78,12942.8571,0.0,608.8529000000021
9,0.0,454.25,6165.61,336.08,2743.14,254.72,4003.52,13542.8571,0.0,398.0529000000008
10,0.0,454.59,6104.82,445.84,2654.09,254.69,3994.2,14091.8367,202.88669999999956,0.0
11,0.0,453.85,6135.59,486.93,2878.98,254.75,4014.58,14570.4082,310.4781999999989,0.0
12,0.0,453.86,6278.5,549.32,3325.76,255.42,3838.25,15060.2041,342.154100000002,0.0
13,0.0,454.34,6297.42,587.05,3558.48,256.47,3501.34,15178.5714,445.8514000000006,0.0
14,0.0,455.6,6541.16,541.23,3622.01,258.24,3218.6,15280.6122,410.06219999999917,0.0
15,0.0,512.37,7191.31,609.08,3863.79,259.27,2914.72,16510.2041,443.6941000000011,0.0
16,0.0,547.49,6915.48,583.24,3745.3,257.62,2963.29,16884.6939,411.2139000000004,0.0
17,0.0,549.43,6763.8,571.6,3791.6,257.78,2941.97,16896.9388,424.41880000000003,0.0
18,0.0,547.95,6894.3,517.99,3912.55,260.45,2802.28,17053.0612,515.7211999999995,0.0
19,0.0,548.39,6939.87,507.22,3960.5,263.31,2656.4,16706.1224,549.3724000000007,0.0
20,0.0,550.43,6566.69,464.92,3588.1,266.56,2582.4,15779.5918,329.22180000000185,0.0
21,0.0,550.79,6373.19,329.87,3335.28,272.49,2449.11,15130.6122,419.1421999999991,0.0
22,0.0,548.66,6451.82,316.53,2996.13,276.57,2370.95,14112.2449,398.59490000000073,0.0
23,0.0,548.89,6568.26,314.65,2912.05,279.92,2289.74,13292.8571,336.0670999999991,0.0
24,0.0,549.76,6748.25,314.46,2692.94,280.99,1987.18,12764.2857,154.5456999999999,0.0
25,0.0,551.02,6841.84,314.35,2810.95,280.34,1769.16,12613.2653,60.50529999999844,0.0
