,biomass,gas,hard_coal,hydro,lignite,nuclear,solar,wind_onshore,demand,s_l,s_r
0,25.0,1115.0,112.0,1026.0,1464.0,1394.0,0.0,606.0,5332.0,31.9200000000003,0.0
1,25.0,1115.0,112.0,889.0,1276.0,1394.0,0.0,492.0,5162.0,88.64000000000033,0.0
2,25.0,1116.0,113.0,790.0,1275.0,1394.0,0.0,376.0,5071.0,91.13000000000011,0.0
3,25.0,1116.0,114.0,784.0,1288.0,1394.0,0.0,303.0,5013.0,67.96000000000004,0.0
4,25.0,1116.0,112.0,731.0,1259.0,1394.0,0.0,261.0,4987.0,106.93000000000029,0.0
5,25.0,1117.0,111.0,785.0,1227.0,1393.0,0.0,187.0,4964.0,103.61999999999989,0.0
6,25.0,1116.0,111.0,733.0,1213.0,1393.0,22.0,111.0,4887.0,107.89999999999964,0.0
7,25.0,1109.0,113.0,707.0,1226.0,1393.0,129.0,44.0,4891.0,78.92000000000007,0.0
8,25.0,1105.0,116.0,782.0,1253.0,1392.0,272.0,1.0,4848.0,0.0,30.5600000000004
9,25.0,1108.0,115.0,913.0,1277.0,1392.0,351.0,0.0,4832.0,0.0,64.38000000000011
10,25.0,1107.0,113.0,1167.0,1284.0,1392.0,383.0,0.0,4866.0,0.0,105.62
11,25.0,1109.0,113.0,1401.0,1286.0,1392.0,345.0,0.0,4938.0,0.0,140.0499999999996
12,26.0,1111.0,112.0,1531.0,1290.0,1392.0,240.0,0.0,4961.0,0.0,157.71000000000026
13,27.0,1118.0,116.0,1574.0,1406.0,1393.0,114.0,37.0,5035.0,0.0,172.19000000000017
14,32.0,1149.0,116.0,1658.0,1595.0,1394.0,17.0,218.0,5271.0,0.0,185.38999999999987
15,33.0,1179.0,123.0,2347.0,1622.0,1395.0,0.0,378.0,5945.0,0.0,301.1600000000002
16,33.0,1175.0,127.0,2613.0,1597.0,1394.0,0.0,541.0,6139.0,0.0,398.49
17,33.0,1168.0,122.0,2463.0,1592.0,1395.0,0.0,750.0,6119.0,0.0,410.1500000000001
18,32.0,1180.0,118.0,2225.0,1612.0,1395.0,0.0,958.0,6047.0,0.0,390.1299999999999
19,34.0,1185.0,118.0,1887.0,1633.0,1394.0,0.0,1080.0,5797.0,0.0,357.10000000000014
20,34.0,1165.0,118.0,1554.0,1622.0,1394.0,0.0,1194.0,5527.0,0.0,386.0400000000004
21,34.0,1131.0,115.0,1276.0,1632.0,1394.0,0.0,1219.0,5266.0,0.0,392.4500000000003
22,34.0,1124.0,116.0,1145.0,1565.0,1394.0,0.0,1208.0,5006.0,0.0,381.03999999999996
23,34.0,1122.0,116.0,1028.0,1503.0,1394.0,0.0,1440.0,4832.0,0.0,437.28
24,34.0,1123.0,116.0,1079.0,1297.0,1395.0,0.0,1475.0,4727.0,0.0,441.6700000000001
25,34.0,1122.0,117.0,1070.0,1260.0,1395.0,0.0,1469.0,4680.0,0.0,451.29999999999995
