,hydro,nuclear,other_fossil,wind_onshore,demand,s_l,s_r
0,4407.0,8542.0,1135.0,2199.0,15714.0,699.3499999999995,0.0
1,4291.0,8540.0,1142.0,2253.0,15745.0,651.0599999999986,0.0
2,4259.0,8541.0,1056.0,2224.0,15508.0,646.6500000000005,0.0
3,4242.0,8542.0,1053.0,2154.0,15324.0,740.1200000000013,0.0
4,4376.0,8540.0,1053.0,2183.0,15516.0,806.2900000000018,0.0
5,4638.0,8541.0,1060.0,2236.0,15784.0,862.5000000000014,0.0
6,5051.0,8539.0,1064.0,2309.0,16028.0,630.9200000000014,0.0
7,5454.0,8542.0,1070.0,2378.0,16258.0,610.8200000000002,0.0
8,5895.0,8539.0,1101.0,2462.0,16580.0,558.3799999999992,0.0
9,6725.0,8540.0,1111.0,2504.0,17108.0,614.5299999999997,0.0
10,7081.0,8539.0,1122.0,2449.0,17322.0,671.6700000000001,0.0
11,7340.0,8537.0,1130.0,2479.0,17577.0,685.3900000000012,0.0
12,7461.0,8538.0,1122.0,2435.0,17674.0,711.3699999999999,0.0
13,7703.0,8538.0,1132.0,2373.0,17940.0,710.2399999999984,0.0
14,8112.0,8538.0,1129.0,2439.0,18464.0,656.1700000000005,0.0
15,8496.0,8538.0,1135.0,2436.0,18882.0,704.9699999999998,0.0
16,8655.0,8535.0,1141.0,2482.0,18964.0,705.3700000000017,0.0
17,8563.0,8535.0,1141.0,2512.0,18724.0,690.6799999999998,0.0
18,8517.0,8535.0,1137.0,2509.0,18444.0,571.139999999999,0.0
19,8193.0,8536.0,1152.0,2454.0,17962.0,630.69,0.0
20,8158.0,8538.0,1116.0,2416.0,17307.0,661.5500000000011,0.0
21,7753.0,8536.0,1111.0,2362.0,16822.0,560.3200000000006,0.0
22,6679.0,8537.0,1109.0,2277.0,15874.0,14.409999999998945,0.0
23,5262.0,8537.0,1086.0,2077.0,15306.0,195.4799999999991,0.0
24,4989.0,8537.0,1090.0,2001.0,14998.0,281.9500000000007,0.0
25,4908.0,8536.0,1092.0,1951.0,14892.0,328.4600000000014,0.0
26,4859.0,8261.0,1092.0,1903.0,15036.0,706.1700000000005,0.0
27,5354.0,7338.0,1095.0,1861.0,16009.0,1796.7399999999989,0.0
28,6135.0,7337.0,1108.0,1815.0,16815.0,1450.0100000000011,0.0
29,8340.0,7336.0,1122.0,1766.0,17252.0,96.17999999999984,0.0
30,10743.0,7332.0,1202.0,1710.0,19206.0,0.0,30.299999999998363
31,11711.0,7329.0,1216.0,1638.0,19705.0,0.0,208.42999999999984
32,12097.0,7330.0,1193.0,1527.0,19794.0,0.0,64.56999999999971
33,12253.0,7328.0,1219.0,1443.0,20224.0,120.81000000000131,0.0
34,12290.0,7320.0,1223.0,1359.0,20342.0,208.39000000000124,0.0
35,12240.0,7319.0,1208.0,1285.0,20308.0,319.9300000000012,0.0
36,12217.0,7318.0,1203.0,1266.0,20167.0,206.20000000000073,0.0
37,12223.0,7319.0,1192.0,1293.0,20272.0,97.48000000000229,0.0
38,12352.0,7318.0,1132.0,1338.0,20792.0,136.54999999999927,0.0
39,12347.0,7317.0,1112.0,1374.0,20972.0,184.6399999999985,0.0
40,12213.0,7316.0,1138.0,1410.0,21176.0,411.1300000000019,0.0
41,12031.0,7312.0,1152.0,1445.0,21076.0,463.53999999999814,0.0
42,11774.0,7318.0,1140.0,1429.0,20344.0,94.31999999999971,0.0
43,10878.0,7321.0,1115.0,1381.0,19404.0,75.05000000000018,0.0
44,10008.0,7326.0,1101.0,1326.0,18687.0,110.48000000000002,0.0
45,8834.0,7329.0,1094.0,1258.0,17651.0,0.0,56.73999999999933
46,7654.0,7329.0,1085.0,1242.0,16870.0,0.0,221.82999999999947
47,5614.0,7330.0,1116.0,1055.0,16136.0,374.16000000000145,0.0
48,5413.0,7335.0,1104.0,1038.0,15764.0,369.5,0.0
49,5390.0,7336.0,1097.0,1092.0,15738.0,339.8400000000008,0.0
50,5382.0,7337.0,1110.0,1150.0,15596.0,323.31999999999834,0.0
51,5637.0,7335.0,1116.0,1259.0,15742.0,297.5300000000002,0.0
52,5924.0,7335.0,1138.0,1436.0,16252.0,396.3399999999983,0.0
53,8068.0,7336.0,1161.0,1597.0,17743.0,0.0,261.78999999999996
54,9671.0,7333.0,1185.0,1756.0,18973.0,0.0,336.0199999999986
55,10115.0,7335.0,1142.0,1952.0,19706.0,0.0,12.1299999999992
56,10067.0,7337.0,1146.0,2116.0,19907.0,117.04999999999882,0.0
57,10148.0,7334.0,1141.0,2361.0,20604.0,383.0099999999984,0.0
58,10019.0,7335.0,1136.0,2385.0,20576.0,557.9399999999991,0.0
59,9905.0,7333.0,1129.0,2488.0,20800.0,587.1800000000017,0.0
60,9721.0,7333.0,1140.0,2455.0,20917.0,695.3200000000011,0.0
61,9819.0,7332.0,1154.0,2420.0,21321.0,1139.199999999998,0.0
62,9983.0,7332.0,1224.0,2398.0,21563.0,935.8799999999983,0.0
63,10540.0,7333.0,1237.0,2386.0,21862.0,669.6599999999994,0.0
64,10549.0,7333.0,1225.0,2345.0,21908.0,769.1600000000012,0.0
65,10120.0,7334.0,1240.0,2239.0,21544.0,909.8700000000008,0.0
66,9548.0,7334.0,1232.0,2128.0,20984.0,1072.8700000000013,0.0
67,9093.0,7337.0,1237.0,1998.0,20202.0,723.0000000000014,0.0
68,8569.0,7328.0,1251.0,1897.0,19290.0,766.5399999999986,0.0
69,7683.0,7324.0,1246.0,1835.0,18580.0,656.0300000000018,0.0
70,6709.0,7326.0,1225.0,1776.0,17601.0,665.5500000000006,0.0
71,5586.0,7414.0,1236.0,1786.0,16618.0,845.3699999999992,0.0
72,5533.0,7435.0,1230.0,1786.0,16460.0,1036.7599999999998,0.0
73,5449.0,7452.0,1222.0,1743.0,16234.0,894.9500000000014,0.0
74,5420.0,7794.0,1238.0,1741.0,16060.0,531.5000000000005,0.0
75,5886.0,8028.0,1245.0,1749.0,16179.0,0.0,13.159999999998945
76,6061.0,8135.0,1274.0,1724.0,17099.0,289.53999999999905,0.0
77,7326.0,7969.0,1309.0,1723.0,18599.0,588.5899999999999,0.0
78,10049.0,7816.0,1341.0,1748.0,20820.0,1356.429999999999,0.0
79,11549.0,7861.0,1400.0,1691.0,21301.0,782.3500000000013,0.0
80,11613.0,8054.0,1386.0,1634.0,21002.0,359.8999999999987,0.0
81,11880.0,8135.0,1388.0,1598.0,21536.0,461.6499999999987,0.0
82,11458.0,8220.0,1386.0,1658.0,21558.0,494.4499999999989,0.0
83,11478.0,8225.0,1413.0,1657.0,21972.0,718.3499999999995,0.0
84,11479.0,8255.0,1410.0,1691.0,21854.0,762.579999999999,0.0
85,11553.0,8420.0,1393.0,1706.0,21755.0,519.9799999999977,0.0
86,11654.0,8356.0,1397.0,1747.0,22328.0,801.9499999999989,0.0
87,11700.0,8209.0,1400.0,1840.0,22347.0,704.5699999999993,0.0
88,11692.0,8209.0,1408.0,1961.0,22506.0,645.2000000000016,0.0
89,11260.0,8228.0,1425.0,1996.0,21883.0,540.1299999999992,0.0
90,10727.0,8336.0,1437.0,1998.0,21440.0,744.460000000001,0.0
91,10263.0,8426.0,1412.0,1958.0,20744.0,784.0200000000004,0.0
92,9453.0,8451.0,1401.0,2006.0,19795.0,537.2699999999995,0.0
93,8535.0,8454.0,1376.0,1988.0,19026.0,939.69,0.0
94,6883.0,8456.0,1360.0,2032.0,17906.0,337.0699999999986,0.0
95,5644.0,8457.0,1361.0,1974.0,17209.0,590.5900000000008,0.0
96,5506.0,8458.0,1356.0,2005.0,16828.0,708.71,0.0
97,5468.0,8458.0,1359.0,2024.0,16698.0,695.0700000000011,0.0
98,5454.0,8457.0,1364.0,2035.0,16663.0,566.9999999999982,0.0
99,6181.0,8458.0,1399.0,2058.0,16868.0,487.61000000000104,0.0
