,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,demand,s_l,s_r
0,11.39,30.41,89.23,238.29,696.49,10.53,0.08,0.7,1103.0,145.9401923076923,0.0
1,11.41,28.92,64.58,224.7,696.39,10.49,0.08,0.61,1058.0,90.22673076923104,0.0
2,11.4,31.2,177.36,233.87,696.4,10.42,0.08,0.57,1022.0,0.0,60.00576923076949
3,11.38,35.48,141.32,233.06,696.45,10.53,0.08,0.62,1010.0,0.0,172.1394230769231
4,11.42,32.2,143.14,235.81,696.31,10.79,0.08,0.56,1023.0,0.0,275.6415384615383
5,11.43,37.68,145.31,234.65,696.21,9.27,0.08,0.24,1061.0,0.0,306.2013461538463
6,11.42,34.5,105.86,216.78,696.22,10.21,0.08,0.42,1092.0,0.0,55.91538461538494
7,11.38,36.07,182.94,227.95,696.19,10.45,1.48,0.59,1139.0,0.0,19.454423076922808
8,11.38,36.25,242.99,239.96,696.36,9.13,5.35,0.63,1224.0,11.453461538461283,0.0
9,11.38,39.99,226.25,236.73,696.4,8.6,7.41,0.33,1300.0,66.54115384615375,0.0
10,10.95,40.4,252.46,237.02,696.43,7.96,8.13,0.53,1378.0,5.563269230769379,0.0
11,11.38,38.67,394.99,241.6,696.62,9.17,6.07,0.47,1399.0,0.0,78.26711538461541
12,10.6,41.21,495.08,234.85,696.58,9.79,4.15,0.32,1376.0,0.0,7.613269230769333
13,10.76,41.54,569.36,237.33,696.39,10.95,1.95,0.32,1350.0,150.90307692307692,0.0
14,10.88,41.87,625.22,233.02,696.4,9.09,4.2,0.3,1345.0,193.97865384615386,0.0
15,10.94,42.01,666.26,236.67,696.14,7.63,0.08,0.29,1385.0,249.41519230769222,0.0
16,10.78,37.79,792.77,231.57,696.06,7.02,0.07,0.59,1439.0,32.74038461538453,0.0
17,11.21,36.61,831.63,231.3,696.32,12.43,0.07,0.53,1456.0,5.874423076922994,0.0
18,11.06,38.64,976.61,229.36,696.14,14.64,0.07,0.41,1486.0,0.0,145.6342307692305
19,11.13,42.18,822.9,231.51,696.12,9.3,0.07,0.53,1439.0,0.0,70.65115384615376
20,11.15,43.66,813.11,230.61,696.39,13.19,0.07,0.48,1386.0,0.0,9.781730769230762
21,11.2,24.61,794.55,238.06,696.39,12.11,0.07,0.75,1294.0,124.31307692307723,0.0
22,10.67,22.17,776.3,229.66,696.29,11.5,0.07,0.67,1196.0,244.8382692307698,0.0
23,11.15,30.38,644.04,217.25,696.32,11.44,0.07,0.53,1085.0,217.36000000000013,0.0
24,11.26,31.0,541.18,220.75,696.27,10.51,0.07,0.49,1040.0,297.9200000000002,0.0
25,11.27,29.69,370.78,222.46,696.18,6.18,0.07,0.4,1048.0,286.41999999999996,0.0
26,11.28,35.17,353.04,224.83,696.29,4.67,0.07,0.33,1033.0,391.87,0.0
27,11.25,37.47,375.73,221.44,696.35,6.03,0.07,0.28,1025.0,448.9799999999998,0.0
28,11.28,35.43,416.54,234.32,696.15,9.95,0.08,0.36,1087.0,470.51000000000033,0.0
29,11.19,39.33,497.43,273.01,696.06,9.22,0.07,0.29,1181.0,309.21000000000015,0.0
30,11.1,35.95,595.43,243.15,696.14,11.0,0.23,0.45,1287.0,223.52999999999975,0.0
31,11.24,38.87,810.95,232.6,696.12,11.52,4.52,0.31,1375.0,203.3800000000001,0.0
32,11.24,39.07,815.71,236.72,696.02,10.28,14.68,0.51,1478.0,228.76999999999998,0.0
33,11.24,41.17,908.26,234.75,695.86,10.18,22.19,0.25,1528.0,176.72999999999956,0.0
34,10.89,40.58,868.53,233.81,696.02,9.22,32.01,0.5,1569.0,167.87,0.0
35,11.24,45.44,913.07,231.96,696.06,10.96,45.93,0.41,1556.0,19.939999999999827,0.0
36,10.6,41.88,981.02,231.92,695.95,9.19,30.48,0.37,1519.0,139.39999999999986,0.0
37,11.24,41.9,993.09,234.4,695.9,10.44,21.85,0.39,1474.0,156.5799999999996,0.0
38,11.17,42.34,980.63,229.36,696.05,9.19,10.92,0.37,1438.0,338.85000000000014,0.0
39,11.11,43.01,971.46,233.53,695.9,7.61,0.62,0.32,1469.0,233.9700000000006,0.0
40,11.17,43.58,1045.75,230.14,695.99,7.43,0.08,0.29,1576.0,306.5999999999999,0.0
41,11.28,44.22,1026.24,221.79,695.81,11.53,0.08,0.21,1611.0,318.2900000000004,0.0
42,11.28,47.19,854.83,262.17,695.47,12.47,0.07,0.45,1618.0,199.2499999999999,0.0
43,11.29,48.89,677.1,259.0,695.86,7.84,0.07,0.58,1577.0,172.70000000000027,0.0
44,11.27,48.5,560.91,221.14,696.05,12.74,0.08,0.53,1468.0,111.84000000000026,0.0
45,11.26,26.66,601.87,217.98,695.92,11.71,0.08,0.5,1371.0,81.16999999999996,0.0
46,11.11,24.02,539.89,235.75,695.96,11.93,0.08,0.51,1305.0,71.77999999999997,0.0
47,10.44,31.87,478.77,240.8,696.07,7.79,0.08,0.61,1221.0,0.0,4.389999999999532
48,10.05,32.79,356.21,211.44,695.97,10.2,0.08,0.61,1178.0,92.97000000000025,0.0
49,11.17,31.6,300.11,229.56,695.86,13.39,0.08,0.71,1193.0,14.329999999999586,0.0
50,10.03,37.87,300.08,230.48,696.0,9.89,0.08,0.95,1189.0,32.620000000000005,0.0
51,10.05,40.64,332.3,233.36,695.88,9.84,142.52,0.89,1226.0,0.0,54.67000000000007
52,10.04,38.21,407.76,231.88,695.6,10.24,0.08,0.55,1338.0,262.0300000000001,0.0
53,10.04,42.21,571.21,239.98,695.35,8.8,0.08,0.45,1681.0,419.7900000000001,0.0
54,9.93,36.19,792.92,266.79,695.47,9.78,0.63,0.65,1905.0,485.59000000000003,0.0
55,10.0,36.79,1003.36,273.96,695.36,10.47,9.93,0.75,1945.0,356.3199999999996,0.0
56,10.0,38.37,958.53,253.83,695.53,9.33,23.03,0.6,1949.0,262.75000000000045,0.0
