,biomass,gas,hydro,oil,other_fossil,other_renewable,solar,waste,wind_onshore,demand,mismatch
0,71.1,1.0,2.7,712.3,51.4,5.8,0.7,15.8,80.2,940.9999999999999,1.1368683772161603e-13
1,73.1,1.0,2.7,774.0,51.1,5.8,0.7,15.4,86.1,1009.9,1.1368683772161603e-13
2,69.9,1.0,2.7,808.4,48.0,5.8,0.7,15.7,73.7,1025.9,0.0
3,71.0,1.0,2.7,812.3,51.4,5.8,0.7,15.6,71.1,1031.6,0.0
4,71.1,1.0,2.7,813.3,51.6,5.8,0.7,15.2,73.5,1034.9,0.0
5,70.3,1.0,2.7,734.7,51.0,5.8,0.7,14.8,68.8,949.8,0.0
6,70.5,1.0,2.7,713.0,50.2,5.8,0.7,15.2,61.6,920.7000000000002,-1.1368683772161603e-13
7,69.9,1.0,2.7,690.6,49.6,5.8,0.7,15.5,60.4,896.2,0.0
8,68.5,1.0,2.7,676.9,53.0,5.8,0.7,15.5,60.9,885.0,0.0
9,69.23150716597317,1.0136384650947756,2.7368238557558944,671.2313915857604,52.30374479889042,5.879103097549699,0.7095469255663429,16.21821544151641,57.67602866389273,877.0,-1.1368683772161603e-13
10,72.56381927285564,1.056241910813037,2.8518531591952,685.9234968819862,53.02334392281446,6.126203082715614,0.7393693375691258,16.794246381927287,58.62142605012355,897.7,1.1368683772161603e-13
11,74.79917285001822,1.0999878360296798,2.9699671572801356,672.0925678141343,54.11940153266025,6.379929448972143,0.7699914852207758,17.159810242063003,74.90917163362118,904.3,-1.1368683772161603e-13
12,73.83434343434344,1.0857991681521093,2.931657754010695,678.1901604278075,54.94143790849673,6.297635175282234,0.7600594177064764,16.06982768865122,79.58907902554961,913.7,-1.1368683772161603e-13
13,74.82550428935775,1.0971481567354509,2.9623000231857173,709.8548574078367,56.722559703222814,6.363459309065615,0.7680037097148156,15.908648272664037,77.89751912821701,946.4,-1.1368683772161603e-13
14,73.44862101022622,1.035946699721103,2.7970560892469787,755.101549426712,54.38720173535791,6.008490858382398,0.7251626898047722,15.539200495816546,93.85677099473193,1002.9,0.0
15,72.3,1.0,2.7,747.6,52.3,5.8,0.7,12.6,127.9,1022.9000000000001,-1.1368683772161603e-13
16,74.34948212835093,1.0143176279447603,2.738657595450853,700.7920491470348,54.367424857839154,5.883042242079609,0.7100223395613322,14.707605605199024,144.3373984565394,998.9,-1.1368683772161603e-13
17,73.3,1.0,2.7,678.9,52.8,5.8,0.7,14.6,168.9,998.6999999999998,1.1368683772161603e-13
18,73.5,1.0,2.7,638.6,51.7,5.8,0.7,14.6,187.6,976.2000000000002,-1.1368683772161603e-13
19,75.1,1.0,2.7,702.8,53.7,5.8,0.7,14.4,180.7,1036.8999999999999,2.2737367544323206e-13
20,76.2,1.0,2.7,763.5,54.2,5.8,0.7,14.0,182.1,1100.2,0.0
21,75.2,1.0,2.7,711.9,53.0,5.8,0.7,13.0,178.1,1041.3999999999999,2.2737367544323206e-13
22,73.6,1.0,2.7,649.4,53.7,5.8,0.7,14.1,181.8,982.8000000000001,-1.1368683772161603e-13
23,71.5,1.0,2.7,716.1,49.3,5.8,0.7,14.7,190.5,1052.3000000000002,0.0
24,71.1,1.0,2.7,710.8,50.0,5.8,0.7,14.6,198.8,1055.5,0.0
