,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_onshore,BE -> FR,CH -> FR,DE -> FR,ES -> FR,GB -> FR,IT -> FR,demand,FR -> BE,FR -> CH,FR -> DE,FR -> ES,FR -> GB,FR -> IT,mismatch
0,293.0,2316.0,11.0,7946.0,34793.0,471.0,0.0,9707.0,2547.58,104.55,1810.0,0.0,0.0,0.0,57398.950000000004,0.0,0.0,0.0,675.18,1409.0,516.0,-6.821210263296962e-12
1,293.0,2286.0,11.0,7164.0,34263.0,471.0,0.0,9502.0,2509.37,106.64,1651.0,0.0,0.0,0.0,56040.380000000005,0.0,0.0,0.0,548.63,1410.0,258.0,-2.7284841053187847e-12
2,294.0,2290.0,11.0,6826.0,34081.0,466.0,0.0,9288.0,2532.66,0.0,1570.0,0.0,0.0,0.0,53046.70000000001,0.0,61.9,0.0,2727.06,1316.0,207.0,-8.185452315956354e-12
3,294.0,2291.0,10.0,5966.0,34103.0,467.0,0.0,9005.0,2204.73,0.0,1458.0,0.0,0.0,0.0,51332.98,0.0,150.05,0.0,2787.7,1318.0,210.0,0.0
4,294.0,2271.0,10.0,5715.0,34032.0,466.0,0.0,9050.0,2196.82,0.0,1489.0,0.0,0.0,176.0,51546.409999999996,0.0,33.28,0.0,2802.13,1318.0,0.0,3.637978807091713e-12
5,294.0,2275.0,11.0,6095.0,34437.0,464.0,0.0,8925.0,2154.68,46.82,1422.0,0.0,0.0,228.0,52254.810000000005,0.0,0.0,0.0,2779.69,1318.0,0.0,-5.4569682106375694e-12
6,294.0,2393.0,11.0,6380.0,34376.0,466.0,0.0,9021.0,2236.29,0.0,1124.0,0.0,0.0,162.0,52432.24,0.0,146.68,0.0,2565.37,1319.0,0.0,3.183231456205249e-12
7,294.0,2414.0,10.0,6876.0,34973.0,466.0,99.0,8820.0,1669.28,0.0,667.0,0.0,0.0,0.0,52244.409999999996,0.0,388.5,0.0,2796.37,821.0,38.0,2.7284841053187847e-12
8,294.0,2412.0,11.0,7017.0,35491.0,465.0,490.0,8590.0,1371.72,0.0,532.0,0.0,0.0,0.0,52773.51000000001,0.0,560.53,0.0,2517.68,710.0,112.0,-8.185452315956354e-12
9,293.0,2408.0,11.0,6474.0,35900.0,464.0,1125.0,8453.0,2082.09,93.76,1412.0,0.0,0.0,361.0,55022.36,0.0,0.0,0.0,2739.49,1315.0,0.0,-1.8189894035458565e-12
10,290.0,2404.0,11.0,6661.0,36061.0,465.0,1550.0,8557.0,2506.6,653.38,1971.0,0.0,0.0,590.0,57832.92,0.0,0.0,0.0,2069.06,1818.0,0.0,-2.2737367544323206e-12
11,291.0,2400.0,11.0,7349.0,35920.0,465.0,1534.0,8710.0,2383.16,803.55,2307.0,0.0,0.0,574.0,60304.53,0.0,0.0,0.0,625.18,1818.0,0.0,4.547473508864641e-13
12,293.0,2399.0,11.0,7539.0,36108.0,465.0,1363.0,8286.0,1910.34,973.07,2268.0,0.0,0.0,589.0,59794.58,0.0,0.0,0.0,591.83,1818.0,0.0,1.8189894035458565e-12
13,294.0,2394.0,11.0,8260.0,36620.0,464.0,1095.0,7839.0,0.0,0.0,449.0,1517.71,0.0,0.0,56539.049999999996,220.92,200.74,0.0,0.0,1818.0,165.0,3.637978807091713e-12
14,294.0,2398.0,12.0,8020.0,38278.0,466.0,642.0,7730.0,0.0,0.0,0.0,2762.08,0.0,0.0,54737.14,1588.01,1019.93,781.0,0.0,1812.0,664.0,1.8189894035458565e-12
15,298.7282692629956,2437.5820338841036,9.144742936622315,7905.122227435734,40511.211209236855,474.5105501558468,225.5703257700171,8771.840641317827,0.0,0.0,0.0,2831.02,0.0,0.0,55347.0,2216.2,1401.53,1571.0,0.0,2015.0,914.0,3.637978807091713e-12
16,306.25961633116674,2501.1202000378617,8.333595002208618,7970.041920237267,44949.328043162735,482.30681075282376,50.00157001325171,9763.848244462672,0.0,0.0,0.0,2732.22,0.0,0.0,59937.0,2067.87,1591.59,1975.0,0.0,2016.0,1176.0,-7.275957614183426e-12
17,303.9110784490532,2486.0753186053503,7.235978058310791,8863.039410279533,46829.18257108507,478.6082629996995,0.0,9815.087380522995,0.0,0.0,0.0,1811.1,0.0,0.0,62502.0,2255.94,1003.3,1477.0,0.0,2016.0,1340.0,5.4569682106375694e-12
18,297.13990720054994,2434.7280151228733,3.0320398693933663,10847.627972733,46910.710179297705,465.923459930114,0.0,9614.598425846365,0.0,0.0,0.0,896.49,0.0,0.0,62161.0,2406.69,1457.56,1480.0,0.0,2016.0,1949.0,1.4551915228366852e-11
19,295.8174786517508,2422.8860156238634,3.018545700528069,9054.630919684032,47461.600231303004,460.83131028061854,0.0,9467.165498756201,0.0,0.0,0.0,0.0,0.0,0.0,60140.0,1943.6,1294.67,1328.0,528.68,2015.0,1916.0,-3.637978807091713e-12
20,296.0,2413.0,3.0,7667.3333,47486.0,459.0,0.0,9315.0,0.0,0.0,0.0,0.0,0.0,0.0,59178.593299999986,1510.72,1589.34,1036.0,668.68,2016.0,1640.0,1.2732925824820995e-11
21,302.539708998294,2475.697822108073,5.127791677937186,8104.645707554264,48661.717465288304,471.7568343702211,0.0,9100.804670002917,0.0,0.0,0.0,340.93,0.0,0.0,61037.0,1774.57,1790.65,1404.0,0.0,1814.0,1643.0,0.0
22,298.2031964039343,2455.612035693622,8.114372691263519,7982.514135030487,48411.36177266456,469.61931950687614,0.0,8745.265168009257,0.0,0.0,0.0,925.59,0.0,0.0,60175.0,1956.99,2088.29,1716.0,0.0,1617.0,1743.0,0.0
23,297.0,2563.0,11.0,7013.0,46834.0,467.0,0.0,8479.0,0.0,0.0,0.0,463.95,0.0,0.0,57019.00999999999,1798.88,2157.06,1882.0,0.0,1614.0,1657.0,9.094947017729282e-12
24,297.0,2569.0,11.0,6676.0,45266.0,467.0,0.0,8214.0,0.0,0.0,0.0,1406.97,0.0,0.0,56061.72,2085.52,1932.73,1877.0,0.0,1614.0,1336.0,0.0
25,297.0,2570.0,11.0,6807.0,43646.0,468.0,0.0,7897.0,0.0,0.0,0.0,1708.52,0.0,0.0,55532.70999999999,1860.86,1571.95,1796.0,0.0,1614.0,1029.0,5.4569682106375694e-12
26,297.0,2576.0,11.0,6718.0,43034.0,470.0,0.0,7318.0,0.0,0.0,0.0,858.03,0.0,0.0,53824.3,1628.79,1463.94,1789.0,0.0,1614.0,962.0,-3.637978807091713e-12
27,297.0,2580.0,11.0,6630.0,43426.0,457.0,0.0,6788.0,0.0,0.0,0.0,540.09,0.0,0.0,53315.45,1410.21,1572.43,1807.0,0.0,1614.0,1010.0,-9.094947017729282e-13
28,298.66310582685816,2603.2122061935606,11.098966770592702,6857.143470268,45846.80473838101,456.0666345734455,0.0,6386.950877986527,0.0,0.0,0.0,937.73,0.0,0.0,55053.0,1392.93,1849.74,1969.0,0.0,1615.0,1518.0,-1.8189894035458565e-12
