,hydro,lignite,wind_onshore,RS -> ME,demand,ME -> RS,mismatch
0,0.0,530.96,0.0,0.0,405.0,125.96,4.263256414560601e-14
1,0.0,516.36,0.0,0.0,380.0,136.36,0.0
2,0.0,508.44,0.0,0.0,354.0,154.44,0.0
3,0.0,496.69,0.0,0.0,337.0,159.69,0.0
4,0.0,508.89,0.0,0.0,330.0,178.89,0.0
5,0.0,556.17,0.0,0.0,336.0,220.17,-2.842170943040401e-14
6,0.0,545.87,0.0,0.0,342.0,203.87,0.0
7,0.0,566.52,0.0,0.0,371.0,195.52,-2.842170943040401e-14
8,0.0,592.06,0.0,0.0,407.0,185.06,-5.684341886080802e-14
9,0.0,618.5199999999999,0.0,0.0,439.0,179.52,-1.4210854715202004e-13
10,0.0,608.74,0.0,0.0,453.0,155.74,0.0
11,0.0,606.56,0.0,0.0,454.0,152.56,-5.684341886080802e-14
12,0.0,603.48,0.0,0.0,448.0,155.48,2.842170943040401e-14
13,0.0,628.46,0.0,0.0,444.0,184.46,2.842170943040401e-14
14,0.0,673.5500000000001,0.0,0.0,446.0,227.55,5.684341886080802e-14
15,0.0,664.58,0.0,0.0,465.0,199.58,2.842170943040401e-14
16,0.0,683.9,0.0,0.0,476.0,207.9,-2.842170943040401e-14
17,0.0,672.25,0.0,0.0,477.0,195.25,0.0
18,0.0,646.76,0.0,0.0,475.0,171.76,0.0
19,0.0,556.3199999999999,0.0,0.0,472.0,84.32,-5.684341886080802e-14
20,0.0,541.5,0.0,0.0,462.0,79.5,0.0
21,0.0,542.66,0.0,0.0,445.0,97.66,-2.842170943040401e-14
22,0.0,569.55,0.0,0.0,435.0,134.55,-5.684341886080802e-14
23,0.0,435.83999999999986,0.0,0.0,404.0,31.84,-1.3855583347321954e-13
24,0.0,382.26000000000005,0.0,0.0,370.0,12.26,4.796163466380676e-14
25,0.0,340.52,0.0,3.48,344.0,0.0,0.0
26,0.0,307.66999999999996,0.0,16.33,324.0,0.0,-5.684341886080802e-14
27,0.0,309.46000000000004,0.0,4.54,314.0,0.0,5.684341886080802e-14
28,0.0,284.07,0.0,31.93,316.0,0.0,0.0
29,0.0,327.99,0.0,1.01,329.0,0.0,0.0
30,1.2936297157247325,364.6263702842753,0.0,0.0,345.0,20.92,1.4210854715202004e-14
31,244.83183320378123,263.55816679621876,0.0,0.0,382.0,126.39,-1.4210854715202004e-14
32,269.71449071847655,263.96550928152357,0.0,0.0,417.0,116.68,5.684341886080802e-14
33,277.81666570632865,272.7933342936714,0.0,0.0,441.0,109.61,1.2789769243681803e-13
34,283.6247181357844,276.9652818642156,0.0,0.0,454.0,106.59,2.842170943040401e-14
35,351.49882339383464,230.29117660616535,0.0,0.0,453.0,128.79,-2.842170943040401e-14
36,329.1778536575958,216.95214634240418,0.0,0.0,444.0,102.13,0.0
37,332.65489623927357,218.0451037607264,0.0,0.0,435.0,115.7,-7.105427357601002e-14
38,342.1870498363041,224.4829501636959,0.0,0.0,437.0,129.67,-2.842170943040401e-14
39,397.431545553873,261.468454446127,0.0,0.0,462.0,196.9,-2.842170943040401e-14
40,412.36034459446404,272.09965540553594,0.0,0.0,478.0,206.46,2.842170943040401e-14
41,407.17824010128913,267.5217598987109,0.0,0.0,480.0,194.7,5.684341886080802e-14
42,417.84948339341133,276.1405166065886,0.0,0.0,482.0,211.99,0.0
43,289.48351716102724,287.60648283897274,0.0,0.0,474.0,103.09,-8.526512829121202e-14
44,136.67904463671576,392.4709553632842,0.0,0.0,464.0,65.15,-2.842170943040401e-14
45,0.0,470.61,0.0,0.0,447.0,23.61,1.4210854715202004e-14
46,0.0,457.76,0.0,0.0,438.0,19.76,-1.0658141036401503e-14
47,0.0,456.15999999999997,0.0,0.0,409.0,47.16,-2.842170943040401e-14
48,0.0,410.18,0.0,0.0,369.0,41.18,7.105427357601002e-15
49,0.0,383.72999999999996,0.0,0.0,338.0,45.73,-3.552713678800501e-14
50,0.0,376.77,0.0,0.0,321.0,55.77,-2.1316282072803006e-14
51,0.0,353.89,0.0,0.0,311.0,42.89,-1.4210854715202004e-14
52,0.0,346.47,0.0,0.0,318.0,28.47,2.842170943040401e-14
53,0.0,384.16,0.0,0.0,344.0,40.16,2.842170943040401e-14
54,3.0999794582102966,452.48002054178966,0.0,0.0,380.0,75.58,-7.105427357601002e-14
55,188.9691211624092,403.05087883759086,0.0,0.0,425.0,167.02,8.526512829121202e-14
56,335.4047510296692,341.83524897033067,0.0,0.0,451.0,226.24,-1.1368683772161603e-13
57,280.715414429393,363.304585570607,0.0,0.0,457.0,187.02,-2.842170943040401e-14
58,270.80527258884626,348.9847274111537,0.0,0.0,448.0,171.79,-2.842170943040401e-14
59,236.17441723998382,352.4155827600162,0.0,0.0,439.0,149.59,2.842170943040401e-14
60,242.75166211358734,357.0983378864127,0.0,0.0,429.0,170.85,2.842170943040401e-14
61,247.41838191041185,359.7816180895882,0.0,0.0,427.0,180.2,5.684341886080802e-14
62,359.43681047553406,326.6231895244659,0.0,0.0,434.0,252.06,-5.684341886080802e-14
63,398.98561503518306,338.21438496481693,0.0,0.0,467.0,270.2,5.684341886080802e-14
64,436.43039155301364,330.1896084469863,0.0,0.0,499.0,267.62,-1.1368683772161603e-13
65,436.2474081619793,333.90259183802056,0.0,0.0,501.0,269.15,-1.1368683772161603e-13
66,452.79945359326155,315.4405464067385,0.0,0.0,499.0,269.24,0.0
67,0.0,592.9,0.0,0.0,485.0,107.9,-2.842170943040401e-14
68,0.0,530.72,0.0,0.0,479.0,51.72,2.842170943040401e-14
69,0.0,529.44,0.0,0.0,471.0,58.44,5.684341886080802e-14
70,0.0,536.72,0.0,0.0,465.0,71.72,2.842170943040401e-14
71,0.0,499.6899999999999,0.0,0.0,440.0,59.69,-1.1368683772161603e-13
72,0.0,475.09999999999997,0.0,0.0,395.0,80.1,-2.842170943040401e-14
73,0.0,481.35,0.0,0.0,358.0,123.35,2.842170943040401e-14
74,0.0,454.51,0.0,0.0,336.0,118.51,-1.4210854715202004e-14
75,0.0,433.97,0.0,0.0,325.0,108.97,2.842170943040401e-14
76,0.0,400.8,0.0,0.0,331.0,69.8,1.4210854715202004e-14
77,0.0,529.5699999999999,0.0,0.0,357.0,172.57,-5.684341886080802e-14
78,134.14735161464912,399.80264838535095,0.0,0.0,387.0,146.95,5.684341886080802e-14
79,294.46173029653266,348.16826970346744,0.0,0.0,427.0,215.63,1.1368683772161603e-13
80,346.36692172911216,338.4930782708878,0.0,0.0,449.0,235.86,-1.1368683772161603e-13
81,333.100793517407,323.32920648259307,0.0,0.0,455.0,201.43,5.684341886080802e-14
82,377.63291322746886,287.1870867725311,0.0,0.0,448.0,216.82,-5.684341886080802e-14
83,390.26352175050835,276.94647824949175,0.0,0.0,435.0,232.21,2.842170943040401e-14
84,386.80585609138075,274.39414390861924,0.0,0.0,431.0,230.2,5.684341886080802e-14
85,377.2697900325811,267.91020996741884,0.0,0.0,431.0,214.18,-5.684341886080802e-14
86,385.5680202048548,275.4719797951452,0.0,0.0,435.0,226.04,-2.842170943040401e-14
87,415.90938357402536,296.45061642597466,0.0,0.0,467.0,245.36,0.0
88,436.3544909141078,299.4055090858922,0.0,0.0,500.0,235.76,0.0
89,423.827096570504,291.65290342949606,0.0,0.0,501.0,214.48,2.842170943040401e-14
90,410.09535665660337,283.0946433433967,0.0,0.0,498.0,195.19,5.684341886080802e-14
91,329.5174584134615,324.89254158653847,0.0,0.0,486.0,168.41,-2.842170943040401e-14
92,142.43883411946854,418.3711658805314,0.0,0.0,473.0,87.81,-5.684341886080802e-14
93,0.0,555.96,0.0,0.0,456.0,99.96,4.263256414560601e-14
94,0.0,564.37,0.0,0.0,446.0,118.37,0.0
95,0.0,527.27,0.0,0.0,411.0,116.27,-1.4210854715202004e-14
96,0.0,510.03000000000003,0.0,0.0,371.0,139.03,2.842170943040401e-14
97,0.0,487.65000000000003,0.0,0.0,342.0,145.65,2.842170943040401e-14
98,0.0,489.56,0.0,0.0,319.0,170.56,0.0
99,0.0,495.83000000000004,0.0,0.0,313.0,182.83,2.842170943040401e-14
100,0.0,480.03,0.0,0.0,318.0,162.03,-2.842170943040401e-14
101,0.0,489.07,0.0,0.0,342.0,147.07,0.0
102,0.0,493.35,0.0,0.0,380.0,113.35,2.842170943040401e-14
103,333.9099309916665,328.83006900833357,0.0,0.0,425.0,237.74,0.0
104,328.0198148148148,319.56018518518516,0.0,0.0,450.0,197.58,-8.526512829121202e-14
105,313.71412012241774,307.00587987758223,0.0,0.0,460.0,160.72,2.842170943040401e-14
106,303.55183541432905,296.178164585671,0.0,0.0,459.0,140.73,2.842170943040401e-14
107,306.6588661048913,301.36113389510876,0.0,0.0,451.0,157.02,-2.842170943040401e-14
108,299.32775997321346,291.8622400267866,0.0,0.0,444.0,147.19,5.684341886080802e-14
109,308.18952283197666,300.1304771680233,0.0,0.0,441.0,167.32,-5.684341886080802e-14
110,303.4908649773885,296.3291350226114,0.0,0.0,440.0,159.82,-5.684341886080802e-14
111,318.7529590103133,310.4570409896868,0.0,0.0,468.0,161.21,2.842170943040401e-14
112,361.2270716951989,284.21292830480115,0.0,0.0,499.0,146.44,5.684341886080802e-14
113,335.8068956150562,268.0831043849437,0.0,0.0,502.0,101.89,-1.2789769243681803e-13
