,biomass,gas,hard_coal,hydro,lignite,nuclear,solar,wind_onshore,BG -> RO,HU -> RO,RS -> RO,demand,RO -> BG,RO -> HU,RO -> RS,mismatch
0,25.13897596656217,1121.1983281086727,112.62261233019854,1031.7035736677115,1472.1384326018808,1401.7492998955067,0.0,609.3687774294671,0.0,235.03,0.0,5332.0,653.0,0.0,23.95,-2.2737367544323206e-13
1,25.41787667358099,1133.6372996417122,113.87208749764284,903.85969451254,1297.3284254195737,1417.300803318876,0.0,500.2238129360739,0.0,282.26,39.1,5162.0,551.0,0.0,0.0,-9.094947017729282e-13
2,25.447681273334645,1135.9844920416585,115.02351935547259,804.1467282373748,1297.8317449400668,1418.9627078011397,0.0,382.73312635095306,0.0,297.4,88.47,5071.0,495.0,0.0,0.0,0.0
3,25.338176751592357,1131.0962101910827,115.54208598726115,794.6052229299363,1305.4228662420383,1412.8567356687897,0.0,307.09870222929936,0.0,272.77,135.27,5013.0,487.0,0.0,0.0,0.0
4,25.545783993466724,1140.3637974683545,114.44511229073093,746.9587239689671,1286.4856819109843,1424.4329154757047,0.0,266.6979848917926,0.0,301.27,140.8,4987.0,460.0,0.0,0.0,0.0
5,25.53467492260062,1140.8892755417958,113.37395665634675,801.7887925696594,1253.2418452012384,1422.7920866873064,0.0,190.99936842105262,0.0,329.37,149.01,4964.0,463.0,0.0,0.0,0.0
6,25.571020321761218,1141.4903471634207,113.53533022861981,749.7423158340389,1240.7059060118543,1424.817252328535,22.50249788314987,113.53533022861981,0.0,337.5,120.6,4887.0,403.0,0.0,0.0,0.0
7,25.415718499789296,1127.4412726506532,114.87904761904763,718.7565191740413,1246.3868352296672,1416.1638348082597,131.14510745891278,44.731664559629166,0.0,302.4,125.68,4891.0,362.0,0.0,0.0,0.0
8,25.0,1105.0,116.0,782.0,1253.0,1392.0,272.0,1.0,0.0,212.08,111.48,4878.56,391.0,0.0,0.0,0.0
9,25.0,1108.0,115.0,913.0,1277.0,1392.0,351.0,0.0,0.0,166.63,70.75,4896.38,522.0,0.0,0.0,0.0
10,25.0,1107.0,113.0,1167.0,1284.0,1392.0,383.0,0.0,0.0,118.21,0.0,4971.62,529.0,0.0,88.59,1.1368683772161603e-13
11,25.0,1109.0,113.0,1401.0,1286.0,1392.0,345.0,0.0,0.0,82.19,0.0,5078.049999999999,507.0,0.0,168.14,3.410605131648481e-13
12,26.0,1111.0,112.0,1531.0,1290.0,1392.0,240.0,0.0,0.0,84.93,0.0,5118.710000000001,486.0,0.0,182.22,-6.821210263296962e-13
13,27.0,1118.0,116.0,1574.0,1406.0,1393.0,114.0,37.0,0.0,90.34,0.0,5207.1900000000005,504.0,0.0,164.15,-3.410605131648481e-13
14,32.0,1149.0,116.0,1658.0,1595.0,1394.0,17.0,218.0,0.0,119.58,0.0,5456.389999999999,694.0,0.0,148.19,4.547473508864641e-13
15,33.0,1179.0,123.0,2347.0,1622.0,1395.0,0.0,378.0,0.0,82.55,0.0,6246.16,714.0,0.0,199.39,3.410605131648481e-13
16,33.0,1175.0,127.0,2613.0,1597.0,1394.0,0.0,541.0,0.0,35.75,0.0,6537.489999999999,740.0,0.0,238.26,1.1368683772161603e-12
17,33.0,1168.0,122.0,2463.0,1592.0,1395.0,0.0,750.0,0.0,37.25,0.0,6529.15,783.0,0.0,248.1,4.547473508864641e-13
18,32.0,1180.0,118.0,2225.0,1612.0,1395.0,0.0,958.0,0.0,29.33,0.0,6437.13,824.0,0.0,288.2,-2.2737367544323206e-13
19,34.0,1185.0,118.0,1887.0,1633.0,1394.0,0.0,1080.0,0.0,24.67,0.0,6154.100000000001,849.0,0.0,352.57,-1.1368683772161603e-12
20,34.0,1165.0,118.0,1554.0,1622.0,1394.0,0.0,1194.0,0.0,12.27,0.0,5913.04,837.0,0.0,343.23,4.547473508864641e-13
21,34.0,1131.0,115.0,1276.0,1632.0,1394.0,0.0,1219.0,0.0,7.43,0.0,5658.450000000001,872.0,0.0,277.98,-4.547473508864641e-13
22,34.0,1124.0,116.0,1145.0,1565.0,1394.0,0.0,1208.0,0.0,7.659999999999999,0.0,5387.04,974.0,0.0,232.62,0.0
23,34.0,1122.0,116.0,1028.0,1503.0,1394.0,0.0,1440.0,0.0,0.0,0.0,5269.28,1034.0,62.23,271.49,2.2737367544323206e-13
24,34.0,1123.0,116.0,1079.0,1297.0,1395.0,0.0,1475.0,0.0,0.0,0.0,5168.67,982.0,83.12,285.21,0.0
25,34.0,1122.0,117.0,1070.0,1260.0,1395.0,0.0,1469.0,0.0,0.0,0.0,5131.300000000001,944.0,90.47,301.23,-1.1368683772161603e-12
26,34.0,1118.0,118.0,1023.0,1234.0,1395.0,0.0,1580.0,0.0,0.0,0.0,5171.41,910.0,75.83,344.76,0.0
27,32.0,1119.0,118.0,1025.0,1241.0,1395.0,0.0,1659.0,0.0,0.0,0.0,5227.820000000001,951.0,43.52,366.66,-6.821210263296962e-13
28,23.0,1114.0,108.0,1006.0,1238.0,1395.0,0.0,1849.0,0.0,0.0,0.0,5362.520000000001,970.0,28.85,371.63,-1.3642420526593924e-12
29,26.0,1111.0,118.0,1198.0,1211.0,1395.0,0.0,1939.0,0.0,0.0,0.0,5623.53,939.0,61.06,374.41,2.2737367544323206e-13
30,32.0,1113.0,112.0,1393.0,1273.0,1395.0,2.0,1976.0,0.0,0.0,0.0,5948.0599999999995,880.0,78.58999999999999,389.35,4.547473508864641e-13
31,35.0,1123.0,112.0,1578.0,1305.0,1395.0,34.0,2049.0,0.0,0.0,0.0,6392.380000000001,895.0,97.52,246.1,-9.094947017729282e-13
32,34.0,1112.0,113.0,1621.0,1307.0,1395.0,78.0,2204.0,0.0,0.0,0.0,6646.79,875.0,125.78,216.43,0.0
33,35.0,1109.0,113.0,1627.0,1391.0,1394.0,83.0,2231.0,0.0,0.0,0.0,6736.05,865.0,155.47,226.48,-2.2737367544323206e-13
34,35.0,1101.0,113.0,1562.0,1476.0,1394.0,79.0,2258.0,0.0,0.0,0.0,6754.950000000001,885.0,156.4,221.65,-9.094947017729282e-13
35,34.0,1114.0,112.0,1507.0,1447.0,1394.0,67.0,2308.0,0.0,0.0,0.0,6753.98,884.0,160.6,184.42,4.547473508864641e-13
36,32.0,1215.0,112.0,1409.0,1340.0,1394.0,42.0,2370.0,0.0,0.0,0.0,6692.149999999999,881.0,161.64,179.21,1.3642420526593924e-12
37,34.0,1319.0,114.0,1592.0,1314.0,1394.0,18.0,2128.0,0.0,0.0,0.0,6709.139999999999,867.0,129.83,207.03,4.547473508864641e-13
38,35.0,1357.0,122.0,1674.0,1495.0,1393.0,4.0,2104.0,0.0,0.0,0.0,6953.690000000001,825.0,130.33,274.98,-1.3642420526593924e-12
39,35.0,1390.0,156.0,1886.0,1736.0,1393.0,2.0,1884.0,0.0,0.0,0.0,7361.37,778.0,93.07,249.56,2.2737367544323206e-13
40,36.0,1558.0,184.0,2073.0,1703.0,1392.0,1.0,1591.0,0.0,0.0,0.0,7462.77,693.0,155.32,226.91,-4.547473508864641e-13
41,34.0,1564.0,216.0,2250.0,1732.0,1392.0,0.0,1188.0,0.0,0.0,0.0,7357.11,620.0,129.79,269.1,3.410605131648481e-13
42,35.0,1574.0,234.0,2293.0,1751.0,1393.0,0.0,869.0,0.0,0.0,0.0,7203.78,549.0,104.5,291.72,2.2737367544323206e-13
43,36.0,1558.0,234.0,2148.0,1676.0,1393.0,0.0,791.0,0.0,0.0,0.0,6878.369999999999,608.0,95.62,254.01,1.0231815394945443e-12
44,35.0,1561.0,236.0,1893.0,1609.0,1394.0,0.0,738.0,0.0,0.0,0.0,6389.82,654.0,22.5,399.68,2.2737367544323206e-13
45,36.0,1545.0,230.0,1438.0,1583.0,1394.0,0.0,811.0,0.0,0.0,0.0,5943.35,801.0,7.170000000000001,285.48,-4.547473508864641e-13
46,32.0,1424.0,233.0,1271.0,1622.0,1394.0,0.0,789.0,0.0,0.0,0.0,5617.25,914.0,32.97,200.78,0.0
47,32.0,1333.0,231.0,1007.0,1603.0,1393.0,0.0,695.0,0.0,28.91,0.0,5383.34,856.0,0.0,83.57,-2.2737367544323206e-13
48,32.0,1329.0,233.0,1012.0,1468.0,1394.0,0.0,681.0,0.0,17.46,0.0,5289.8,786.0,0.0,90.66,-1.1368683772161603e-13
49,30.0,1331.0,232.0,891.0,1431.0,1394.0,0.0,693.0,0.0,27.35,0.0,5251.499999999999,725.0,0.0,52.85,1.2505552149377763e-12
50,31.0,1330.0,228.0,694.0,1421.0,1393.0,0.0,677.0,0.0,108.43,0.0,5259.7300000000005,607.0,0.0,15.7,-2.2737367544323206e-13
51,31.0,1336.0,236.0,907.0,1553.0,1394.0,0.0,713.0,0.0,83.94,0.0,5496.049999999998,622.0,0.0,135.89,1.2505552149377763e-12
52,31.0,1343.0,234.0,1123.0,1715.0,1394.0,0.0,757.0,0.0,103.91,0.0,5909.830000000001,631.0,0.0,160.08,-1.0231815394945443e-12
53,34.0,1363.0,240.0,1798.0,1969.0,1394.0,0.0,727.0,0.0,33.81,0.0,6659.760000000001,615.0,0.0,284.05,-6.821210263296962e-13
54,35.0,1562.0,249.0,2051.0,2055.0,1392.0,3.0,756.0,0.0,42.07,0.0,7179.320000000001,609.0,0.0,356.75,-9.094947017729282e-13
55,34.0,1592.0,249.0,2107.0,2051.0,1389.0,37.0,742.0,0.0,74.53999999999999,0.0,7478.230000000002,554.0,0.0,243.31,-1.3642420526593924e-12
56,35.0,1616.0,253.0,2060.0,2070.0,1373.0,98.0,831.0,0.0,68.75999999999999,0.0,7616.620000000001,570.0,0.0,218.14,-5.684341886080801e-13
57,34.0,1623.0,244.0,1920.0,2078.0,1335.0,159.0,941.0,0.0,33.34,0.0,7687.79,568.0,0.0,111.55,2.2737367544323206e-13
58,35.0,1965.0,250.0,1942.0,2099.0,1356.0,205.0,613.0,0.0,0.0,0.0,7676.040000000001,564.0,16.8,208.16,-7.958078640513122e-13
59,35.0,1991.0,248.0,1920.0,2112.0,1343.0,216.0,463.0,0.0,16.78,0.0,7658.89,522.0,0.0,163.89,3.410605131648481e-13
60,35.0,1985.0,245.0,2155.0,1905.0,1356.0,154.0,316.0,0.0,37.25,0.0,7512.8,509.0,0.0,166.45,-2.2737367544323206e-13
61,35.0,1985.0,252.0,2168.0,1931.0,1339.0,65.0,220.0,0.0,53.91,0.0,7454.75,437.0,0.0,157.16,-1.1368683772161603e-13
62,35.0,1985.0,241.0,2243.0,1882.0,1381.0,11.0,192.0,0.0,112.16,0.0,7607.47,438.0,0.0,36.69,-3.979039320256561e-13
63,35.0,2056.0,263.0,2349.0,1936.0,1377.0,1.0,258.0,0.0,153.23,24.12,8077.35,375.0,0.0,0.0,0.0
64,35.0,2051.0,258.0,2248.0,2031.0,1369.0,0.0,330.0,0.0,161.56,0.0,8086.7300000000005,340.0,0.0,56.83,-9.663381206337363e-13
65,35.0,2010.0,238.0,1995.0,2127.0,1383.0,0.0,336.0,0.0,193.95,0.0,7964.210000000001,311.0,0.0,42.74,-2.2737367544323206e-13
66,35.0,2001.0,232.0,1781.0,2119.0,1384.0,0.0,433.0,0.0,171.27,0.0,7773.5700000000015,329.0,0.0,53.7,-1.0800249583553523e-12
67,36.0,1662.0,232.0,1973.0,2043.0,1381.0,0.0,588.0,0.0,120.35,0.0,7453.950000000001,412.0,0.0,169.4,-3.410605131648481e-13
68,36.0,1906.0,240.0,1943.0,1820.0,1383.0,0.0,433.0,0.0,114.1,0.0,6915.560000000001,565.0,0.0,394.54,-9.094947017729282e-13
69,35.0,1677.0,235.0,1593.0,2052.0,1386.0,0.0,399.0,0.0,111.98,0.0,6415.119999999998,688.0,0.0,385.86,1.3642420526593924e-12
70,33.0,1591.0,235.0,1337.0,2058.0,1386.0,0.0,414.0,0.0,122.81,0.0,6107.39,845.0,0.0,224.42,0.0
71,32.0,1393.0,232.0,1169.0,2017.0,1386.0,0.0,280.0,0.0,135.96,0.0,5807.75,721.0,0.0,116.21,0.0
72,33.0,1344.0,238.0,1186.0,1807.0,1386.0,0.0,244.0,0.0,181.85,0.0,5659.85,675.0,0.0,85.0,0.0
73,33.0,1338.0,236.0,1079.0,1613.0,1392.0,0.0,298.0,0.0,215.43,46.0,5600.43,650.0,0.0,0.0,0.0
74,32.0,1329.0,238.0,1118.0,1641.0,1394.0,0.0,214.0,0.0,263.7,0.0,5614.12,573.0,0.0,42.58,-1.1368683772161603e-13
75,33.0,1334.0,241.0,1236.0,1818.0,1393.0,0.0,131.0,0.0,276.19,0.0,5808.06,475.0,0.0,179.13,-7.958078640513122e-13
76,34.0,1495.0,233.0,1348.0,2098.0,1394.0,0.0,52.0,0.0,321.45,0.0,6233.59,413.0,0.0,328.86,-3.410605131648481e-13
77,34.0,1627.0,232.0,1842.0,2112.0,1393.0,0.0,24.0,0.0,292.78,0.0,6865.48,447.0,0.0,244.3,2.2737367544323206e-13
78,34.0,1791.0,233.0,1991.0,2187.0,1387.0,5.0,36.0,0.0,185.73,0.0,7504.2,337.0,0.0,8.53,-2.2737367544323206e-13
79,34.0,1998.0,233.0,1976.0,2169.0,1320.0,28.0,36.0,0.0,180.44,69.29,7738.7300000000005,305.0,0.0,0.0,-9.094947017729282e-13
80,34.0,2001.0,235.0,2021.0,2187.0,1337.0,66.0,20.0,0.0,181.87,19.14,7746.01,356.0,0.0,0.0,0.0
81,34.0,2002.0,237.0,1994.0,2191.0,1342.0,115.0,23.0,0.0,145.26,0.0,7724.69,343.0,0.0,15.57,6.252776074688882e-13
82,34.0,2005.0,232.0,1956.0,2166.0,1322.0,151.0,100.0,0.0,137.38,0.0,7654.07,395.0,0.0,54.31,3.979039320256561e-13
83,34.0,1999.0,232.0,1928.0,2129.0,1350.0,172.0,149.0,0.0,129.77,0.0,7697.1,379.0,0.0,46.67,5.684341886080802e-14
84,34.0,1999.5,232.5,1916.0,2113.0,1360.5,148.0,134.5,0.0,116.64,0.0,7628.680000000001,390.0,0.0,35.96,-8.526512829121202e-13
85,34.0,2000.0,233.0,1904.0,2097.0,1371.0,124.0,120.0,0.0,104.04,0.0,7590.21,368.0,0.0,28.83,-5.684341886080802e-14
86,34.0,2000.0,237.0,1917.0,2129.0,1362.0,24.0,174.0,0.0,123.67,7.48,7686.150000000001,322.0,0.0,0.0,-9.094947017729282e-13
87,34.0,2012.0,237.0,2077.0,2181.0,1382.0,0.0,226.0,0.0,139.1,78.9,8217.0,150.0,0.0,0.0,0.0
88,34.0,2019.0,239.0,2218.0,2204.0,1385.0,0.0,240.0,0.0,129.93,15.15,8319.08,165.0,0.0,0.0,0.0
89,34.0,2019.0,235.0,2175.0,2204.0,1386.0,0.0,233.0,0.0,125.95,16.75,8227.7,201.0,0.0,0.0,0.0
90,34.0,2021.0,234.0,2190.0,2221.0,1394.0,0.0,194.0,0.0,116.56,0.0,8007.5599999999995,295.0,0.0,102.0,0.0
91,34.0,2023.0,236.0,2149.0,2235.0,1393.0,0.0,142.0,0.0,99.33,0.0,7632.36,425.0,0.0,253.97,2.2737367544323206e-13
92,34.0,1881.0,236.0,1850.0,2131.0,1394.0,0.0,241.0,0.0,54.99,0.0,7033.81,493.0,0.0,295.18,-6.821210263296962e-13
93,35.0,1692.0,244.0,1526.0,2223.0,1394.0,0.0,236.0,0.0,97.56,0.0,6513.900000000001,721.0,0.0,212.66,-1.1368683772161603e-13
94,35.0,1666.0,242.0,1423.0,2161.0,1393.0,0.0,141.0,0.0,81.34,0.0,6194.87,747.0,0.0,200.47,2.2737367544323206e-13
95,35.0,1231.0,237.0,1425.0,2062.0,1394.0,0.0,85.0,0.0,136.41,0.0,5925.600000000001,589.0,0.0,90.81,-1.3642420526593924e-12
96,35.0,1128.0,238.0,1334.0,2028.0,1404.0,0.0,92.0,0.0,177.25,0.0,5736.04,634.0,0.0,66.21,0.0
97,35.0,1125.0,238.0,1249.0,1997.0,1405.0,0.0,114.0,0.0,167.5,0.0,5670.5,609.0,0.0,51.0,0.0
98,35.0,1126.0,241.0,1235.0,2026.0,1405.0,0.0,89.0,0.0,219.39,0.0,5732.01,542.0,0.0,102.38,1.1368683772161603e-13
99,35.0,1128.0,241.0,1310.0,2051.0,1405.0,0.0,76.0,0.0,255.42,0.0,5885.569999999999,494.0,0.0,121.85,1.2505552149377763e-12
100,34.0,1227.0,243.0,1489.0,2034.0,1404.0,0.0,88.0,0.0,280.69,0.0,6306.599999999999,345.0,0.0,148.09,1.1368683772161603e-13
101,34.0,1381.0,243.0,1866.0,2038.0,1403.0,0.0,101.0,0.0,245.3,0.0,6966.449999999999,270.0,0.0,74.85,1.2505552149377763e-12
102,34.0,1591.0,239.0,2013.0,2173.0,1399.0,20.0,75.0,0.0,145.59,139.92,7547.509999999999,282.0,0.0,0.0,9.094947017729282e-13
103,34.0,1759.0,245.0,1976.0,2206.0,1363.0,145.0,56.0,0.0,165.17,147.16,7763.33,333.0,0.0,0.0,0.0
104,34.0,1978.0,238.0,1922.0,2151.0,1373.0,270.0,44.0,0.0,128.75,77.8,7782.549999999999,434.0,0.0,0.0,0.0
105,34.0,2009.0,238.0,1996.0,2119.0,1360.0,303.0,34.0,0.0,69.61,27.21,7785.820000000001,404.0,0.0,0.0,-9.094947017729282e-13
106,34.0,2021.0,244.0,2104.0,2189.0,1361.0,232.0,40.0,0.0,37.1,0.0,7826.390000000001,422.0,0.0,13.71,-8.526512829121202e-13
107,36.0,2012.0,249.0,2270.0,2173.0,1361.0,154.0,58.0,0.0,0.0,0.0,7883.95,407.0,0.0800000000000018,21.97,2.2737367544323206e-13
108,38.0,2006.0,243.0,2322.0,2085.0,1365.0,129.0,86.0,0.0,0.0,0.0,7770.37,466.0,17.590000000000003,20.04,5.684341886080802e-14
109,37.0,2003.0,241.0,2345.0,2083.0,1377.0,68.0,100.0,0.0,0.0,13.17,7752.48,487.0,27.69,0.0,4.547473508864641e-13
110,37.0,2011.0,250.0,2403.0,2142.0,1388.0,12.0,158.0,0.0,0.0,1.11,7946.36,444.0,11.750000000000002,0.0,9.094947017729282e-13
111,38.0,2043.0,274.0,2609.0,2262.0,1393.0,0.0,182.0,0.0,3.390000000000001,10.36,8519.75,295.0,0.0,0.0,0.0
112,38.0,2084.0,277.0,2776.0,2258.0,1393.0,0.0,255.0,0.0,0.0,0.0,8679.05,287.0,70.89,44.06,7.389644451905042e-13
113,38.0,2086.0,276.0,2751.0,2227.0,1392.0,0.0,385.0,0.0,0.0,0.0,8638.75,298.0,148.47,69.78,0.0
114,38.0,2083.0,273.0,2611.0,2228.0,1392.0,0.0,465.0,0.0,0.0,0.0,8475.19,372.0,168.77,74.04,-4.547473508864641e-13
115,38.0,2025.0,249.0,2423.0,2264.0,1392.0,0.0,516.0,0.0,0.0,0.0,8055.37,521.0,186.23,144.4,1.1368683772161603e-13
116,38.0,2019.0,248.0,2169.0,2097.0,1393.0,0.0,565.0,0.0,0.0,0.0,7378.98,725.0,136.82,288.2,4.547473508864641e-13
117,39.0,2027.0,247.0,1780.0,2034.0,1396.0,0.0,584.0,0.0,0.0,0.0,6743.75,893.0,97.04,373.21,0.0
118,38.0,1825.0,252.0,1602.0,2057.0,1397.0,0.0,581.0,0.0,0.0,0.0,6432.88,855.0,63.11,401.01,0.0
119,37.0,1558.0,253.0,1577.0,2084.0,1401.0,0.0,629.0,0.0,0.0,0.0,6270.090000000001,784.0,66.05,418.86,-9.094947017729282e-13
120,38.0,1527.0,228.0,1482.0,2005.0,1401.0,0.0,714.0,0.0,0.0,0.0,6129.76,767.0,64.91,433.33,-2.2737367544323206e-13
121,38.0,1526.0,228.0,1464.0,2004.0,1401.0,0.0,641.0,0.0,0.0,0.0,6074.35,736.0,45.190000000000005,446.46,-4.547473508864641e-13
122,38.0,1543.0,233.0,1545.0,2045.0,1402.0,0.0,485.0,0.0,0.0,0.0,6079.48,704.0,17.85,489.67,4.547473508864641e-13
123,38.0,1555.0,234.0,1576.0,2070.0,1401.0,0.0,356.0,0.0,21.74,0.0,6127.07,606.0,0.0,518.67,0.0
124,36.0,1574.0,234.0,1564.0,2061.0,1401.0,0.0,253.0,0.0,67.28,0.0,6193.25,543.0,0.0,454.03,-2.2737367544323206e-13
125,35.0,1572.0,231.0,1645.0,2054.0,1402.0,0.0,205.0,0.0,36.83,0.0,6412.53,529.0,0.0,239.3,2.2737367544323206e-13
126,35.0,1555.0,231.0,1627.0,2037.0,1404.0,16.0,241.0,0.0,52.23,0.0,6614.48,513.0,0.0,70.75,0.0
127,35.0,1524.0,228.0,1616.0,1969.0,1403.0,168.0,327.0,0.0,50.13999999999999,0.0,6806.31,454.0,0.0,59.83,-1.1368683772161603e-13
128,35.0,1487.0,225.0,1429.0,1945.0,1404.0,354.0,444.0,0.0,0.0,0.0,6813.9,461.0,36.07,12.03,3.979039320256561e-13
129,34.0,1495.0,230.0,1290.0,2006.0,1404.0,448.0,411.0,0.0,0.0,0.0,6709.570000000001,463.0,90.96,54.47,-6.821210263296962e-13
130,35.0,1304.0,237.0,1841.0,1768.0,1404.0,482.0,263.0,0.0,0.0,0.0,6642.38,448.0,119.92,123.7,-1.1368683772161603e-13
131,36.0,1312.0,239.0,1838.0,1876.0,1404.0,462.0,184.0,0.0,0.0,0.0,6617.1,497.0,93.22,143.68,-4.547473508864641e-13
132,37.0,1308.0,236.0,1821.0,1994.0,1404.0,356.0,183.0,0.0,0.0,0.0,6551.200000000001,512.0,115.28,160.52,-6.821210263296962e-13
133,38.0,1404.0,236.0,1772.0,2066.0,1405.0,170.0,325.0,0.0,0.0,0.0,6603.210000000001,526.0,139.57,147.22,-9.094947017729282e-13
134,37.0,1498.0,243.0,1767.0,2077.0,1404.0,31.0,662.0,0.0,0.0,0.0,6836.01,574.0,137.42,171.57,-2.2737367544323206e-13
135,35.0,1550.0,255.0,1897.0,2141.0,1405.0,1.0,1073.0,0.0,0.0,0.0,7521.899999999999,572.0,93.72,169.38,1.2505552149377763e-12
136,38.0,1614.0,265.0,1884.0,2154.0,1405.0,0.0,1348.0,0.0,0.0,0.0,7795.02,590.0,134.19,188.79,-4.547473508864641e-13
137,39.0,1552.0,237.0,1913.0,2144.0,1405.0,0.0,1524.0,0.0,0.0,0.0,7842.680000000001,631.0,146.29,194.03,-1.1368683772161603e-12
138,38.0,1522.0,237.0,1903.0,2107.0,1405.0,0.0,1618.0,0.0,0.0,0.0,7681.650000000001,728.0,166.02,254.33,-4.547473508864641e-13
139,39.0,1525.0,240.0,1809.0,2085.0,1404.0,0.0,1556.0,0.0,0.0,0.0,7416.740000000001,790.0,190.14,261.12,-6.821210263296962e-13
140,38.0,1503.0,247.0,1683.0,2084.0,1404.0,0.0,1313.0,0.0,0.0,0.0,6996.51,856.0,168.68,250.81,-2.2737367544323206e-13
141,39.0,1462.0,239.0,1332.0,1976.0,1405.0,0.0,1417.0,0.0,0.0,0.0,6543.72,974.0,90.95,261.33,-2.2737367544323206e-13
142,37.0,1015.0,250.0,1262.0,2122.0,1405.0,0.0,1440.0,0.0,0.0,0.0,6183.68,899.0,76.35,371.97,-4.547473508864641e-13
