,hydro,nuclear,other_fossil,wind_onshore,DE -> SE,DK -> SE,FI -> SE,LT -> SE,NO -> SE,PL -> SE,demand,SE -> DE,SE -> DK,SE -> FI,SE -> LT,SE -> NO,SE -> PL,mismatch
0,4596.279337345698,8908.876355708408,1183.7479119326904,2293.446395013204,75.9,1123.9,0.0,0.0,0.0,3.74,15714.0,0.0,0.0,966.1,206.3,1299.49,0.0,-9.094947017729282e-13
1,4463.17419327006,8882.663157894736,1187.8221693578207,2343.400479477382,76.0,1340.0,0.0,137.5,0.0,173.49,15745.0,0.0,0.0,937.8,0.0,1921.25,0.0,-9.094947017729282e-13
2,4430.273777985075,8884.472490671642,1098.4665671641792,2313.4371641791045,75.9,1312.6,0.0,157.9,0.0,249.4,15508.0,0.0,0.0,782.1999999999999,0.0,2232.25,0.0,9.094947017729282e-13
3,4438.334753298732,8937.353951597775,1101.7365618160218,2253.6947332874747,75.9,1262.4,0.0,156.9,0.0,371.58,15324.0,0.0,0.0,789.0,0.0,2484.9,0.0,1.3642420526593924e-12
4,4594.445086676573,8966.307367508667,1105.5645969539376,2291.9729488608223,76.0,1207.3,0.0,129.1,0.0,358.27,15516.0,0.0,0.0,805.77,0.0,2407.19,0.0,-9.094947017729282e-13
5,4880.808801213961,8988.138846737482,1115.4931714719273,2353.059180576631,75.8,991.8,0.0,20.1,0.0,199.24,15784.0,0.0,0.0,543.3499999999999,0.0,2297.09,0.0,-1.3642420526593924e-12
6,5238.86635147085,8856.598648823912,1103.5743017154987,2394.8806979897427,75.8,1284.8,0.0,116.3,0.0,241.36,16028.0,0.0,0.0,769.12,0.0,2515.06,0.0,4.547473508864641e-13
7,5644.977544141252,8841.107110754414,1107.4671749598717,2461.2681701444626,75.8,1244.3,0.0,121.2,0.0,191.95,16258.0,0.0,0.0,701.5,0.0,2728.57,0.0,-4.547473508864641e-13
8,6077.899933322219,8803.933423348335,1135.1599366561093,2538.386706673334,69.3,1062.7,0.0,125.2,0.0,185.41,16580.0,0.0,0.0,775.2,0.0,2642.79,0.0,-1.8189894035458565e-12
9,6943.8937632415245,8817.97066737288,1147.162226165254,2585.5033432203386,65.8,1295.4,0.0,0.0,0.0,0.21,17108.0,0.0,0.0,1151.3,64.5,2532.14,0.0,-9.094947017729282e-13
10,7328.829465374393,8837.858325777706,1161.2691230264186,2534.7130858214787,65.9,1302.1,0.0,0.0,0.0,0.0,17322.0,0.0,0.0,1223.59,69.7,2615.38,0.0,-1.8189894035458565e-12
11,7598.173180745151,8837.275809812174,1169.746007389921,2566.195002052756,65.9,1319.2,0.0,0.0,0.0,0.0,17577.0,0.0,0.0,1168.0,96.6,2714.89,0.0,-1.8189894035458565e-12
12,7732.401696154633,8848.578700143178,1162.8139261607691,2523.5756775414197,65.9,1339.6,0.0,0.0,0.0,0.0,17674.0,0.0,0.0,1196.4,22.8,2779.67,0.0,-9.094947017729282e-13
13,7980.067695735844,8845.10164691583,1172.7166859110705,2458.3539714372528,65.9,1331.0,0.0,0.0,0.0,0.0,17940.0,0.0,0.0,1339.62,10.2,2562.22,1.1,-4.092726157978177e-12
14,8375.272877633792,8815.098598278762,1165.6414051835,2518.1571189039473,65.9,1300.1,0.0,0.0,0.0,0.0,18464.0,0.0,0.0,1414.63,190.5,1988.64,182.4,-2.2737367544323206e-12
15,8786.678239262315,8830.115207959234,1173.832368357195,2519.3441844212575,66.0,985.5,0.0,0.0,0.0,0.0,18882.0,0.0,0.0,1394.96,211.5,1373.91,499.1,1.3642420526593924e-12
16,8948.325198193439,8824.258297698556,1179.669445538846,2566.117058569164,65.9,690.2,0.0,0.0,0.0,0.0,18964.0,0.0,0.0,1569.39,545.7,597.98,597.4,4.547473508864641e-12
17,8848.01242542528,8819.08046841116,1178.9772483253819,2595.6098578381766,100.5,365.0,0.0,0.0,0.0,0.0,18724.0,0.0,0.0,1485.14,536.4,564.24,597.4,-3.183231456205249e-12
