,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> BE,NL -> BE,demand,BE -> FR,BE -> NL,mismatch
0,232.46,1499.9,15.88,4949.54,766.42,0.0,814.39,1100.75,0.0,1226.47,8058.23,2547.58,0.0,0.0
1,153.58,1565.88,15.38,4800.17,766.45,0.0,807.19,1108.76,0.0,1264.44,7972.480000000001,2509.37,0.0,-9.094947017729282e-13
2,133.7,1552.23,15.17,4577.33,793.26,0.0,805.8,1026.03,0.0,1373.42,7744.280000000001,2532.66,0.0,0.0
3,131.38,1515.33,15.0,4522.49,779.02,0.0,805.33,995.13,0.0,1677.93,8236.88,2204.73,0.0,-4.547473508864641e-13
4,131.26,1529.68,14.74,4528.67,746.83,0.0,785.75,929.69,0.0,1753.24,8223.04,2196.82,0.0,-4.547473508864641e-13
5,131.45,1522.72,14.64,4527.47,793.93,0.0,776.34,867.62,0.0,1803.26,8282.750000000002,2154.68,0.0,4.547473508864641e-13
6,137.32,1498.67,14.32,4530.06,807.42,0.0,795.43,798.94,0.0,1316.43,7662.300000000001,2236.29,0.0,9.094947017729282e-13
7,156.13,1463.24,14.15,4530.44,794.43,0.12,786.42,786.26,0.0,825.96,7687.869999999997,1669.28,0.0,6.821210263296962e-13
8,158.38,1446.04,13.71,4530.88,809.29,89.52,717.01,829.0,0.0,439.49,7661.600000000002,1371.72,0.0,-6.821210263296962e-13
9,161.39,1399.94,12.89,4529.6,822.18,292.54,781.49,729.87,0.0,1138.05,7785.860000000001,2082.09,0.0,0.0
10,157.79,1450.76,12.71,4636.49,803.32,435.62,780.57,680.3,0.0,1634.4,8085.359999999999,2506.6,0.0,4.547473508864641e-13
11,159.56,1435.79,80.56,4861.5,807.0,241.55,746.9,621.67,0.0,1751.74,8323.11,2383.16,0.0,0.0
12,158.19,1567.86,54.47,4948.92,856.0,138.76,585.55,539.66,0.0,1681.89,8620.96,1910.34,0.0,2.2737367544323206e-13
13,159.87,1492.79,50.95,4946.24,924.43,62.79,409.75,416.89,220.92,177.27,8861.9,0.0,0.0,0.0
14,166.82,1562.65,137.88,4948.41,929.89,25.82,168.66,378.49,1588.01,0.0,8917.160000000002,0.0,989.47,-6.821210263296962e-13
15,165.11,1713.31,397.49,4948.79,953.8,2.44,54.46,263.82,2216.2,0.0,9094.77,0.0,1620.65,-2.2737367544323206e-12
16,163.57,1807.42,1105.45,4949.65,961.57,0.0,231.39,184.21,2067.87,0.0,9500.359999999999,0.0,1970.77,-1.3642420526593924e-12
17,162.09,1602.56,839.28,4949.84,946.99,0.0,136.27,262.69,2255.94,0.0,9302.720000000001,0.0,1852.94,4.547473508864641e-13
18,158.01,1503.52,377.58,4946.31,857.34,0.0,323.08,549.08,2406.69,0.0,9339.29,0.0,1782.32,-2.2737367544323206e-13
19,153.38,1370.85,139.62,4942.96,723.68,0.0,774.17,610.53,1943.6,0.0,9025.03,0.0,1633.76,2.2737367544323206e-13
20,128.83,1449.7,204.72,4944.64,688.65,0.0,675.53,642.68,1510.72,0.0,8803.21,0.0,1442.26,2.2737367544323206e-13
21,137.54,1422.87,369.71,4944.35,715.58,0.0,808.39,618.0,1774.57,0.0,9118.09,0.0,1672.92,0.0
22,134.23,1436.85,154.75,4945.42,785.07,0.0,810.31,688.69,1956.99,0.0,9253.949999999999,0.0,1658.36,6.821210263296962e-13
23,132.98,1392.67,26.48,4946.02,854.36,0.0,812.41,693.16,1798.88,0.0,8846.349999999999,0.0,1810.61,6.821210263296962e-13
