,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,AT -> DE,CH -> DE,CZ -> DE,DK -> DE,FR -> DE,NL -> DE,PL -> DE,SE -> DE,demand,DE -> AT,DE -> CH,DE -> CZ,DE -> DK,DE -> FR,DE -> NL,DE -> PL,DE -> SE,mismatch
0,4764.0,2407.0,1609.0,2414.0,6810.0,4754.0,868.0,147.0,0.0,2999.0,30106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41425.35,3195.6,3779.72,1757.94,1998.59,1810.0,1702.08,1132.82,75.9,1.8189894035458565e-12
1,4766.0,2398.0,1683.0,2113.0,6766.0,4591.0,822.0,146.0,0.0,3096.0,30773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41286.44,3217.7,3987.84,1886.98,2159.49,1651.0,1683.06,1205.49,76.0,-1.8189894035458565e-12
2,4771.0,2414.0,1679.0,1663.0,6728.0,4889.0,813.0,146.0,0.0,3137.0,31641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41797.03,3244.8,3729.36,2049.46,2088.28,1570.0,2086.38,1239.79,75.9,1.8189894035458565e-12
3,4777.0,2411.0,1678.0,1660.0,6710.0,4696.0,841.0,146.0,0.0,3212.0,31529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42367.68,3035.7,3456.17,2083.23,2090.77,1458.0,1833.28,1259.27,75.9,-1.8189894035458565e-12
4,4769.0,2393.0,1682.0,1656.0,6728.0,4831.0,866.0,146.0,0.0,3281.0,32063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43421.67,2977.0,3070.83,2090.73,2126.08,1489.0,1925.01,1238.68,76.0,1.8189894035458565e-12
5,4781.0,2304.0,1689.0,2054.0,6666.0,4763.0,861.0,146.0,0.0,3291.0,31447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42742.899999999994,3033.5,3265.41,2345.72,1981.71,1422.0,1848.99,1285.97,75.8,7.275957614183426e-12
6,4794.0,2267.0,1679.0,2039.0,6579.0,4639.0,863.0,146.0,0.0,3282.0,30918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43125.53,2917.8,3014.88,2217.9300000000003,2213.19,1124.0,1368.79,1148.08,75.8,1.8189894035458565e-12
7,4810.0,2251.0,1508.0,2030.0,6507.0,4616.0,862.0,146.0,173.0,3285.0,30311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43431.22,2768.8,2883.42,2111.32,2092.98,667.0,1370.9,1097.56,75.8,0.0
8,4849.0,2415.0,1516.0,2031.0,6537.0,4658.0,854.0,146.0,1565.0,3277.0,30811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45200.8,2904.1,2885.83,2276.05,2064.97,532.0,1595.15,1130.8,69.3,-1.8189894035458565e-12
9,4866.0,2493.0,1544.0,2105.0,6570.0,4857.0,854.0,146.0,4037.0,3196.0,31738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47278.25,3208.7,3190.21,2404.21,1977.28,1412.0,1751.87,1117.68,65.8,0.0
