,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> GB,NL -> GB,demand,GB -> FR,GB -> NL,mismatch
0,730.0,5526.0,1298.0,352.0,7266.0,89.0,0.0,3801.0,5475.0,1409.0,723.9,26669.9,0.0,0.0,0.0
1,756.0,5834.0,1597.0,455.0,7259.0,88.0,0.0,3821.0,5379.0,1410.0,737.42,27336.42,0.0,0.0,0.0
2,750.0,5175.0,1615.0,336.0,7258.0,89.0,0.0,3800.0,5212.0,1316.0,688.41,26239.41,0.0,0.0,0.0
3,757.0,4562.0,1659.0,282.0,7254.0,89.0,0.0,3773.0,5198.0,1318.0,689.23,25581.23,0.0,0.0,0.0
4,756.0,3694.0,1513.0,275.0,7262.0,89.0,0.0,3733.0,5046.0,1318.0,466.0,24152.0,0.0,0.0,0.0
5,758.0,3686.0,1637.0,267.0,7258.0,89.0,0.0,3675.0,4868.0,1318.0,225.82,23781.82,0.0,0.0,0.0
6,758.0,4723.0,1764.0,307.0,7261.0,89.0,4.0,3625.0,4492.0,1319.0,369.58,24711.58,0.0,0.0,0.0
7,754.0,5836.0,1729.0,445.0,7264.0,89.0,0.0,3629.0,4257.0,821.0,0.0,24672.86,0.0,151.14,-5.684341886080801e-13
8,758.0,6644.0,1651.0,678.0,7266.0,88.0,6.0,3415.0,3770.0,710.0,0.0,24867.82,0.0,118.18,2.8421709430404007e-13
9,752.0,8441.0,1660.0,938.0,7263.0,88.0,326.0,3088.0,3653.0,1315.0,249.01,27773.01,0.0,0.0,0.0
10,746.0,10144.0,1681.0,1110.0,7260.0,89.0,776.0,3016.0,3676.0,1818.0,644.13,30960.13,0.0,0.0,0.0
11,756.0,12088.0,1767.0,1112.0,7259.0,89.0,1285.0,2917.0,3729.0,1818.0,918.42,33738.42,0.0,0.0,0.0
12,758.0,13856.0,1734.0,1033.0,7264.0,89.0,1855.0,2717.0,3763.0,1818.0,923.82,35810.82,0.0,0.0,0.0
13,755.0,14992.0,1630.0,1296.0,7256.0,89.0,1502.0,2070.0,3622.0,1818.0,925.45,35955.45,0.0,0.0,0.0
14,746.0,14989.0,1905.0,846.0,7257.0,89.0,1051.0,2014.0,3780.0,1812.0,915.76,35404.76,0.0,0.0,0.0
15,742.0,14767.0,2195.0,1010.0,7251.0,88.0,252.0,1947.0,4022.0,2015.0,1016.79,35305.79,0.0,0.0,0.0
