,gas,hard_coal,hydro,other_fossil,wind_onshore,demand,mismatch
0,686.0,259.0,178.0,174.0,1988.0,3285.0,0.0
1,637.0,269.0,176.0,194.0,1884.0,3160.0,0.0
2,670.0,291.0,180.0,198.0,1700.0,3039.0000000000005,-4.547473508864641e-13
3,702.0,318.0,178.0,205.0,1387.0,2789.9999999999995,4.547473508864641e-13
4,664.0,358.0,179.0,213.0,1311.0,2725.0,0.0
5,583.0,325.0,172.0,210.0,1413.0,2703.0,0.0
6,558.0,239.0,175.0,200.0,1566.0,2738.0,0.0
7,539.0,220.0,177.0,149.0,1732.0,2817.0,0.0
8,538.0,219.0,177.0,148.0,1688.0,2770.0,0.0
9,546.0,223.0,187.0,148.0,1847.0,2951.0,0.0
10,542.0,221.0,196.0,148.0,2115.0,3222.0,0.0
11,546.0,223.0,198.0,149.0,2357.0,3473.0,0.0
12,537.0,221.0,198.0,148.0,2443.0,3547.0000000000005,-4.547473508864641e-13
13,553.0,223.0,201.0,147.0,2443.0,3567.0,0.0
14,565.0,217.0,197.0,148.0,2359.0,3486.0,0.0
15,574.0,215.0,197.0,159.0,2153.0,3297.9999999999995,4.547473508864641e-13
16,623.0,241.0,247.0,186.0,1939.0,3236.0,0.0
17,802.0,351.0,313.0,246.0,1838.0,3550.0,0.0
18,945.0,413.0,339.0,261.0,1541.0,3499.0,0.0
19,885.0,352.0,333.0,269.0,1223.0,3062.0,0.0
20,970.0,392.0,349.0,283.0,958.0,2952.0,0.0
21,947.0,495.0,293.0,293.0,706.0,2734.0,0.0
22,935.0,372.0,213.0,297.0,613.0,2430.0,0.0
23,956.0,361.0,259.0,307.0,569.0,2452.0,0.0
24,952.0,495.0,184.0,316.0,631.0,2578.0,0.0
25,882.0,368.0,176.0,311.0,740.0,2477.0,0.0
26,846.0,348.0,176.0,302.0,1007.0,2679.0,0.0
27,808.0,242.0,179.0,307.0,1368.0,2904.0000000000005,-4.547473508864641e-13
28,564.0,229.0,180.0,214.0,1626.0,2813.0,0.0
29,578.0,234.0,182.0,192.0,1685.0,2871.0,0.0
30,569.0,231.0,179.0,191.0,1738.0,2908.0000000000005,-4.547473508864641e-13
31,570.0,230.0,178.0,190.0,2002.0,3170.0,0.0
32,566.0,228.0,204.0,190.0,2164.0,3352.0,0.0
33,632.0,225.0,208.0,245.0,2097.0,3407.0,0.0
34,638.0,229.0,205.0,282.0,2022.0,3376.0,0.0
35,568.0,227.0,217.0,219.0,2161.0,3392.0,0.0
36,648.0,271.0,204.0,208.0,2132.0,3463.0,0.0
37,802.0,363.0,218.0,269.0,1994.0,3646.0,0.0
38,949.0,503.0,238.0,277.0,1892.0,3859.0,0.0
39,869.0,510.0,213.0,274.0,1961.0,3827.0,0.0
40,892.0,517.0,241.0,283.0,2125.0,4058.0,0.0
41,834.0,507.0,312.0,314.0,1929.0,3896.0,0.0
42,645.0,347.0,253.0,326.0,2065.0,3636.0,0.0
43,674.0,334.0,242.0,288.0,2103.0,3641.0,0.0
44,698.0,262.0,243.0,272.0,2331.0,3806.0,0.0
45,560.0,217.0,210.0,223.0,2243.0,3453.0,0.0
46,551.0,223.0,204.0,186.0,2132.0,3296.0,0.0
47,596.0,238.0,242.0,192.0,2186.0,3453.9999999999995,4.547473508864641e-13
48,571.0,236.0,175.0,192.0,2131.0,3305.0,0.0
49,569.0,233.0,170.0,189.0,2074.0,3235.0,0.0
50,565.0,230.0,170.0,188.0,1935.0,3087.9999999999995,4.547473508864641e-13
51,568.0,231.0,170.0,189.0,1823.0,2981.0,0.0
52,571.0,234.0,171.0,190.0,1772.0,2937.9999999999995,4.547473508864641e-13
53,575.0,237.0,171.0,191.0,1817.0,2991.0,0.0
54,566.0,229.0,170.0,188.0,2075.0,3228.0,0.0
55,653.0,229.0,170.0,261.0,2222.0,3535.0,0.0
56,656.0,217.0,197.0,276.0,2292.0,3638.0,0.0
57,623.0,239.0,240.0,365.0,2444.0,3910.9999999999995,4.547473508864641e-13
58,661.0,220.0,227.0,452.0,2400.0,3960.0,0.0
59,598.0,222.0,209.0,443.0,2470.0,3942.0,0.0
60,620.0,230.0,217.0,445.0,2544.0,4056.0000000000005,-4.547473508864641e-13
61,592.0,235.0,206.0,413.0,2568.0,4014.0,0.0
62,547.0,220.0,198.0,406.0,2600.0,3971.0,0.0
63,535.0,231.0,199.0,377.0,2574.0,3916.0,0.0
64,563.0,224.0,221.0,387.0,2495.0,3890.0,0.0
65,676.0,240.0,243.0,443.0,2271.0,3873.0000000000005,-4.547473508864641e-13
66,854.0,174.0,215.0,471.0,1955.0,3669.0,0.0
67,943.0,224.0,285.0,507.0,1632.0,3591.0,0.0
68,961.0,264.0,324.0,717.0,1198.0,3464.0,0.0
69,954.0,276.0,265.0,713.0,969.0,3177.0,0.0
70,927.0,280.0,273.0,676.0,701.0,2857.0,0.0
71,939.0,280.0,265.0,615.0,615.0,2714.0,0.0
72,907.0,324.0,189.0,644.0,691.0,2755.0,0.0
73,967.0,324.0,188.0,628.0,803.0,2910.0000000000005,-4.547473508864641e-13
74,935.0,293.0,184.0,602.0,1005.0,3019.0,0.0
75,834.0,221.0,184.0,509.0,1369.0,3117.0,0.0
76,733.0,220.0,183.0,496.0,1464.0,3096.0000000000005,-4.547473508864641e-13
77,565.0,216.0,182.0,423.0,1706.0,3092.0,0.0
78,731.0,249.0,187.0,500.0,1738.0,3405.0,0.0
79,815.0,247.0,191.0,696.0,1624.0,3573.0,0.0
80,843.0,267.0,206.0,706.0,1601.0,3623.0,0.0
81,807.0,248.0,214.0,662.0,1984.0,3915.0000000000005,-4.547473508864641e-13
82,795.0,217.0,213.0,535.0,2076.0,3836.0,0.0
83,802.0,228.0,211.0,481.0,2101.0,3823.0,0.0
84,854.0,228.0,200.0,517.0,2081.0,3880.0,0.0
85,883.0,234.0,204.0,611.0,1859.0,3791.0,0.0
86,1031.0,329.0,211.0,701.0,1464.0,3736.0,0.0
87,1323.0,449.0,224.0,735.0,1005.0,3736.0,0.0
88,1512.0,486.0,243.0,751.0,676.0,3668.0,0.0
89,1585.0,503.0,320.0,755.0,709.0,3872.0000000000005,-4.547473508864641e-13
90,1550.0,527.0,361.0,753.0,552.0,3742.9999999999995,4.547473508864641e-13
91,1510.0,532.0,318.0,763.0,499.0,3622.0,0.0
92,1557.0,553.0,299.0,763.0,414.0,3586.0,0.0
93,1708.0,557.0,279.0,763.0,289.0,3596.0,0.0
94,1570.0,548.0,200.0,752.0,340.0,3410.0,0.0
95,1584.0,553.0,190.0,754.0,443.0,3524.0,0.0
96,1740.0,555.0,183.0,762.0,362.0,3602.0,0.0
97,1778.0,555.0,183.0,772.0,280.0,3568.0000000000005,-4.547473508864641e-13
98,1605.0,551.0,182.0,769.0,358.0,3465.0,0.0
99,1451.0,524.0,182.0,771.0,440.0,3368.0000000000005,-4.547473508864641e-13
100,1409.0,478.0,182.0,759.0,523.0,3351.0,0.0
101,1431.0,517.0,184.0,763.0,459.0,3354.0,0.0
102,1458.0,532.0,183.0,760.0,529.0,3461.9999999999995,4.547473508864641e-13
103,1376.0,546.0,201.0,761.0,582.0,3466.0,0.0
104,1357.0,547.0,208.0,760.0,565.0,3437.0,0.0
105,1430.0,553.0,223.0,776.0,645.0,3627.0,0.0
106,1359.0,548.0,238.0,760.0,721.0,3626.0,0.0
107,1208.0,547.0,219.0,757.0,711.0,3442.0,0.0
108,1302.0,551.0,223.0,769.0,719.0,3564.0,0.0
109,1422.0,492.0,205.0,773.0,656.0,3548.0,0.0
110,1350.0,506.0,200.0,755.0,611.0,3422.0,0.0
111,1260.0,515.0,204.0,774.0,639.0,3392.0,0.0
112,1292.0,510.0,220.0,763.0,762.0,3547.0,0.0
113,1388.0,514.0,330.0,773.0,838.0,3843.0,0.0
114,1348.0,514.0,341.0,767.0,761.0,3731.0,0.0
115,1336.0,499.0,352.0,783.0,689.0,3659.0,0.0
116,1321.0,546.0,255.0,754.0,582.0,3458.0,0.0
117,1244.0,490.0,236.0,770.0,577.0,3317.0,0.0
118,1280.0,495.0,223.0,774.0,465.0,3237.0,0.0
119,1338.0,553.0,208.0,772.0,489.0,3360.0,0.0
120,1128.0,552.0,198.0,757.0,533.0,3168.0,0.0
121,968.0,518.0,183.0,754.0,591.0,3014.0,0.0
122,943.0,515.0,181.0,744.0,722.0,3105.0,0.0
123,896.0,309.0,180.0,744.0,941.0,3070.0,0.0
124,756.0,217.0,181.0,675.0,1163.0,2992.0,0.0
125,756.0,219.0,182.0,613.0,1142.0,2912.0,0.0
126,729.0,209.0,180.0,517.0,1392.0,3027.0,0.0
127,687.0,214.0,185.0,514.0,1534.0,3133.9999999999995,4.547473508864641e-13
128,726.0,217.0,195.0,546.0,1655.0,3338.9999999999995,4.547473508864641e-13
129,888.0,249.0,199.0,690.0,1648.0,3674.0,0.0
130,952.0,313.0,204.0,731.0,1669.0,3869.0,0.0
131,970.0,441.0,210.0,738.0,1518.0,3877.0,0.0
132,971.0,428.0,206.0,734.0,1513.0,3852.0,0.0
133,964.0,261.0,189.0,696.0,1584.0,3694.0,0.0
134,972.0,230.0,191.0,735.0,1578.0,3705.9999999999995,4.547473508864641e-13
135,986.0,362.0,272.0,738.0,1445.0,3803.0,0.0
136,989.0,525.0,296.0,722.0,1365.0,3897.0,0.0
137,1060.0,554.0,344.0,775.0,1371.0,4104.0,0.0
138,1024.0,554.0,300.0,771.0,1382.0,4031.0,0.0
139,995.0,557.0,306.0,758.0,1316.0,3932.0,0.0
140,991.0,556.0,257.0,754.0,1195.0,3753.0,0.0
141,994.0,559.0,210.0,759.0,1163.0,3685.0000000000005,-4.547473508864641e-13
142,984.0,556.0,197.0,749.0,1086.0,3572.0,0.0
143,988.0,556.0,191.0,747.0,948.0,3430.0000000000005,-4.547473508864641e-13
144,990.0,545.0,166.0,780.0,766.0,3247.0000000000005,-4.547473508864641e-13
145,968.0,555.0,156.0,764.0,717.0,3160.0,0.0
146,968.0,552.0,156.0,763.0,697.0,3136.0,0.0
147,966.0,555.0,156.0,761.0,691.0,3128.9999999999995,4.547473508864641e-13
148,973.0,544.0,157.0,769.0,636.0,3079.0,0.0
149,973.0,551.0,157.0,676.0,656.0,3013.0000000000005,-4.547473508864641e-13
150,961.0,544.0,156.0,665.0,685.0,3011.0,0.0
151,918.0,511.0,169.0,583.0,740.0,2921.0,0.0
