,biomass,gas,hydro,other_fossil,solar,wind_onshore,LV -> LT,PL -> LT,SE -> LT,demand,LT -> LV,LT -> PL,LT -> SE,mismatch
0,51.37,46.32,105.57,40.56,0.0,347.22,128.0,2.35,206.3,927.6899999999999,0.0,0.0,0.0,0.0
1,51.35,45.91,104.22,40.67,0.0,288.27,235.5,232.46,0.0,860.88,0.0,0.0,137.5,0.0
2,51.35,45.88,76.46,40.12,0.0,276.39,208.0,377.81,0.0,918.1099999999999,0.0,0.0,157.9,8.526512829121202e-14
3,51.53,45.79,76.17,39.99,0.0,256.84,165.0,466.6,0.0,945.02,0.0,0.0,156.9,8.526512829121202e-14
4,51.76,45.7,105.38,39.92,0.0,269.47,220.5,427.99,0.0,1031.6200000000001,0.0,0.0,129.1,-8.526512829121202e-14
5,51.89,45.54,105.42,39.66,0.0,289.13,278.0,232.84,0.0,1022.3800000000001,0.0,0.0,20.1,-9.237055564881302e-14
6,51.61,45.64,105.39,39.79,0.95,306.19,407.0,89.9,0.0,930.1699999999998,0.0,0.0,116.3,-4.263256414560601e-14
7,51.4,45.42,105.41,37.79,1.16,342.43,363.0,141.2,0.0,966.6099999999999,0.0,0.0,121.2,4.263256414560601e-14
8,51.47,45.2,105.44,39.75,2.32,365.44,251.0,272.93,0.0,1008.3500000000001,0.0,0.0,125.2,4.263256414560601e-14
9,51.42,45.06,105.5,40.48,2.78,384.38,279.0,2.41,64.5,975.53,0.0,0.0,0.0,0.0
10,51.46,44.96,105.47,40.57,3.47,405.22,306.5,0.0,69.7,1027.35,0.0,0.0,0.0,0.0
11,51.3,44.98,105.46,39.4,3.21,364.06,295.0,0.0,96.6,999.9700000000001,0.0,0.04,0.0,-3.63806207381856e-14
12,50.95,44.95,105.49,38.67,1.39,331.43,391.0,0.0,22.8,986.5700000000002,0.0,0.11,0.0,-1.0004497230653442e-13
13,50.97,45.18,105.47,38.11,0.02,262.83,430.5,0.0,10.2,943.28,0.0,0.0,0.0,0.0
14,50.99,45.23,105.32,39.18,0.0,214.29,397.5,0.0,190.5,1043.01,0.0,0.0,0.0,0.0
15,50.95,45.26,105.46,39.52,0.0,284.74,409.0,0.0,211.5,1133.95,0.0,12.48,0.0,1.7763568394002505e-14
16,50.96,45.27,105.42,39.49,0.0,352.37,428.5,0.0,545.7,1086.64,0.0,481.07,0.0,-5.684341886080802e-14
17,50.95,45.14,105.44,40.97,0.0,343.53,414.0,0.0,536.4,1049.9499999999998,0.0,486.48,0.0,0.0
18,51.04,45.32,105.44,40.12,0.0,336.05,456.0,0.0,430.3,977.74,0.0,486.53,0.0,0.0
19,50.91,45.56,105.44,39.67,0.0,292.94,551.0,0.0,283.1,881.81,0.0,486.81,0.0,-5.684341886080802e-14
20,50.74,45.58,105.4,39.68,0.0,251.13,433.0,0.0,324.9,763.7299999999998,0.0,486.7,0.0,5.684341886080802e-14
21,50.14,45.7,103.06,39.74,0.0,262.76,390.5,0.0,155.2,568.8199999999999,0.0,478.28,0.0,0.0
22,49.84,45.84,76.42,39.61,0.0,298.41,221.5,0.0,28.1,697.72,0.0,62.0,0.0,0.0
23,49.88,45.96,55.37,40.08,0.0,329.0,204.5,0.0,0.0,676.2099999999999,0.0,0.38,48.2,3.552713678800501e-14
24,49.93,46.05,55.37,40.34,0.0,343.42,176.0,0.0,0.0,668.3000000000001,0.0,0.11,42.7,-5.684341886080802e-14
25,50.04,45.99,55.4,40.17,0.0,311.23,234.5,0.0,0.0,704.73,0.0,0.0,32.6,2.1316282072803006e-14
26,50.23,46.02,55.4,40.17,0.0,320.29,245.0,0.0,0.0,680.8100000000001,0.0,0.0,76.3,-4.263256414560601e-14
27,51.08,46.08,55.39,40.14,0.0,304.91,257.0,0.0,0.0,746.2,0.0,0.0,8.4,-2.3092638912203256e-14
28,51.89,45.88,55.36,39.37,0.0,288.61,360.5,0.0,38.7,880.31,0.0,0.0,0.0,0.0
29,52.03,46.11,55.58,39.39,0.0,271.02,453.0,0.0,0.0,906.43,0.0,0.0,10.7,4.618527782440651e-14
30,52.17,46.04,105.63,39.06,0.94,230.68,463.5,0.0,101.3,1038.32,0.0,1.0,0.0,0.0
31,52.1,46.1,105.7,39.87,1.31,172.62,486.5,0.0,413.0,1021.0800000000003,0.0,296.12,0.0,-2.2737367544323206e-13
32,52.2,45.94,105.68,40.44,4.57,147.56,816.0,0.0,230.3,955.38,0.0,487.31,0.0,5.684341886080802e-14
33,52.17,45.9,105.68,39.99,6.52,125.82,852.5,0.0,237.5,979.3100000000001,0.0,486.77,0.0,-1.1368683772161603e-13
34,52.04,45.98,105.7,40.41,5.06,90.57,835.0,0.0,301.5,989.3199999999999,0.0,486.94,0.0,5.684341886080802e-14
35,51.92,46.11,147.1,39.92,3.14,78.42,811.5,0.0,263.1,953.8800000000001,0.0,487.33,0.0,-5.684341886080802e-14
36,51.91,46.16,178.08,39.14,1.68,74.1,768.0,0.0,320.3,991.9099999999999,0.0,487.46,0.0,5.684341886080802e-14
37,51.69,46.12,105.64,37.8,0.03,81.97,808.0,0.0,290.4,934.1600000000003,0.0,487.49,0.0,-2.2737367544323206e-13
38,51.56,46.17,301.79,38.33,0.0,101.33,909.5,0.0,89.7,1051.73,0.0,486.65,0.0,1.1368683772161603e-13
39,51.52,46.18,508.28,38.81,0.0,139.02,898.0,0.0,0.0,1123.92,0.0,486.69,71.2,-1.1368683772161603e-13
40,51.49,46.12,532.68,38.73,0.0,135.73,856.5,0.0,0.0,1126.15,0.0,486.5,48.6,-1.1368683772161603e-13
41,51.34,46.08,117.79,38.84,0.0,113.87,981.5,0.0,62.0,924.8499999999999,0.0,486.57,0.0,1.7053025658242404e-13
42,51.63,46.06,105.37,39.3,0.0,88.57,811.5,0.0,183.8,839.6700000000001,0.0,486.56,0.0,-5.684341886080802e-14
43,51.5,46.06,105.38,39.71,0.0,70.43,630.5,0.0,374.2,830.3100000000002,0.0,487.47,0.0,0.0
44,51.33,46.0,105.4,39.92,0.0,72.25,627.0,0.0,321.5,776.7199999999999,0.0,486.68,0.0,1.7053025658242404e-13
45,50.75,46.03,99.3,39.88,0.0,68.91,747.5,0.0,12.6,577.94,0.0,487.03,0.0,0.0
46,50.56,46.14,55.33,40.15,0.0,58.69,700.0,0.0,39.8,504.4599999999999,0.0,486.21,0.0,5.684341886080802e-14
47,50.37,46.14,105.5,40.8,0.0,51.02,636.5,0.0,3.6,561.53,0.0,372.4,0.0,1.1368683772161603e-13
48,50.4,46.01,105.44,41.6,0.0,49.57,612.0,0.0,2.7,752.8700000000001,0.0,154.85,0.0,-8.526512829121202e-14
49,50.51,46.12,105.46,40.7,0.0,39.75,565.0,0.0,2.8,803.8,0.0,46.54,0.0,-3.552713678800501e-14
50,50.62,46.13,105.46,22.63,0.0,40.21,556.5,0.0,4.0,825.55,0.0,0.0,0.0,0.0
51,51.3,45.96,105.48,20.95,0.0,40.55,545.5,0.0,4.9,812.8100000000001,0.0,1.83,0.0,-7.283063041541027e-14
52,51.98,45.88,105.5,20.47,0.0,50.72,602.5,0.0,122.5,873.64,0.0,125.91,0.0,-2.842170943040401e-14
53,52.07,45.89,105.46,20.44,0.0,60.67,587.0,0.0,642.3,1028.76,0.0,485.07,0.0,-5.684341886080802e-14
54,52.0,45.93,176.81,19.97,0.0,68.01,517.5,0.0,730.0,1123.66,0.0,486.56,0.0,-5.684341886080802e-14
55,52.0,45.89,105.5,19.8,1.14,81.68,599.5,0.0,730.6,1149.5999999999997,0.0,486.51,0.0,2.2737367544323206e-13
56,52.0,45.72,105.46,19.41,2.24,101.5,561.0,0.0,730.4,1131.0500000000002,0.0,486.68,0.0,-1.7053025658242404e-13
57,51.9,45.72,105.47,19.8,2.74,110.59,613.0,0.0,656.3,1118.5499999999997,0.0,486.97,0.0,2.2737367544323206e-13
58,51.9,45.73,201.65,20.23,2.39,124.48,493.0,0.0,728.4,1180.8400000000001,0.0,486.94,0.0,5.684341886080802e-14
59,51.85,45.69,194.63,20.14,1.96,150.37,535.0,0.0,647.6,1160.2799999999997,0.0,486.96,0.0,5.684341886080802e-14
60,51.81,45.62,201.65,20.23,1.24,192.6,489.0,0.0,682.3,1197.49,0.0,486.96,0.0,5.684341886080802e-14
61,51.89,45.56,233.53,20.24,0.02,198.12,449.0,0.0,663.0,1175.2000000000003,0.0,486.16,0.0,-1.7053025658242404e-13
62,51.81,45.54,217.02,20.28,0.0,240.57,506.5,0.0,570.1,1164.9799999999998,0.0,486.84,0.0,1.7053025658242404e-13
63,51.47,45.55,105.9,20.34,0.0,302.93,573.0,0.0,523.9,1135.9500000000003,0.0,487.14,0.0,-1.1368683772161603e-13
64,51.67,45.56,105.45,20.17,0.0,351.6,515.5,0.0,589.3,1192.12,0.0,487.13,0.0,1.1368683772161603e-13
65,51.97,45.56,105.36,20.53,0.0,379.92,445.5,0.0,624.4,1186.0400000000004,0.0,487.2,0.0,-1.7053025658242404e-13
66,51.95,45.53,105.43,25.97,0.0,380.47,481.5,0.0,512.6,1115.74,0.0,487.71,0.0,5.684341886080802e-14
67,51.95,45.9,105.44,30.9,0.0,390.6,586.5,0.0,260.5,985.8799999999999,0.0,485.91,0.0,5.684341886080802e-14
