,biomass,gas,hydro,other_fossil,wind_onshore,LT -> LV,demand,LV -> LT,mismatch
0,77.0,0.0,156.0,89.0,21.0,0.0,215.0,128.0,0.0
1,77.0,0.0,156.0,89.0,21.0,0.0,107.5,235.5,0.0
2,77.0,0.0,155.0,89.0,19.0,0.0,132.0,208.0,0.0
3,76.0,0.0,186.0,88.0,17.0,0.0,202.0,165.0,0.0
4,76.0,0.0,421.0,88.0,11.0,0.0,375.5,220.5,0.0
5,76.0,1.0,512.0,88.0,10.0,0.0,409.0,278.0,0.0
6,76.0,1.0,600.0,88.0,13.0,0.0,371.0,407.0,0.0
7,76.0,1.0,667.0,88.0,10.0,0.0,479.0,363.0,0.0
8,76.0,1.0,741.0,88.0,9.0,0.0,664.0,251.0,0.0
9,76.0,1.0,747.0,88.0,13.0,0.0,646.0,279.0,0.0
10,76.0,1.0,797.0,88.0,31.0,0.0,686.5,306.5,0.0
11,77.0,1.0,814.0,88.0,39.0,0.0,724.0,295.0,0.0
12,77.0,1.0,939.0,89.0,49.0,0.0,764.0000000000001,391.0,-1.1368683772161603e-13
13,77.0,1.0,1011.0,89.0,49.0,0.0,796.5,430.5,0.0
14,77.0,1.0,1012.0,89.0,46.0,0.0,827.5000000000001,397.5,-1.1368683772161603e-13
15,77.0,1.0,1013.0,89.0,47.0,0.0,818.0,409.0,0.0
16,77.0,1.0,1012.0,90.0,50.0,0.0,801.5,428.5,0.0
17,77.0,1.0,1012.0,90.0,49.0,0.0,815.0,414.0,0.0
18,78.0,1.0,1012.0,90.0,51.0,0.0,776.0,456.0,0.0
19,78.0,1.0,1049.0,90.0,51.0,0.0,718.0,551.0,0.0
20,78.0,1.0,759.0,90.0,51.0,0.0,546.0,433.0,0.0
21,78.0,1.0,578.0,91.0,51.0,0.0,408.5,390.5,0.0
22,78.0,1.0,483.0,91.0,51.0,0.0,482.5,221.5,0.0
23,78.0,1.0,636.0,90.0,51.0,0.0,651.5,204.5,0.0
24,78.0,1.0,546.0,90.0,51.0,0.0,590.0,176.0,0.0
25,78.0,1.0,564.0,90.0,49.0,0.0,547.5,234.5,0.0
26,77.0,1.0,612.0,89.0,46.0,0.0,580.0,245.0,0.0
27,77.0,1.0,787.0,89.0,48.0,0.0,745.0,257.0,0.0
28,77.0,1.0,800.0,89.0,44.0,0.0,650.5,360.5,0.0
29,77.0,1.0,807.0,89.0,34.0,0.0,555.0,453.0,0.0
30,76.0,25.0,868.0,88.0,30.0,0.0,623.5,463.5,0.0
31,76.0,25.0,876.0,88.0,31.0,0.0,609.5,486.5,0.0
32,76.0,24.0,1075.0,88.0,30.0,0.0,477.0,816.0,0.0
