,hydro,lignite,wind_onshore,RS -> ME,demand,ME -> RS,mismatch
0,0.0,154.61,0.0,0.0,28.649999999999977,125.96,4.263256414560601e-14
1,0.0,154.66,0.0,0.0,18.299999999999955,136.36,2.842170943040401e-14
2,0.0,154.61,0.0,0.0,0.17000000000001592,154.44,0.0
3,0.0,154.99,0.0,0.0,-4.699999999999989,159.69,0.0
4,0.0,155.32,0.0,0.0,-23.569999999999993,178.89,0.0
5,0.0,154.66,0.0,0.0,-65.50999999999999,220.17,0.0
6,0.0,153.89,0.0,0.0,-49.98000000000002,203.87,0.0
7,0.0,155.49,0.0,0.0,-40.02999999999997,195.52,-2.842170943040401e-14
8,0.0,155.1,0.0,0.0,-29.95999999999992,185.06,-8.526512829121202e-14
9,0.0,154.55,0.0,0.0,-24.96999999999997,179.52,-2.842170943040401e-14
10,0.0,155.16,0.0,0.0,-0.5800000000000409,155.74,2.842170943040401e-14
11,0.0,154.72,0.0,0.0,2.160000000000082,152.56,-8.526512829121202e-14
12,0.0,155.27,0.0,0.0,-0.21000000000003638,155.48,5.684341886080802e-14
13,0.0,153.89,0.0,0.0,-30.57000000000005,184.46,2.842170943040401e-14
14,0.0,154.83,0.0,0.0,-72.71999999999991,227.55,-8.526512829121202e-14
15,0.0,156.97,0.0,0.0,-42.610000000000014,199.58,0.0
16,0.0,179.41,0.0,0.0,-28.49000000000001,207.9,0.0
17,0.0,204.77,0.0,0.0,9.519999999999982,195.25,2.842170943040401e-14
18,0.0,204.93,0.0,0.0,33.170000000000016,171.76,0.0
19,0.0,205.7,0.0,0.0,121.38000000000005,84.32,-5.684341886080802e-14
20,0.0,206.31,0.0,0.0,126.81,79.5,0.0
21,0.0,206.47,0.0,0.0,108.81000000000006,97.66,-5.684341886080802e-14
22,0.0,205.81,0.0,0.0,71.26000000000005,134.55,-5.684341886080802e-14
23,0.0,179.41,0.0,0.0,147.57000000000005,31.84,-5.3290705182007514e-14
24,0.0,178.2,0.0,0.0,165.94,12.26,-8.881784197001252e-15
25,0.0,178.2,0.0,3.48,181.67999999999998,0.0,0.0
26,0.0,178.15,0.0,16.33,194.48000000000002,0.0,0.0
27,0.0,178.42,0.0,4.54,182.95999999999998,0.0,0.0
28,0.0,177.98,0.0,31.93,209.90999999999997,0.0,2.842170943040401e-14
29,0.0,201.91,0.0,1.01,202.92,0.0,0.0
30,0.73,205.76,0.0,0.0,185.56999999999996,20.92,1.4210854715202004e-14
31,192.06,206.75,0.0,0.0,272.42,126.39,-1.4210854715202004e-14
32,210.18,205.7,0.0,0.0,299.19999999999993,116.68,5.684341886080802e-14
33,210.16,206.36,0.0,0.0,306.90999999999997,109.61,1.4210854715202004e-14
34,210.82,205.87,0.0,0.0,310.09999999999997,106.59,2.842170943040401e-14
35,314.56,206.09,0.0,0.0,391.86,128.79,-2.842170943040401e-14
36,312.53,205.98,0.0,0.0,416.38,102.13,0.0
37,314.66,206.25,0.0,0.0,405.21000000000004,115.7,4.263256414560601e-14
38,315.4,206.91,0.0,0.0,392.64,129.67,-2.842170943040401e-14
39,314.67,207.02,0.0,0.0,324.7900000000001,196.9,-2.842170943040401e-14
40,311.9,205.81,0.0,0.0,311.25,206.46,2.842170943040401e-14
41,314.59,206.69,0.0,0.0,326.5799999999999,194.7,5.684341886080802e-14
42,312.35,206.42,0.0,0.0,306.78,211.99,0.0
43,206.66,205.32,0.0,0.0,308.89,103.09,2.842170943040401e-14
44,71.35,204.88,0.0,0.0,211.08000000000004,65.15,-2.842170943040401e-14
45,0.0,178.37,0.0,0.0,154.76,23.61,1.4210854715202004e-14
46,0.0,155.65,0.0,0.0,135.89,19.76,1.7763568394002505e-14
47,0.0,154.5,0.0,0.0,107.34000000000003,47.16,-2.842170943040401e-14
48,0.0,154.55,0.0,0.0,113.37,41.18,7.105427357601002e-15
49,0.0,154.72,0.0,0.0,108.98999999999998,45.73,2.1316282072803006e-14
