,biomass,gas,hard_coal,nuclear,other_fossil,solar,wind_offshore,wind_onshore,BE -> NL,DE -> NL,GB -> NL,NO -> NL,demand,NL -> BE,NL -> DE,NL -> GB,NL -> NO,mismatch
0,47.0,1439.0,0.0,546.0,0.0,0.0,860.0,2809.0,0.0,1702.08,0.0,74.93,5527.640000000001,1226.47,0.0,723.9,0.0,-9.094947017729282e-13
1,47.0,1442.0,0.0,546.0,0.0,0.0,861.0,2841.0,0.0,1683.06,0.0,0.0,5249.08,1264.44,0.0,737.42,169.12,-4.547473508864641e-13
2,47.0,1406.0,0.0,545.0,0.0,0.0,855.0,2835.0,0.0,2086.38,0.0,0.0,5083.589999999999,1373.42,0.0,688.41,628.96,9.094947017729282e-13
3,47.0,1395.0,0.0,545.0,0.0,0.0,854.0,2869.0,0.0,1833.28,0.0,0.0,4928.78,1677.93,0.0,689.23,247.34,0.0
4,45.0,1376.0,0.0,545.0,0.0,0.0,857.0,2828.0,0.0,1925.01,0.0,0.0,5045.130000000001,1753.24,0.0,466.0,311.64,-4.547473508864641e-13
5,45.0,1464.0,0.0,545.0,0.0,0.0,856.0,2734.0,0.0,1848.99,0.0,0.0,5312.789999999999,1803.26,0.0,225.82,151.12,9.094947017729282e-13
6,45.0,1570.0,0.0,545.0,0.0,0.0,853.0,2571.0,0.0,1368.79,0.0,272.73,5539.510000000001,1316.43,0.0,369.58,0.0,-6.821210263296962e-13
7,47.0,1326.0,0.0,545.0,0.0,0.0,768.0,2506.0,0.0,1370.9,151.14,0.0,5634.849999999999,825.96,0.0,0.0,253.23,4.547473508864641e-13
8,48.0,1167.0,0.0,545.0,0.0,57.0,676.0,2447.0,0.0,1595.15,118.18,0.0,5959.93,439.49,0.0,0.0,253.91,-3.410605131648481e-13
9,47.0,1339.0,0.0,545.0,0.0,238.0,852.0,2495.0,0.0,1751.87,0.0,219.42,6100.23,1138.05,0.0,249.01,0.0,4.547473508864641e-13
10,47.0,1447.0,0.0,545.0,0.0,427.0,856.0,2451.0,0.0,1675.34,0.0,413.03,5582.839999999999,1634.4,0.0,644.13,0.0,4.547473508864641e-13
11,48.0,1442.0,0.0,546.0,0.0,473.0,856.0,2312.0,0.0,1679.32,0.0,579.76,5265.92,1751.74,0.0,918.42,0.0,0.0
12,48.0,1665.0,0.0,546.0,0.0,382.0,861.0,1951.0,0.0,1778.59,0.0,652.57,5278.450000000001,1681.89,0.0,923.82,0.0,-9.094947017729282e-13
