,gas,hydro,other_fossil,wind_onshore,DK -> NO,FI -> NO,NL -> NO,SE -> NO,demand,NO -> DK,NO -> FI,NO -> NL,NO -> SE,mismatch
0,347.22,13168.56,50.34,731.07,1213.44,15.28,0.0,1299.49,16750.469999999998,0.0,0.0,74.93,0.0,2.8421709430404007e-13
1,347.05,12260.08,49.91,707.73,1039.86,13.29,169.12,1921.25,16508.289999999997,0.0,0.0,0.0,0.0,0.0
2,346.74,10998.94,49.67,680.36,1186.87,10.43,628.96,2232.25,16134.22,0.0,0.0,0.0,0.0,1.8189894035458565e-12
3,346.94,11012.34,49.55,674.14,1330.53,6.87,247.34,2484.9,16152.609999999999,0.0,0.0,0.0,0.0,0.0
4,347.6,11119.82,49.37,641.33,1327.34,9.92,311.64,2407.19,16214.210000000001,0.0,0.0,0.0,0.0,0.0
5,347.04,11601.18,49.3,631.08,1475.04,12.33,151.12,2297.09,16564.18,0.0,0.0,0.0,0.0,0.0
6,346.87,12257.43,49.22,623.56,1330.28,7.92,0.0,2515.06,16857.61,0.0,0.0,272.73,0.0,-4.547473508864641e-13
7,348.42,11846.25,48.95,597.29,1340.45,13.47,253.23,2728.57,17176.63,0.0,0.0,0.0,0.0,0.0
8,347.68,12104.13,48.72,529.42,1479.51,12.55,253.91,2642.79,17418.71,0.0,0.0,0.0,0.0,0.0
9,350.45,13061.64,48.58,490.7,1528.55,5.58,0.0,2532.14,17798.22,0.0,0.0,219.42,0.0,-1.7337242752546445e-12
10,349.39,13600.63,48.59,465.0,1438.32,0.0,0.0,2615.38,18103.399999999998,0.0,0.88,413.03,0.0,-1.1368683772161603e-13
11,349.7,13862.28,48.62,433.91,1454.72,0.28,0.0,2714.89,18284.640000000003,0.0,0.0,579.76,0.0,-1.5916157281026244e-12
12,350.17,13849.02,48.69,416.42,1618.12,2.58,0.0,2779.67,18412.100000000002,0.0,0.0,652.57,0.0,-3.410605131648481e-13
13,349.12,14110.82,48.8,421.6,1569.34,2.36,0.0,2562.22,18458.49,0.0,0.0,605.77,0.0,4.547473508864641e-13
14,348.35,15099.47,48.93,401.83,1471.46,0.0,0.0,1988.64,18650.62,0.0,5.26,702.8,0.0,1.3642420526593924e-12
