,biomass,gas,hydro,lignite,other_fossil,BG -> RS,HU -> RS,ME -> RS,RO -> RS,demand,RS -> BG,RS -> HU,RS -> ME,RS -> RO,mismatch
0,5.0,2.0,1246.0,2951.0,66.0,22.25,333.86,125.96,23.95,4776.02,0.0,0.0,0.0,0.0,0.0
1,5.0,2.0,1119.0,2957.0,65.0,0.0,352.63,136.36,0.0,4597.099999999999,0.79,0.0,0.0,39.1,3.268496584496461e-13
2,5.0,2.0,1085.0,2958.0,64.0,0.0,342.04,154.44,0.0,4485.4,36.61,0.0,0.0,88.47,-7.105427357601002e-14
3,5.0,2.0,1182.0,2942.0,63.0,0.0,320.14,159.69,0.0,4495.66,42.9,0.0,0.0,135.27,5.684341886080802e-14
4,5.0,2.0,1083.0,2916.0,62.0,0.0,308.94,178.89,0.0,4337.36,77.67,0.0,0.0,140.8,2.2737367544323206e-13
5,5.0,2.0,992.0,2928.0,62.0,0.0,296.12,220.17,0.0,4248.9,107.38,0.0,0.0,149.01,3.410605131648481e-13
6,5.0,2.0,914.0,2935.0,62.0,0.0,277.09,203.87,0.0,4175.21,103.15,0.0,0.0,120.6,0.0
7,5.0,2.0,1029.0,2938.0,63.0,0.0,270.44,195.52,0.0,4329.37,47.91,0.0,0.0,125.68,1.4210854715202004e-13
8,5.0,2.0,1204.0,2928.0,61.0,17.19,239.67,185.06,0.0,4530.4400000000005,0.0,0.0,0.0,111.48,-4.405364961712621e-13
9,5.0,2.0,1384.0,2945.0,66.0,31.83,264.23,179.52,0.0,4806.83,0.0,0.0,0.0,70.75,0.0
10,5.0,2.0,1454.0,2936.0,69.0,56.93,234.29,155.74,88.59,5001.55,0.0,0.0,0.0,0.0,0.0
11,5.0,2.0,1461.0,2945.0,67.0,73.95,192.12,152.56,168.14,5066.7699999999995,0.0,0.0,0.0,0.0,9.094947017729282e-13
12,5.0,2.0,1412.0,2938.0,66.0,51.69,162.55,155.48,182.22,4974.9400000000005,0.0,0.0,0.0,0.0,0.0
13,5.0,2.0,1352.0,2945.0,65.0,57.47,136.1,184.46,164.15,4911.18,0.0,0.0,0.0,0.0,0.0
