,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
0,11.39,30.41,89.23,238.29,696.49,10.53,0.08,0.7,770.79,0.0,957.0598076923077,0.0,890.8501923076922,0.0
1,11.41,28.92,64.58,224.7,696.39,10.49,0.08,0.61,799.77,0.0,967.7732692307691,0.0,869.1767307692309,-1.1368683772161603e-13
2,11.4,31.2,177.36,233.87,696.4,10.42,0.08,0.57,763.85,0.0,1082.0057692307696,0.0,843.1442307692306,-1.1368683772161603e-13
3,11.38,35.48,141.32,233.06,696.45,10.53,0.08,0.62,809.64,0.0,1182.139423076923,0.0,756.4205769230769,0.0
4,11.42,32.2,143.14,235.81,696.31,10.79,0.08,0.56,791.75,0.0,1298.6415384615382,0.0,623.4184615384614,1.1368683772161603e-13
5,11.43,37.68,145.31,234.65,696.21,9.27,0.08,0.24,828.01,0.0,1367.2013461538463,0.0,595.6786538461538,0.0
6,11.42,34.5,105.86,216.78,696.22,10.21,0.08,0.42,739.48,0.0,1147.915384615385,0.0,667.0546153846151,0.0
7,11.38,36.07,182.94,227.95,696.19,10.45,1.48,0.59,730.72,0.0,1158.454423076923,0.0,739.3155769230772,-1.1368683772161603e-13
8,11.38,36.25,242.99,239.96,696.36,9.13,5.35,0.63,694.38,0.0,1212.5465384615386,0.0,723.8834615384616,1.1368683772161603e-13
9,11.38,39.99,226.25,236.73,696.4,8.6,7.41,0.33,703.87,0.0,1233.4588461538463,0.0,697.5011538461538,0.0
10,10.95,40.4,252.46,237.02,696.43,7.96,8.13,0.53,748.8,0.0,1372.4367307692307,0.0,630.2432692307694,-1.1368683772161603e-13
11,11.38,38.67,394.99,241.6,696.62,9.17,6.07,0.47,715.1,0.0,1477.2671153846154,0.0,636.8028846153848,0.0
12,10.6,41.21,495.08,234.85,696.58,9.79,4.15,0.32,620.93,0.0,1383.6132692307692,0.0,729.8967307692309,1.1368683772161603e-13
13,10.76,41.54,569.36,237.33,696.39,10.95,1.95,0.32,417.72,0.0,1199.0969230769228,0.0,787.2230769230771,2.2737367544323206e-13
14,10.88,41.87,625.22,233.02,696.4,9.09,4.2,0.3,306.3,0.0,1151.021346153846,0.0,776.2586538461536,1.1368683772161603e-13
15,10.94,42.01,666.26,236.67,696.14,7.63,0.08,0.29,195.13,0.0,1135.584807692308,0.0,719.5651923076923,-2.2737367544323206e-13
