,hydro,nuclear,solar,wind_onshore,AT -> CH,DE -> CH,FR -> CH,IT -> CH,demand,CH -> AT,CH -> DE,CH -> FR,CH -> IT,mismatch
0,464.85,2594.8,0.21,26.4,910.4,3779.72,0.0,0.0,7311.0,0.0,0.0,104.55,1679.0,-1318.1699999999998
1,486.56,2810.3,0.21,29.13,950.48,3987.84,0.0,0.0,7484.0,0.0,0.0,106.64,1625.0,-951.1199999999997
2,437.15,2813.4,0.21,28.91,921.82,3729.36,61.9,0.0,7459.0,0.0,0.0,0.0,1556.0,-1022.25
3,474.78,1864.2,0.21,28.72,767.22,3456.17,150.05,0.0,7260.0,0.0,0.0,0.0,1464.0,-1982.6499999999996
4,423.6,2264.4,0.22,25.79,705.56,3070.83,33.28,0.0,7285.0,0.0,0.0,0.0,913.0,-1674.3199999999997
5,434.65,2816.7,0.22,24.8,582.3,3265.41,0.0,0.0,7205.0,0.0,0.0,46.82,956.0,-1083.7400000000002
6,403.16,2816.4,0.22,22.62,388.45,3014.88,146.68,0.0,7106.0,0.0,0.0,0.0,820.0,-1133.5900000000001
7,426.51,2817.0,1.71,19.28,261.45,2883.42,388.5,0.0,7186.0,0.0,0.0,0.0,744.0,-1132.1299999999992
8,419.86,2818.0,22.19,21.77,233.72,2885.83,560.53,0.0,7334.0,0.0,0.0,0.0,729.0,-1101.1000000000004
9,413.73,2817.5,64.71,24.39,402.73,3190.21,0.0,0.0,7429.0,0.0,0.0,93.76,642.0,-1251.4899999999996
10,429.93,2815.0,98.17,19.72,553.07,3277.81,0.0,0.0,7431.0,0.0,0.0,653.38,577.0,-1467.6800000000003
11,488.26,2769.0,107.21,25.75,739.31,3247.75,0.0,0.0,7828.0,0.0,0.0,803.55,421.0,-1675.2699999999993
12,528.53,2763.8,96.19,26.3,775.73,2963.48,0.0,0.0,7709.0,0.0,0.0,973.07,308.0,-1836.0399999999995
13,473.24,2764.0,54.76,21.91,212.43,1595.79,200.74,390.0,7491.0,0.0,0.0,0.0,0.0,-1778.13
14,489.33,2803.0,16.79,21.3,0.0,976.15,1019.93,591.0,7461.0,114.53,0.0,0.0,0.0,-1658.03
15,494.68,2813.6,2.14,21.24,0.0,1020.93,1401.53,613.0,7727.0,170.57,0.0,0.0,0.0,-1530.450000000001
16,544.88,2814.5,0.22,22.31,178.41,1498.99,1591.59,0.0,7939.0,0.0,0.0,0.0,84.0,-1372.1000000000004
17,1475.03,2817.6,0.22,21.9,0.0,1417.22,1003.3,0.0,7070.0,18.69,0.0,0.0,1109.0,-1462.4199999999996
18,1255.61,2814.7,0.22,22.94,74.2,1578.84,1457.56,0.0,7259.0,0.0,0.0,0.0,1440.0,-1494.9300000000003
19,924.76,2812.3,0.22,22.99,330.81,2218.09,1294.67,0.0,6786.0,0.0,0.0,0.0,2007.0,-1189.1599999999999
20,479.28,2814.3,0.22,22.8,895.9,3064.75,1589.34,0.0,7381.0,0.0,0.0,0.0,2441.0,-955.4099999999999
21,426.5,2813.6,0.22,22.79,711.98,2672.36,1790.65,0.0,7649.0,0.0,0.0,0.0,1679.0,-889.9000000000015
22,399.64,2814.2,0.22,22.26,408.57,2210.0,2088.29,0.0,7605.0,0.0,0.0,0.0,1094.0,-755.8199999999997
23,385.95,2815.6,0.25,20.68,184.15,1953.45,2157.06,0.0,7482.0,0.0,0.0,0.0,929.0,-893.8600000000006
24,375.9,2819.0,0.24,22.61,176.54,1822.21,1932.73,0.0,7478.0,0.0,0.0,0.0,625.0,-953.7700000000004
25,385.45,2819.4,0.24,22.4,282.27,1822.29,1571.95,0.0,7443.0,0.0,0.0,0.0,483.0,-1022.0
26,385.31,2818.5,0.25,22.13,329.96,1970.79,1463.94,0.0,7275.0,0.0,0.0,0.0,673.0,-957.1199999999999
27,383.73,2818.5,0.24,23.06,348.2,1999.17,1572.43,0.0,7155.0,0.0,0.0,0.0,965.0,-974.6700000000001
28,427.81,2364.9,0.25,23.45,549.53,2302.13,1849.74,0.0,7177.0,0.0,0.0,0.0,1696.0,-1355.1900000000005
29,509.43,2788.4,0.24,23.54,353.85,2319.69,2260.62,0.0,6773.0,0.0,0.0,0.0,2294.0,-811.2299999999996
30,544.05,2816.5,0.24,22.47,848.15,2960.53,1799.08,0.0,6663.0,0.0,0.0,0.0,3267.0,-938.9799999999996
31,612.63,2819.2,1.55,21.17,1010.99,3409.94,1287.9,0.0,6839.0,0.0,0.0,0.0,3344.0,-1019.619999999999
32,680.78,2820.4,16.36,17.44,1156.25,3578.04,822.24,0.0,7088.0,0.0,0.0,0.0,3182.0,-1178.4899999999998
33,647.66,2820.1,42.56,15.1,1150.4,3485.23,688.02,0.0,7210.0,0.0,0.0,0.0,2845.0,-1205.9300000000003
34,596.76,2819.6,59.6,14.76,997.57,3408.3,554.06,0.0,7307.0,0.0,0.0,0.0,2471.0,-1327.3500000000004
35,539.0,2819.0,54.76,11.93,874.42,3023.97,417.13,0.0,7393.0,0.0,0.0,0.0,1781.0,-1433.7900000000009
36,537.69,2820.4,51.28,9.93,893.42,2501.07,554.41,0.0,7385.0,0.0,0.0,0.0,1438.0,-1454.7999999999993
37,828.03,2820.7,34.43,10.93,1024.28,2477.3,745.01,0.0,7038.0,0.0,0.0,0.0,2412.0,-1509.3200000000006
38,927.73,2816.5,15.96,11.48,990.52,2982.59,1320.95,0.0,6947.0,0.0,0.0,0.0,3309.0,-1190.2700000000004
