,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,DE -> DK,NO -> DK,SE -> DK,demand,DK -> DE,DK -> NO,DK -> SE,mismatch
0,587.0,236.0,254.0,175.0,0.0,917.03,1551.51,1998.59,0.0,0.0,3146.5,0.0,1213.44,1123.9,235.28999999999996
1,502.0,256.0,280.0,186.0,0.0,815.06,1465.03,2159.49,0.0,0.0,3024.7,0.0,1039.86,1340.0,259.02000000000044
2,488.0,259.0,259.0,179.0,0.0,854.22,1494.61,2088.28,0.0,0.0,2931.4,0.0,1186.87,1312.6,191.2400000000007
3,482.0,251.0,266.0,182.0,0.0,936.6,1406.38,2090.77,0.0,0.0,2878.9,0.0,1330.53,1262.4,142.91999999999962
4,390.0,204.0,254.0,184.0,0.0,917.27,1423.11,2126.08,0.0,0.0,2896.9,0.0,1327.34,1207.3,66.92000000000007
5,385.0,211.0,230.0,180.0,0.0,959.88,1501.38,1981.71,0.0,0.0,2998.2,0.0,1475.04,991.8,-16.06999999999971
6,417.0,222.0,283.0,185.0,0.0,965.99,1470.82,2213.19,0.0,0.0,3082.9,0.0,1330.28,1284.8,59.01999999999998
7,431.98,226.68,242.48,172.86,0.91,1019.8,1537.58,2092.98,0.0,0.0,3218.5,0.0,1340.45,1244.3,-77.97999999999956
8,469.78,243.48,236.35,160.46,11.2,1087.62,1637.26,2064.97,0.0,0.0,3511.1,0.0,1479.51,1062.7,-142.19000000000096
9,582.28,252.48,272.51,166.96,35.87,1139.75,2003.35,1977.28,0.0,0.0,3774.3,0.0,1528.55,1295.4,-167.77000000000044
10,575.92,280.72,326.25,167.44,54.12,1121.65,2026.74,2102.44,0.0,0.0,4097.0,0.0,1438.32,1302.1,-182.13999999999942
11,570.84,277.44,302.24,168.88,58.55,1136.89,2106.35,2076.1,0.0,0.0,4121.9,0.0,1454.72,1319.2,-198.52999999999884
12,660.8,258.8,251.25,160.6,59.87,1137.57,2367.24,1798.54,0.0,0.0,4014.3,0.0,1618.12,1339.6,-277.3500000000008
13,641.04,256.64,254.38,163.28,48.22,1129.89,2275.46,2077.15,0.0,0.0,4140.7,0.0,1569.34,1331.0,-194.98000000000047
14,615.62,279.92,303.25,175.34,19.19,1123.73,2110.87,2080.13,0.0,0.0,4005.2,0.0,1471.46,1300.1,-68.70999999999958
15,633.98,346.68,486.49,184.86,0.9,1096.24,1845.83,2068.87,0.0,0.0,4204.8,0.0,1472.08,985.5,1.4700000000002547
16,639.0,361.0,716.0,194.0,0.0,1099.52,1588.51,1978.05,0.0,0.0,4493.3,0.0,1393.01,690.2,-0.43000000000029104
17,705.0,358.0,737.0,190.0,0.0,1062.02,1485.56,1702.82,0.0,0.0,4384.9,0.0,1504.5,365.0,-14.0
18,712.0,377.0,603.0,199.0,0.0,1038.52,1473.49,1936.96,0.0,0.0,4138.2,0.0,1455.76,701.2,44.8100000000004
19,693.0,336.0,369.0,181.0,0.0,965.93,1489.09,2022.05,0.0,0.0,3897.0,0.0,1536.49,680.4,-57.820000000000164
20,656.0,319.0,305.0,179.0,0.0,1003.1,1467.44,1701.8,0.0,0.0,3652.6,0.0,1509.03,541.2,-71.48999999999978
21,599.0,348.0,306.0,183.0,0.0,904.29,1368.64,1881.67,0.0,0.0,3404.1,0.0,1436.58,712.6,37.32000000000062
