,biomass,gas,hydro,oil,other_fossil,other_renewable,solar,waste,wind_onshore,demand,mismatch
0,71.1,1.0,2.7,712.3,51.4,5.8,0.7,15.8,80.2,799.6,141.39999999999986
1,73.1,1.0,2.7,774.0,51.1,5.8,0.7,15.4,86.1,783.2,226.69999999999993
2,69.9,1.0,2.7,808.4,48.0,5.8,0.7,15.7,73.7,776.8,249.10000000000014
3,71.0,1.0,2.7,812.3,51.4,5.8,0.7,15.6,71.1,779.2,252.39999999999986
4,71.1,1.0,2.7,813.3,51.6,5.8,0.7,15.2,73.5,780.5,254.4000000000001
5,70.3,1.0,2.7,734.7,51.0,5.8,0.7,14.8,68.8,791.0,158.79999999999995
6,70.5,1.0,2.7,713.0,50.2,5.8,0.7,15.2,61.6,807.6,113.10000000000014
7,69.9,1.0,2.7,690.6,49.6,5.8,0.7,15.5,60.4,804.0,92.20000000000005
8,68.5,1.0,2.7,676.9,53.0,5.8,0.7,15.5,60.9,841.8,43.200000000000045
9,68.3,1.0,2.7,662.2,51.6,5.8,0.7,16.0,56.9,877.0,-11.799999999999955
10,68.7,1.0,2.7,649.4,50.2,5.8,0.7,15.9,55.5,897.7,-47.80000000000007
11,68.0,1.0,2.7,611.0,49.2,5.8,0.7,15.6,68.1,904.3,-82.19999999999982
12,68.0,1.0,2.7,624.6,50.6,5.8,0.7,14.8,73.3,913.7,-72.20000000000005
13,68.2,1.0,2.7,647.0,51.7,5.8,0.7,14.5,71.0,946.4,-83.79999999999995
14,70.9,1.0,2.7,728.9,52.5,5.8,0.7,15.0,90.6,1002.9,-34.799999999999955
15,72.3,1.0,2.7,747.6,52.3,5.8,0.7,12.6,127.9,1010.8,12.100000000000023
16,73.3,1.0,2.7,690.9,53.6,5.8,0.7,14.5,142.3,998.9,-14.100000000000023
17,73.3,1.0,2.7,678.9,52.8,5.8,0.7,14.6,168.9,977.2,21.499999999999886
18,73.5,1.0,2.7,638.6,51.7,5.8,0.7,14.6,187.6,946.5,29.70000000000016
19,75.1,1.0,2.7,702.8,53.7,5.8,0.7,14.4,180.7,912.3,124.59999999999991
20,76.2,1.0,2.7,763.5,54.2,5.8,0.7,14.0,182.1,870.1,230.10000000000002
21,75.2,1.0,2.7,711.9,53.0,5.8,0.7,13.0,178.1,819.6,221.79999999999984
22,73.6,1.0,2.7,649.4,53.7,5.8,0.7,14.1,181.8,771.6,211.19999999999993
23,71.5,1.0,2.7,716.1,49.3,5.8,0.7,14.7,190.5,741.5,310.8000000000002
24,71.1,1.0,2.7,710.8,50.0,5.8,0.7,14.6,198.8,723.7,331.79999999999995
25,70.5,1.0,2.7,677.1,54.8,5.8,0.7,14.8,215.6,719.1,323.9
26,69.6,1.0,2.7,803.5,56.0,5.8,0.7,15.3,208.6,724.6,438.5999999999998
27,69.0,1.0,2.7,742.0,56.6,5.8,0.7,15.7,216.5,765.1,344.9
28,69.5,1.0,2.7,1032.4,51.6,5.8,0.7,15.3,223.7,866.1,536.6
29,69.8,1.0,2.7,1071.9,50.1,5.8,0.7,15.1,218.1,987.6,447.5999999999998
30,69.7,1.0,2.7,1105.1,51.3,5.8,0.7,15.8,209.8,1096.2,365.6999999999998
31,70.2,1.0,2.7,1156.4,54.3,5.8,0.7,16.5,203.1,1136.6,374.10000000000014
32,70.4,1.0,2.7,1199.1,52.7,5.8,0.7,16.9,160.1,1156.6,352.79999999999995
33,70.4,1.0,2.7,1221.6,48.3,5.8,0.7,16.5,163.9,1162.1,368.79999999999995
34,69.8,1.0,2.7,1223.7,48.1,5.8,0.7,16.2,163.7,1154.6,377.10000000000014
35,70.3,1.0,2.7,1168.6,47.1,5.8,0.7,16.3,166.9,1171.3,308.0999999999999
36,70.3,1.0,2.7,1098.4,52.5,5.8,0.7,15.8,162.7,1161.4,248.5
37,69.9,1.0,2.7,1116.3,51.8,5.8,0.7,15.3,166.9,1182.4,247.99999999999977
38,70.3,1.0,2.7,1114.5,54.0,5.1,0.7,16.0,174.8,1215.5,223.5999999999999
39,70.9,1.0,2.7,1102.5,53.8,4.6,0.7,16.3,184.8,1194.7,242.59999999999968
40,72.4,1.0,2.7,1085.2,54.2,4.6,0.7,15.6,168.7,1171.7,233.39999999999986
41,73.6,1.0,2.7,1087.5,53.7,4.6,0.7,15.6,154.7,1131.5,262.5999999999999
42,73.2,1.0,2.7,1110.5,50.2,4.6,0.7,15.8,163.8,1083.6,338.9000000000001
43,75.1,1.0,2.7,1119.2,51.9,4.6,0.7,16.5,175.4,1045.0,402.10000000000014
44,75.4,1.0,2.7,1168.3,52.4,4.6,0.7,16.6,175.9,976.7,520.8999999999999
45,75.3,1.0,2.7,1193.8,50.7,4.6,0.7,16.5,175.9,906.9,614.3000000000001
46,74.2,1.0,2.7,1172.1,48.0,4.6,0.7,17.2,157.9,852.2,626.2
47,73.6,1.0,2.7,1019.6,48.7,4.6,0.7,17.3,156.4,812.2,512.4000000000001
48,73.6,1.0,2.7,970.0,50.1,4.6,0.7,16.7,153.6,793.8,479.1999999999998
49,73.5,1.0,2.7,886.7,30.9,4.6,0.7,16.4,162.6,782.8,396.3000000000002
50,70.6,1.0,2.7,859.3,28.5,4.6,0.7,16.8,142.9,780.4,346.69999999999993
51,71.2,1.0,2.7,960.1,27.1,4.6,0.7,16.7,127.4,811.5,400.0
52,70.9,1.0,2.7,998.6,28.0,4.6,0.7,16.1,104.3,912.0,314.89999999999986
53,70.7,1.0,2.7,1149.0,28.9,4.6,0.7,15.4,84.5,1039.3,318.2000000000003
54,70.7,1.0,2.7,1167.0,30.3,4.6,0.7,16.3,72.6,1162.0,203.89999999999986
55,71.0,1.0,2.7,1149.7,32.9,5.2,0.7,16.9,57.6,1190.8,146.90000000000032
56,71.0,1.0,2.7,1118.3,28.3,5.8,0.7,17.2,52.5,1205.8,91.70000000000005
57,70.9,1.0,2.7,1145.5,28.1,5.8,0.7,17.0,47.0,1208.7,109.99999999999977
58,71.0,1.0,2.7,1145.2,30.2,5.8,0.7,17.0,42.8,1200.4,116.0
59,70.7,1.0,2.7,1144.8,31.3,5.8,0.7,16.9,43.5,1230.0,87.40000000000009
60,70.4,1.0,2.7,1155.2,31.7,5.8,0.7,16.0,44.7,1222.5,105.70000000000005
61,70.9,1.0,2.7,1157.2,32.5,5.8,0.7,16.3,52.0,1237.0,102.09999999999991
62,71.1,1.0,2.7,1178.0,30.1,4.8,0.7,16.6,58.1,1270.2,92.89999999999964
63,71.4,1.0,2.7,1229.7,30.3,4.6,0.7,16.5,59.3,1255.5,160.69999999999982
64,73.6,1.0,2.7,1232.1,33.3,4.6,0.7,16.6,56.7,1222.6,198.69999999999982
65,74.3,1.0,2.7,1230.4,33.3,4.6,0.7,16.3,49.2,1186.0,226.5
66,75.5,1.0,2.7,1237.6,41.9,4.6,0.7,15.6,49.4,1149.7,279.29999999999995
67,76.0,1.0,2.7,1231.2,49.4,4.6,0.7,15.4,44.0,1099.4,325.60000000000014
68,75.5,1.0,2.7,1204.7,54.4,4.6,0.7,15.1,42.4,1015.4,385.70000000000016
69,75.8,1.0,2.7,1181.2,58.3,4.6,0.7,14.2,44.9,936.1,447.30000000000007
70,72.6,1.0,2.7,1008.0,58.0,4.6,0.7,12.7,48.3,874.1,334.4999999999999
71,71.4,1.0,2.7,980.5,60.3,4.6,0.7,15.1,49.4,836.3,349.39999999999986
72,71.6,1.0,2.7,1031.4,60.4,4.6,0.7,15.8,54.3,814.2,428.29999999999995
73,71.6,1.0,2.7,972.2,60.3,4.6,0.7,15.9,58.5,802.5,385.0
74,69.8,1.0,2.7,963.2,59.5,4.6,0.7,15.6,62.5,808.6,370.9999999999999
75,70.9,1.0,2.7,966.6,62.0,4.6,0.7,15.6,65.1,843.0,346.1999999999998
76,70.7,1.0,2.7,970.9,63.4,4.6,0.7,15.6,68.3,948.7,249.19999999999982
77,70.6,1.0,2.7,1102.3,62.1,4.6,0.7,15.5,75.8,1074.8,260.4999999999998
78,71.0,1.0,2.7,1155.4,60.4,4.6,0.7,16.2,83.9,1195.2,200.70000000000027
79,70.5,1.0,2.7,1182.8,61.5,4.6,0.7,16.4,83.5,1238.9,184.79999999999995
80,70.9,1.0,2.7,1175.0,62.5,4.6,0.7,16.0,80.5,1236.8,177.0999999999999
81,70.8,1.0,2.7,1217.5,61.9,4.6,0.7,16.1,80.0,1241.6,213.70000000000005
82,70.8,1.0,2.7,1236.9,57.5,4.6,0.7,16.7,81.2,1230.6,241.50000000000023
83,70.1,1.0,2.7,1225.0,54.3,4.6,0.7,16.1,82.6,1246.2,210.89999999999964
84,68.4,1.0,2.7,1235.2,55.5,4.6,0.7,16.0,81.4,1240.5,225.0
85,68.4,1.0,2.7,1236.5,57.5,4.6,0.7,15.5,86.8,1256.2,217.49999999999977
86,68.6,1.0,2.7,1238.7,58.3,4.6,0.7,16.0,99.5,1275.6,214.5
87,70.1,1.0,2.7,1189.8,59.0,4.6,0.7,16.0,106.3,1255.2,194.99999999999977
88,72.6,1.0,2.7,1182.5,61.0,4.6,0.7,16.0,112.0,1228.0,225.0999999999999
89,73.5,1.0,2.7,1182.6,63.5,4.6,0.7,15.6,120.7,1192.4,272.4999999999998
90,75.4,1.0,2.7,1199.1,64.3,4.6,0.7,14.7,132.3,1144.7,350.0999999999997
