,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,FR -> ES,PT -> ES,demand,ES -> FR,ES -> PT,mismatch
0,275.0,3269.0,959.0,1845.0,0.0,7057.0,480.0,77.0,9.0,11156.0,675.18,0.0,21912.0,0.0,1375.27,2514.9100000000003
1,278.0,3541.0,1014.0,1946.0,0.0,7058.0,478.0,79.0,9.0,9437.0,548.63,0.0,20703.0,0.0,1524.71,2160.920000000001
2,278.0,3450.0,1043.0,1735.0,0.0,7061.0,481.0,79.0,9.0,6474.0,2727.06,0.0,19658.0,0.0,1479.04,2200.0200000000013
3,279.0,3318.0,1063.0,1694.0,0.0,7066.0,481.0,79.0,9.0,6329.0,2787.7,0.0,18967.0,0.0,1499.05,2639.6500000000005
4,278.0,3334.0,1054.0,1625.0,0.0,7069.0,480.0,77.0,9.0,6172.0,2802.13,0.0,18769.0,0.0,1503.25,2627.880000000001
5,278.0,3395.0,1062.0,1734.0,0.0,7077.0,474.0,75.0,9.0,6189.0,2779.69,0.0,18944.0,0.0,1501.01,2627.6799999999985
6,283.0,3909.0,1135.0,1848.0,0.0,7102.0,484.0,75.0,9.0,5782.0,2565.37,0.0,19399.0,0.0,1409.52,2383.849999999999
7,287.0,3241.0,1027.0,1613.0,0.0,7111.0,485.0,76.0,34.0,5963.0,2796.37,0.0,19176.0,0.0,1305.24,2152.129999999999
8,275.0,3398.0,1095.0,1744.0,0.0,7113.0,489.0,78.0,601.0,5770.0,2517.68,0.0,19799.0,0.0,1119.31,2162.3700000000003
9,273.0,2616.0,1039.0,1839.0,0.0,7112.0,487.0,78.0,1635.0,6448.0,2739.49,0.0,21333.0,0.0,1116.59,1816.899999999998
10,270.0,2555.0,1064.0,2058.0,0.0,7108.0,485.0,77.0,2479.0,7056.0,2069.06,0.0,22622.0,0.0,1510.92,1088.1400000000012
11,279.0,2564.0,1058.0,2221.0,0.0,7107.0,488.0,78.0,2942.0,8335.0,625.18,0.0,23211.0,0.0,1517.58,968.6000000000004
12,281.0,2535.0,1016.0,2292.0,0.0,7106.0,485.0,80.0,2898.0,9002.0,591.83,0.0,23842.0,0.0,1522.92,921.9100000000017
13,284.0,2452.0,989.0,2038.0,0.0,7103.0,487.0,79.0,2778.0,11860.0,0.0,0.0,23892.0,1517.71,1482.47,1177.8199999999997
14,270.0,2558.0,1001.0,1815.0,0.0,7095.0,493.0,78.0,2554.0,12244.0,0.0,0.0,22598.0,2762.08,1243.48,1504.44
15,265.0,2515.0,1015.0,1819.0,0.0,7089.0,494.0,75.0,1876.0,12635.0,0.0,0.0,22134.0,2831.02,1451.74,1366.2399999999998
16,268.0,2681.0,968.0,2195.0,0.0,7085.0,496.0,77.0,781.0,13564.0,0.0,0.0,22593.0,2732.22,1528.21,1261.5699999999997
17,268.0,2749.0,982.0,3359.0,0.0,7084.0,495.0,77.0,177.0,14629.0,0.0,0.0,25061.0,1811.1,2004.17,943.73
18,264.0,2836.0,963.0,3530.0,0.0,7084.0,498.0,75.0,119.0,14358.0,0.0,0.0,26375.0,896.49,1651.5,804.0100000000002
19,270.0,2784.0,943.0,3141.0,0.0,7086.0,494.0,77.0,115.0,14342.0,528.68,0.0,27243.0,0.0,1769.9,767.7800000000002
20,277.0,2746.0,916.0,3460.0,0.0,7088.0,487.0,77.0,91.0,14041.0,668.68,0.0,27443.0,0.0,1644.16,764.5200000000002
21,279.0,2894.0,936.0,3554.0,0.0,7086.0,495.0,78.0,60.0,14166.0,0.0,0.0,26817.0,340.93,1463.46,926.6099999999999
22,270.0,3208.0,965.0,2759.0,0.0,7087.0,495.0,74.0,50.0,13271.0,0.0,0.0,24737.0,925.59,1647.9,868.5099999999998
23,273.0,3900.0,1023.0,1865.0,0.0,7090.0,491.0,74.0,16.0,12151.0,0.0,0.0,22539.0,463.95,1979.03,1901.02
24,266.0,3753.0,1007.0,1717.0,0.0,7086.0,494.0,74.0,11.0,11786.0,0.0,0.0,20760.0,1406.97,1517.17,2509.8599999999997
25,268.0,3714.0,1033.0,1593.0,0.0,7085.0,488.0,74.0,11.0,11220.0,0.0,0.0,19735.0,1708.52,1348.85,2693.63
26,262.0,3717.0,1018.0,1555.0,0.0,7084.0,487.0,74.0,11.0,10252.0,0.0,0.0,19240.0,858.03,1417.99,2943.98
27,265.0,3692.0,1020.0,1451.0,0.0,7084.0,488.0,74.0,11.0,10444.0,0.0,0.0,19204.0,540.09,1549.15,3235.7599999999998
28,272.0,3847.0,1018.0,1587.0,0.0,7083.0,488.0,73.0,12.0,10996.0,0.0,0.0,20047.0,937.73,1448.78,2942.49
29,276.0,4059.0,1002.0,1762.0,0.0,7081.0,490.0,75.0,17.0,12030.0,0.0,0.0,22885.0,1325.05,1265.0,1316.9499999999998
30,277.0,4338.0,1088.0,2147.0,0.0,7083.0,523.0,90.0,18.0,11802.0,1.73,0.0,26487.0,0.0,141.47,739.2599999999995
31,288.0,4534.0,1156.0,2424.0,0.0,7089.0,628.0,91.0,38.0,11695.0,782.34,1300.36,29476.0,0.0,0.0,549.7000000000007
32,293.0,4094.0,1202.0,2880.0,0.0,7091.0,666.0,88.0,458.0,12344.0,1991.93,1301.2,31723.0,0.0,0.0,686.130000000001
33,293.0,3647.0,1472.0,3070.0,0.0,7098.0,680.0,93.0,1301.0,12548.0,2550.04,1242.7,33131.0,0.0,0.0,863.739999999998
34,291.0,3911.0,1528.0,2872.0,0.0,7103.0,678.0,93.0,1926.0,12197.0,2950.24,728.63,33411.0,0.0,0.0,866.8700000000026
35,289.0,3606.0,1492.0,2756.0,0.0,7104.0,690.0,95.0,2442.0,12354.0,2968.39,274.75,33144.0,0.0,0.0,927.1399999999994
36,295.0,3565.0,1352.0,2497.0,0.0,7106.0,709.0,94.0,2689.0,12766.0,2974.83,156.27,33142.0,0.0,0.0,1062.0999999999985
37,296.0,3732.0,1355.0,2419.0,0.0,7104.0,719.0,94.0,2556.0,12884.0,2532.07,0.0,32223.0,0.0,310.13,1157.9399999999996
38,299.0,3579.0,1145.0,2356.0,0.0,7103.0,718.0,98.0,2372.0,12926.0,2960.13,0.0,31268.0,0.0,1041.16,1246.9699999999973
39,300.0,3706.0,1187.0,2639.0,0.0,7102.0,718.0,96.0,1701.0,13003.0,2985.89,0.0,31007.0,0.0,1105.07,1325.8199999999995
40,294.0,3803.0,1284.0,3053.0,0.0,7101.0,715.0,97.0,740.0,12518.0,3025.61,0.0,31417.0,0.0,328.57,885.0400000000006
41,296.0,3936.0,1481.0,4982.0,0.0,7101.0,726.0,100.0,174.0,12637.0,3094.29,0.0,33141.0,0.0,414.79,971.5000000000009
42,283.0,3959.0,1547.0,5404.0,0.0,7099.0,719.0,101.0,63.0,12879.0,3045.39,0.0,33644.0,0.0,530.72,924.6699999999994
43,292.0,3831.0,1472.0,5404.0,0.0,7098.0,723.0,100.0,61.0,12897.0,3072.41,0.0,33805.0,0.0,235.03,910.3800000000035
44,291.0,3915.0,1406.0,5474.0,0.0,7100.0,727.0,100.0,61.0,12874.0,3017.43,0.0,33453.0,0.0,483.18,1029.2500000000002
45,296.0,3863.0,1196.0,3563.0,0.0,7101.0,716.0,99.0,60.0,12857.0,2965.2,0.0,31414.0,0.0,353.78,948.4200000000008
46,294.0,3905.0,1091.0,2757.0,0.0,7093.0,701.0,93.0,58.0,12598.0,2839.96,0.0,28665.0,0.0,1346.63,1418.329999999999
47,292.0,3970.0,1103.0,2499.0,0.0,7085.0,610.0,82.0,57.0,12390.0,0.0,0.0,26548.0,0.0,0.0,1540.0
48,292.0,3578.0,1033.0,2308.0,0.0,7085.0,602.0,84.0,47.0,12547.0,1258.39,0.0,24477.0,0.0,1558.36,2799.0299999999997
49,295.0,3394.0,969.0,2116.0,0.0,7087.0,598.0,80.0,41.0,11848.0,1502.05,0.0,23063.0,0.0,1508.63,3358.419999999999
50,290.0,3337.0,879.0,2038.0,0.0,7087.0,599.0,79.0,38.0,10590.0,2411.38,0.0,22507.0,0.0,1503.21,3338.170000000001
51,289.0,3591.0,999.0,2169.0,0.0,7087.0,591.0,79.0,40.0,9406.0,2564.86,0.0,22380.0,0.0,1582.16,2853.7000000000007
52,292.0,3606.0,989.0,2203.0,0.0,7088.0,596.0,80.0,40.0,9926.0,2482.09,0.0,22930.0,0.0,1544.34,2827.75
53,304.0,3943.0,984.0,2480.0,0.0,7088.0,607.0,78.0,40.0,11249.0,1922.43,0.0,25063.0,0.0,1414.98,2217.4500000000003
54,319.0,4066.0,1128.0,2662.0,0.0,7086.0,648.0,85.0,41.0,11787.0,2533.94,0.0,28332.0,0.0,1456.23,567.7099999999987
55,325.0,4141.0,1200.0,3136.0,0.0,7086.0,694.0,96.0,50.0,11145.0,2784.0,358.89,30793.0,0.0,0.0,222.88999999999942
56,320.0,4285.0,1404.0,4838.0,0.0,7092.0,716.0,99.0,267.0,10716.0,3054.6,378.38,32614.0,0.0,0.0,555.9800000000032
57,316.0,4397.0,1464.0,5232.0,0.0,7079.0,721.0,98.0,844.0,10859.0,2990.8,255.7,33649.0,0.0,0.0,607.5
58,329.0,4490.0,1508.0,5104.0,0.0,7036.0,728.0,92.0,1425.0,10921.0,2931.86,0.0,33732.0,0.0,31.51,801.3500000000006
59,326.0,4487.0,1496.0,4508.0,0.0,6971.0,728.0,95.0,1732.0,11331.0,2952.35,0.0,33442.0,0.0,311.69,872.6599999999985
60,321.0,4636.0,1436.0,3788.0,0.0,6871.0,710.0,98.0,1756.0,11934.0,2951.85,0.0,33481.0,0.0,108.85,911.9999999999985
61,308.0,4336.0,1280.0,3159.0,0.0,6856.0,743.0,99.0,1733.0,12217.0,2943.95,0.0,32477.0,0.0,376.82,821.1299999999972
