,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,NO -> FI,SE -> FI,demand,FI -> NO,FI -> SE,mismatch
0,855.71,572.87,663.78,1277.0,2790.8,540.03,43.1,923.07,0.0,966.1,9778.69,15.28,0.0,-1161.5100000000014
1,858.29,583.34,657.35,1198.8,2790.6,535.25,43.1,911.07,0.0,937.8,9634.18,13.29,0.0,-1131.8700000000017
2,874.48,597.69,655.23,1174.5,2791.8,540.4,43.1,924.44,0.0,782.1999999999999,9633.9,10.43,0.0,-1260.4899999999977
3,869.99,606.35,652.8,1195.1,2792.1,548.65,43.1,866.73,0.0,789.0,9707.48,6.87,0.0,-1350.5299999999997
4,860.69,596.94,652.93,1231.0,2792.1,554.5,43.1,862.91,0.0,805.77,9919.41,9.92,0.0,-1529.3899999999994
5,850.47,590.92,646.92,1321.2,2792.1,552.59,43.1,828.94,0.0,543.3499999999999,9964.3,12.33,0.0,-1807.0399999999972
6,862.66,594.66,643.3,1399.2,2791.5,541.43,43.1,798.37,0.0,769.12,10150.46,7.92,0.0,-1715.039999999999
7,885.05,589.06,644.55,1389.2,2792.1,543.81,43.1,791.77,0.0,701.5,10184.09,13.47,0.0,-1817.4200000000008
8,882.71,578.76,642.56,1300.3,2792.1,544.28,43.1,760.04,0.0,775.2,10226.24,12.55,0.0,-1919.7399999999986
9,873.7,567.16,630.54,1354.8,2792.1,542.58,43.1,728.38,0.0,1151.3,10395.05,5.58,0.0,-1716.9699999999993
10,867.07,571.49,626.39,1409.7,2791.8,542.2,43.1,669.58,0.88,1223.59,10432.06,0.0,0.0,-1686.2600000000002
11,887.97,574.72,629.18,1431.6,2791.7,547.52,43.1,646.29,0.0,1168.0,10425.19,0.28,0.0,-1705.3899999999987
12,867.37,584.99,631.28,1546.7,2792.3,552.56,43.1,592.83,0.0,1196.4,10547.72,2.58,0.0,-1742.7699999999986
13,868.3,606.75,638.02,1702.1,2792.7,559.68,43.1,581.88,0.0,1339.62,10847.29,2.36,0.0,-1717.5000000000011
14,875.34,599.92,637.41,1774.2,2792.3,559.33,43.1,600.15,5.26,1414.63,11022.25,0.0,0.0,-1720.6100000000006
15,883.5,587.05,641.99,1894.7,2792.1,563.53,43.1,554.64,9.81,1394.96,11021.11,0.0,0.0,-1655.7299999999996
16,879.17,583.29,646.82,1946.6,2792.5,552.09,43.1,520.52,18.26,1569.39,11074.88,0.0,0.0,-1523.1399999999994
17,872.65,595.79,658.24,1968.4,2791.9,549.12,43.1,498.6,17.73,1485.14,11064.12,0.0,0.0,-1583.449999999999
18,872.74,609.0,660.83,1875.2,2790.8,546.02,43.1,473.56,16.16,1444.62,10849.56,0.0,0.0,-1517.5299999999988
19,863.11,626.55,653.88,1675.5,2790.8,543.86,43.1,465.84,13.11,1273.26,10465.52,0.0,0.0,-1516.5100000000002
