,biomass,gas,hydro,other_fossil,solar,wind_onshore,LV -> LT,PL -> LT,SE -> LT,demand,LT -> LV,LT -> PL,LT -> SE,mismatch
0,51.37,46.32,105.57,40.56,0.0,347.22,128.0,2.35,206.3,1054.0,0.0,0.0,0.0,-126.31000000000006
1,51.35,45.91,104.22,40.67,0.0,288.27,235.5,232.46,0.0,1022.0,0.0,0.0,137.5,-161.12
2,51.35,45.88,76.46,40.12,0.0,276.39,208.0,377.81,0.0,1000.0,0.0,0.0,157.9,-81.89000000000001
3,51.53,45.79,76.17,39.99,0.0,256.84,165.0,466.6,0.0,994.0,0.0,0.0,156.9,-48.97999999999993
4,51.76,45.7,105.38,39.92,0.0,269.47,220.5,427.99,0.0,1011.0,0.0,0.0,129.1,20.620000000000033
5,51.89,45.54,105.42,39.66,0.0,289.13,278.0,232.84,0.0,1027.0,0.0,0.0,20.1,-4.619999999999983
6,51.61,45.64,105.39,39.79,0.95,306.19,407.0,89.9,0.0,1037.0,0.0,0.0,116.3,-106.8300000000002
7,51.4,45.42,105.41,37.79,1.16,342.43,363.0,141.2,0.0,1056.0,0.0,0.0,121.2,-89.39000000000006
8,51.47,45.2,105.44,39.75,2.32,365.44,251.0,272.93,0.0,1119.0,0.0,0.0,125.2,-110.64999999999982
9,51.42,45.06,105.5,40.48,2.78,384.38,279.0,2.41,64.5,1184.0,0.0,0.0,0.0,-208.47000000000003
10,51.46,44.96,105.47,40.57,3.47,405.22,306.5,0.0,69.7,1217.0,0.0,0.0,0.0,-189.6500000000001
11,51.3,44.98,105.46,39.4,3.21,364.06,295.0,0.0,96.6,1222.0,0.0,0.04,0.0,-222.0299999999999
12,50.95,44.95,105.49,38.67,1.39,331.43,391.0,0.0,22.8,1225.0,0.0,0.11,0.0,-238.42999999999995
13,50.97,45.18,105.47,38.11,0.02,262.83,430.5,0.0,10.2,1236.0,0.0,0.0,0.0,-292.72
14,50.99,45.23,105.32,39.18,0.0,214.29,397.5,0.0,190.5,1312.0,0.0,0.0,0.0,-268.99
15,50.95,45.26,105.46,39.52,0.0,284.74,409.0,0.0,211.5,1371.0,0.0,12.48,0.0,-237.04999999999993
16,50.96,45.27,105.42,39.49,0.0,352.37,428.5,0.0,545.7,1397.0,0.0,481.07,0.0,-310.35999999999996
17,50.95,45.14,105.44,40.97,0.0,343.53,414.0,0.0,536.4,1381.0,0.0,486.48,0.0,-331.0500000000002
18,51.04,45.32,105.44,40.12,0.0,336.05,456.0,0.0,430.3,1345.0,0.0,486.53,0.0,-367.26
19,50.91,45.56,105.44,39.67,0.0,292.94,551.0,0.0,283.1,1279.0,0.0,486.81,0.0,-397.1900000000001
20,50.74,45.58,105.4,39.68,0.0,251.13,433.0,0.0,324.9,1192.0,0.0,486.7,0.0,-428.27000000000015
21,50.14,45.7,103.06,39.74,0.0,262.76,390.5,0.0,155.2,1097.0,0.0,478.28,0.0,-528.1800000000001
22,49.84,45.84,76.42,39.61,0.0,298.41,221.5,0.0,28.1,1007.0,0.0,62.0,0.0,-309.28
23,49.88,45.96,55.37,40.08,0.0,329.0,204.5,0.0,0.0,963.0,0.0,0.38,48.2,-286.79
24,49.93,46.05,55.37,40.34,0.0,343.42,176.0,0.0,0.0,941.0,0.0,0.11,42.7,-272.7
25,50.04,45.99,55.4,40.17,0.0,311.23,234.5,0.0,0.0,934.0,0.0,0.0,32.6,-229.26999999999995
26,50.23,46.02,55.4,40.17,0.0,320.29,245.0,0.0,0.0,946.0,0.0,0.0,76.3,-265.19
27,51.08,46.08,55.39,40.14,0.0,304.91,257.0,0.0,0.0,1007.0,0.0,0.0,8.4,-260.79999999999995
28,51.89,45.88,55.36,39.37,0.0,288.61,360.5,0.0,38.7,1191.0,0.0,0.0,0.0,-310.69000000000005
29,52.03,46.11,55.58,39.39,0.0,271.02,453.0,0.0,0.0,1380.0,0.0,0.0,10.7,-473.57
30,52.17,46.04,105.63,39.06,0.94,230.68,463.5,0.0,101.3,1511.0,0.0,1.0,0.0,-472.68000000000006
31,52.1,46.1,105.7,39.87,1.31,172.62,486.5,0.0,413.0,1581.0,0.0,296.12,0.0,-559.92
32,52.2,45.94,105.68,40.44,4.57,147.56,816.0,0.0,230.3,1626.0,0.0,487.31,0.0,-670.6199999999999
33,52.17,45.9,105.68,39.99,6.52,125.82,852.5,0.0,237.5,1644.0,0.0,486.77,0.0,-664.69
34,52.04,45.98,105.7,40.41,5.06,90.57,835.0,0.0,301.5,1642.0,0.0,486.94,0.0,-652.6800000000001
35,51.92,46.11,147.1,39.92,3.14,78.42,811.5,0.0,263.1,1655.0,0.0,487.33,0.0,-701.1199999999999
36,51.91,46.16,178.08,39.14,1.68,74.1,768.0,0.0,320.3,1651.0,0.0,487.46,0.0,-659.0900000000001
37,51.69,46.12,105.64,37.8,0.03,81.97,808.0,0.0,290.4,1654.0,0.0,487.49,0.0,-719.8399999999999
38,51.56,46.17,301.79,38.33,0.0,101.33,909.5,0.0,89.7,1704.0,0.0,486.65,0.0,-652.2699999999999
39,51.52,46.18,508.28,38.81,0.0,139.02,898.0,0.0,0.0,1723.0,0.0,486.69,71.2,-599.08
40,51.49,46.12,532.68,38.73,0.0,135.73,856.5,0.0,0.0,1686.0,0.0,486.5,48.6,-559.85
