,gas,hydro,other_fossil,wind_onshore,DK -> NO,FI -> NO,NL -> NO,SE -> NO,demand,NO -> DK,NO -> FI,NO -> NL,NO -> SE,mismatch
0,347.22,13168.56,50.34,731.07,1213.44,15.28,0.0,1299.49,16763.59,0.0,0.0,74.93,0.0,-13.120000000002335
1,347.05,12260.08,49.91,707.73,1039.86,13.29,169.12,1921.25,16509.32,0.0,0.0,0.0,0.0,-1.0300000000024738
2,346.74,10998.94,49.67,680.36,1186.87,10.43,628.96,2232.25,16109.38,0.0,0.0,0.0,0.0,24.840000000001965
3,346.94,11012.34,49.55,674.14,1330.53,6.87,247.34,2484.9,16152.19,0.0,0.0,0.0,0.0,0.41999999999825377
4,347.6,11119.82,49.37,641.33,1327.34,9.92,311.64,2407.19,16205.08,0.0,0.0,0.0,0.0,9.130000000001019
5,347.04,11601.18,49.3,631.08,1475.04,12.33,151.12,2297.09,16567.06,0.0,0.0,0.0,0.0,-2.8800000000010186
6,346.87,12257.43,49.22,623.56,1330.28,7.92,0.0,2515.06,16867.07,0.0,0.0,272.73,0.0,-9.459999999999582
7,348.42,11846.25,48.95,597.29,1340.45,13.47,253.23,2728.57,17174.59,0.0,0.0,0.0,0.0,2.040000000000873
8,347.68,12104.13,48.72,529.42,1479.51,12.55,253.91,2642.79,17420.86,0.0,0.0,0.0,0.0,-2.150000000001455
9,350.45,13061.64,48.58,490.7,1528.55,5.58,0.0,2532.14,17805.06,0.0,0.0,219.42,0.0,-6.840000000001879
10,349.39,13600.63,48.59,465.0,1438.32,0.0,0.0,2615.38,18102.72,0.0,0.88,413.03,0.0,0.6799999999965394
11,349.7,13862.28,48.62,433.91,1454.72,0.28,0.0,2714.89,18276.84,0.0,0.0,579.76,0.0,7.800000000001319
12,350.17,13849.02,48.69,416.42,1618.12,2.58,0.0,2779.67,18408.5,0.0,0.0,652.57,0.0,3.6000000000018417
13,349.12,14110.82,48.8,421.6,1569.34,2.36,0.0,2562.22,18453.96,0.0,0.0,605.77,0.0,4.530000000002929
14,348.35,15099.47,48.93,401.83,1471.46,0.0,0.0,1988.64,18638.7,0.0,5.26,702.8,0.0,11.919999999999618
15,348.08,15918.65,49.01,386.8,1472.08,0.0,0.0,1373.91,18820.84,0.0,9.81,704.93,0.0,12.949999999998795
16,350.21,16706.8,48.91,370.57,1393.01,0.0,0.0,597.98,18723.54,0.0,18.26,704.93,0.0,20.74999999999875
17,350.17,16471.23,48.76,350.2,1504.5,0.0,0.0,564.24,18550.57,0.0,17.73,704.69,0.0,16.109999999998763
18,349.78,15640.36,48.65,336.85,1455.76,0.0,0.0,1226.52,18317.51,0.0,16.16,705.28,0.0,18.97000000000355
19,349.3,14881.58,48.45,310.67,1536.49,0.0,0.0,1728.83,18121.33,0.0,13.11,704.82,0.0,16.0599999999979
20,350.14,14370.2,48.41,291.92,1509.03,0.0,0.0,1893.89,17774.47,0.0,17.7,657.64,0.0,13.77999999999895
21,350.44,13123.42,48.29,278.06,1436.58,0.0,0.0,2102.23,17197.57,0.0,8.12,145.82,0.0,-12.48999999999927
22,349.43,11890.24,48.28,266.35,1447.86,0.0,447.49,2250.5,16690.5,0.0,2.68,0.0,0.0,6.9700000000014555
23,350.09,10906.08,49.84,340.86,1512.0,29.55,724.56,2303.98,16194.89,0.0,0.0,0.0,0.0,22.070000000001528
24,352.03,10319.65,49.88,299.32,1556.42,45.72,722.85,2575.63,15898.64,0.0,0.0,0.0,0.0,22.860000000000582
25,352.11,10635.78,49.76,285.24,1600.06,37.32,394.14,2457.16,15813.55,0.0,0.0,0.0,0.0,-1.9799999999977445
26,352.55,10703.91,49.74,305.22,1539.23,27.3,591.27,2350.88,15908.76,0.0,0.0,0.0,0.0,11.339999999998327
27,352.19,11862.15,49.62,294.79,1125.48,8.12,609.04,1824.56,16108.94,0.0,0.0,0.0,0.0,17.01000000000022
28,351.24,13868.33,49.59,297.05,510.13,0.0,717.14,770.04,16493.46,0.0,31.77,0.0,0.0,38.290000000001314
29,353.1,16698.16,53.39,287.27,0.0,0.0,298.25,301.86,17890.43,124.88,39.25,0.0,0.0,-62.53000000000145
30,352.67,21334.02,58.26,241.95,0.0,0.0,0.0,0.0,19450.94,715.61,35.44,277.0,1517.42,-9.510000000001128
31,352.83,22970.27,67.13,212.28,0.0,0.0,0.0,0.0,19978.17,1295.66,35.91,303.41,1855.98,133.38000000000375
32,347.03,23477.19,70.83,170.03,0.0,0.0,0.0,0.0,20046.1,1514.53,38.89,303.47,2052.3,109.78999999999905
33,352.43,24132.1,72.55,162.41,0.0,0.0,0.0,0.0,20385.31,1529.87,37.7,303.51,2359.85,103.24999999999636
34,354.04,24361.31,72.5,177.88,0.0,0.0,0.0,0.0,20416.54,1527.1,39.52,303.46,2556.85,122.26000000000204
35,355.86,24605.57,72.44,120.17,0.0,0.0,0.0,0.0,20479.19,1527.69,34.93,303.69,2708.19,100.34999999999854
36,373.54,24618.86,72.27,115.66,0.0,0.0,0.0,0.0,20463.04,1527.3,29.41,304.46,2732.48,123.64000000000124
37,372.52,24648.1,72.18,100.41,0.0,0.0,0.0,0.0,20147.24,1528.18,26.64,304.19,3042.49,144.46999999999753
38,369.11,24762.79,72.75,141.11,0.0,0.0,0.0,0.0,20419.74,1526.81,25.05,303.56,2937.93,132.67000000000098
39,377.31,24859.35,73.44,95.42,0.0,0.0,0.0,0.0,20708.73,1530.96,24.37,303.46,2767.13,70.86999999999716
40,374.37,24888.15,73.62,113.97,0.0,0.0,0.0,0.0,20644.38,1531.57,17.14,303.89,2845.66,107.46999999999935
41,376.48,24680.8,73.27,128.9,0.0,0.0,0.0,0.0,20329.46,1526.77,23.04,304.17,2966.26,109.75000000000182
42,373.36,24135.09,73.48,158.78,0.0,0.0,0.0,0.0,20118.78,1315.88,20.63,304.14,2990.29,-9.010000000000218
43,372.68,22176.14,70.05,176.37,0.0,0.0,0.0,0.0,19745.71,848.3,9.86,279.86,1896.48,15.029999999998836
44,374.59,19693.02,70.28,205.61,0.0,0.0,276.34,0.0,19354.71,318.78,19.66,0.0,930.13,-3.4399999999989177
45,371.41,17672.99,69.3,247.72,242.28,0.0,0.0,0.0,18503.0,0.0,11.06,9.39,80.10999999999999,0.14000000000073953
46,370.85,16639.48,69.54,284.48,834.97,0.0,0.0,140.59,17874.72,0.0,6.97,449.65,0.0,8.569999999998686
47,370.98,15501.59,68.32,344.09,1308.16,0.0,0.0,0.0,17267.0,0.0,2.44,50.62,268.4,4.679999999999438
48,365.96,14035.86,68.69,385.16,1462.9,9.74,139.1,468.5799999999999,16946.59,0.0,0.0,0.0,0.0,-10.600000000002183
49,362.28,12904.43,68.93,424.01,1595.69,20.42,703.91,812.74,16876.92,0.0,0.0,0.0,0.0,15.490000000005239
50,367.81,12703.29,69.01,510.07,1498.27,27.91,728.44,1016.31,16902.56,0.0,0.0,0.0,0.0,18.549999999999272
51,369.06,12823.92,69.37,532.45,1551.34,31.32,610.16,1054.39,17032.81,0.0,0.0,0.0,0.0,9.200000000000728
52,366.14,14626.46,69.37,479.17,1498.19,28.76,136.09,287.68999999999994,17492.12,0.0,0.0,0.0,0.0,-0.25
53,368.79,17299.1,69.12,493.72,1520.03,5.54,0.0,0.0,18845.35,0.0,0.0,244.24,660.09,6.620000000000687
54,368.91,19479.45,69.06,495.9,1483.02,11.72,0.0,0.0,20428.9,0.0,0.0,689.17,763.4699999999999,26.52000000000362
55,361.31,20164.32,70.5,501.22,1494.32,25.64,0.0,0.0,20925.38,0.0,0.0,704.48,957.07,30.38000000000011
