,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,CZ -> PL,DE -> PL,LT -> PL,SE -> PL,SK -> PL,demand,PL -> CZ,PL -> DE,PL -> LT,PL -> SE,PL -> SK,mismatch
0,0.0,454.48,5995.28,299.33,2585.63,248.12,3828.7,0.0,1132.82,0.0,0.0,0.0,13654.0816,719.23,0.0,2.35,3.74,431.6,-266.641599999999
1,0.0,454.79,5860.32,289.95,2416.35,250.4,3982.8,0.0,1205.49,0.0,0.0,0.0,13045.9184,735.26,0.0,232.46,173.49,431.7,-158.7284000000002
2,0.0,454.31,5781.56,289.89,2329.71,250.82,4083.11,0.0,1239.79,0.0,0.0,0.0,12706.1224,819.34,0.0,377.81,249.4,424.2,-147.6823999999981
3,0.0,454.77,5883.23,290.01,2356.53,253.93,4089.19,0.0,1259.27,0.0,0.0,0.0,12546.9388,832.71,0.0,466.6,371.58,435.4,-66.29879999999775
4,0.0,453.8,5878.13,290.11,2286.76,255.78,4218.48,0.0,1238.68,0.0,0.0,0.0,12437.7551,806.28,0.0,427.99,358.27,439.2,152.24489999999946
5,0.0,453.54,5788.85,290.11,2184.86,254.73,4243.45,0.0,1285.97,0.0,0.0,0.0,12464.2857,768.35,0.0,232.84,199.24,443.8,392.99429999999984
6,0.0,452.95,5782.75,289.73,2162.58,252.72,4236.39,0.0,1148.08,0.0,0.0,0.0,12492.8571,670.45,0.0,89.9,241.36,461.7,368.93289999999956
7,0.0,453.72,5865.01,306.96,2185.57,253.28,4209.57,0.0,1097.56,0.0,0.0,0.0,12255.102,610.94,0.0,141.2,191.95,479.0,693.4779999999992
8,0.0,453.49,6210.05,323.04,2633.8,254.19,4093.78,0.0,1130.8,0.0,0.0,0.0,12942.8571,625.6,0.0,272.93,185.41,463.5,608.8529000000021
9,0.0,454.25,6165.61,336.08,2743.14,254.72,4003.52,0.0,1117.68,0.0,0.0,0.0,13542.8571,665.67,0.0,2.41,0.21,465.8,398.0529000000008
10,0.0,454.59,6104.82,445.84,2654.09,254.69,3994.2,0.0,1121.03,0.0,0.0,0.0,14091.8367,653.71,0.0,0.0,0.0,486.6,-202.88669999999956
11,0.0,453.85,6135.59,486.93,2878.98,254.75,4014.58,0.0,1072.91,0.04,0.0,0.0,14570.4082,597.0,0.0,0.0,0.0,440.7,-310.4781999999989
