,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
0,218.4,380.1,270.2,727.2,152.4,0.0,1602.6,1375.27,4500.0,0.0,226.17000000000007
1,221.2,381.0,270.6,665.8,152.6,0.0,1558.5,1524.71,4254.0,0.0,520.4099999999999
2,216.3,381.4,270.3,900.1,153.4,0.0,1542.8,1479.04,4047.0,0.0,896.3400000000001
3,214.9,381.3,270.4,511.6,153.0,0.0,1796.9,1499.05,3905.0,0.0,922.1500000000005
4,212.3,380.3,270.4,283.0,152.6,0.0,2013.8,1503.25,3815.0,0.0,1000.6499999999996
5,212.6,380.4,270.2,224.9,153.3,0.0,2454.2,1501.01,3832.0,0.0,1364.6099999999997
6,214.7,381.0,270.3,229.8,154.2,0.0,2868.9,1409.52,3724.0,0.0,1804.42
7,212.2,380.0,270.5,228.2,155.2,0.1,3116.2,1305.24,3683.0,0.0,1984.6399999999994
8,212.9,379.0,270.4,261.7,155.2,41.4,3057.7,1119.31,3984.0,0.0,1513.6100000000006
9,215.2,377.8,270.4,331.3,156.7,146.7,3120.2,1116.59,4402.0,0.0,1332.8900000000003
10,214.0,376.5,270.3,330.4,155.9,228.6,3304.8,1510.92,4824.0,0.0,1567.42
11,217.4,374.1,270.5,330.4,148.9,258.7,3336.4,1517.58,5026.0,0.0,1427.9800000000005
12,217.4,373.4,270.2,305.9,151.9,255.9,3361.6,1522.92,4843.0,0.0,1616.2200000000003
13,216.4,371.3,270.5,260.7,148.5,223.1,3323.1,1482.47,4610.0,0.0,1686.0700000000006
14,221.8,371.0,270.0,265.5,154.4,202.2,3264.2,1243.48,4555.0,0.0,1437.58
15,218.7,370.9,270.2,263.4,150.8,138.1,3015.2,1451.74,4584.0,0.0,1295.039999999999
16,215.9,373.2,270.2,336.8,143.9,54.5,2839.2,1528.21,5063.0,0.0,698.9099999999999
17,215.4,374.1,269.9,444.0,148.9,1.4,2677.5,2004.17,5615.0,0.0,520.3700000000008
18,218.5,375.6,270.2,682.9,151.0,0.0,2695.6,1651.5,5750.0,0.0,295.2999999999993
19,218.2,378.6,270.1,756.0,152.8,0.0,2616.6,1769.9,5785.0,0.0,377.2000000000007
20,217.6,379.1,270.3,629.3,152.7,0.0,2589.2,1644.16,5661.0,0.0,221.35999999999967
21,214.9,379.3,270.0,664.4,150.0,0.0,2612.7,1463.46,5459.0,0.0,295.7599999999993
22,216.1,382.9,270.4,519.4,152.0,0.0,2729.6,1647.9,5040.0,0.0,878.2999999999993
23,214.1,386.4,270.2,393.5,152.7,0.0,2778.1,1979.03,4631.0,0.0,1543.0299999999997
24,212.9,387.3,269.9,513.7,150.9,0.0,2856.3,1517.17,4295.0,0.0,1613.17
25,210.7,387.9,270.1,234.6,149.7,0.0,2825.2,1348.85,4109.0,0.0,1318.0499999999993
26,207.6,387.5,270.3,197.7,145.9,0.0,2718.4,1417.99,4014.0,0.0,1331.3900000000003
27,208.7,385.9,289.4,170.7,148.0,0.0,2553.7,1549.15,3991.0,0.0,1314.5499999999993
28,205.2,386.7,340.3,162.5,149.4,0.0,2394.9,1448.78,4085.0,0.0,1002.7799999999997
29,202.3,388.6,444.8,283.5,148.1,0.0,2259.8,1265.0,4426.0,0.0,566.1000000000004
30,202.3,399.6,846.2,496.4,149.7,0.0,2414.0,141.47,4886.0,0.0,-236.32999999999993
31,201.3,582.4,1329.9,1547.0,150.8,0.2,2587.9,0.0,5555.0,1300.36,-455.8599999999999
32,202.9,736.3,1256.5,1819.0,148.7,42.2,2723.8,0.0,6191.0,1301.2,-562.8000000000004
33,204.1,860.5,1081.7,2070.2,148.2,145.4,2945.0,0.0,6516.0,1242.7,-303.6000000000006
34,201.6,910.8,1080.7,1833.1,146.8,207.7,2883.2,0.0,6747.0,728.63,-211.73000000000036
35,201.7,912.0,1081.8,1668.2,147.9,245.4,2785.2,0.0,6794.0,274.75,-26.550000000000182
36,202.0,908.3,1082.1,1587.7,148.7,238.7,2800.7,0.0,6726.0,156.27,85.9299999999989
37,203.3,908.8,1082.1,1210.3,150.2,190.8,2687.8,310.13,6808.0,0.0,-64.56999999999971
38,201.1,848.2,1077.2,874.8,148.0,155.2,2478.5,1041.16,6700.0,0.0,124.15999999999985
39,208.9,853.2,1100.4,879.3,150.1,104.2,2318.7,1105.07,6700.0,0.0,19.86999999999898
40,214.1,913.5,1250.3,1607.4,154.0,29.4,2224.6,328.57,7011.0,0.0,-289.130000000001
41,211.6,917.6,1280.3,1866.2,156.5,0.7,2183.1,414.79,7406.0,0.0,-375.21000000000004
42,212.9,922.8,1280.3,2132.8,157.6,0.0,2190.1,530.72,7507.0,0.0,-79.77999999999975
43,212.0,925.5,1280.4,2430.3,156.4,0.0,2289.7,235.03,7346.0,0.0,183.32999999999993
44,211.4,925.4,1280.6,1958.3,156.1,0.0,2349.3,483.18,7021.0,0.0,343.28000000000065
45,212.3,910.5,1203.0,1848.4,155.7,0.0,2356.1,353.78,6558.0,0.0,481.77999999999975
46,212.9,779.5,904.7,976.4,158.3,0.0,2351.1,1346.63,5887.0,0.0,842.5299999999997
47,205.5,572.0,931.7,463.0,155.8,0.0,2399.4,0.0,5333.0,0.0,-605.6000000000004
48,208.8,404.3,1084.0,523.4,154.3,0.0,2571.9,1558.36,4967.0,0.0,1538.0600000000004
49,209.4,394.2,1032.8,344.6,155.7,0.0,2615.1,1508.63,4712.0,0.0,1548.4299999999994
50,212.7,394.7,1040.7,317.0,155.8,0.0,2575.6,1503.21,4619.0,0.0,1580.71
51,209.4,394.8,1079.5,336.8,155.8,0.0,2341.5,1582.16,4577.0,0.0,1522.96
52,211.0,394.6,1074.0,410.2,155.2,0.0,2019.5,1544.34,4642.0,0.0,1166.8400000000001
53,207.3,395.4,1098.4,394.0,151.5,0.0,1776.3,1414.98,5014.0,0.0,423.880000000001
54,205.0,456.1,1247.4,567.3,150.8,0.0,1535.0,1456.23,5667.0,0.0,-49.17000000000007
