,hydro,nuclear,other_fossil,wind_onshore,DE -> SE,DK -> SE,FI -> SE,LT -> SE,NO -> SE,PL -> SE,demand,SE -> DE,SE -> DK,SE -> FI,SE -> LT,SE -> NO,SE -> PL,mismatch
0,4407.0,8542.0,1135.0,2199.0,75.9,1123.9,0.0,0.0,0.0,3.74,15714.0,0.0,0.0,966.1,206.3,1299.49,0.0,-699.3499999999995
1,4291.0,8540.0,1142.0,2253.0,76.0,1340.0,0.0,137.5,0.0,173.49,15745.0,0.0,0.0,937.8,0.0,1921.25,0.0,-651.0599999999986
2,4259.0,8541.0,1056.0,2224.0,75.9,1312.6,0.0,157.9,0.0,249.4,15508.0,0.0,0.0,782.1999999999999,0.0,2232.25,0.0,-646.6500000000005
3,4242.0,8542.0,1053.0,2154.0,75.9,1262.4,0.0,156.9,0.0,371.58,15324.0,0.0,0.0,789.0,0.0,2484.9,0.0,-740.1200000000013
4,4376.0,8540.0,1053.0,2183.0,76.0,1207.3,0.0,129.1,0.0,358.27,15516.0,0.0,0.0,805.77,0.0,2407.19,0.0,-806.2900000000018
5,4638.0,8541.0,1060.0,2236.0,75.8,991.8,0.0,20.1,0.0,199.24,15784.0,0.0,0.0,543.3499999999999,0.0,2297.09,0.0,-862.5000000000014
6,5051.0,8539.0,1064.0,2309.0,75.8,1284.8,0.0,116.3,0.0,241.36,16028.0,0.0,0.0,769.12,0.0,2515.06,0.0,-630.9200000000014
7,5454.0,8542.0,1070.0,2378.0,75.8,1244.3,0.0,121.2,0.0,191.95,16258.0,0.0,0.0,701.5,0.0,2728.57,0.0,-610.8200000000002
8,5895.0,8539.0,1101.0,2462.0,69.3,1062.7,0.0,125.2,0.0,185.41,16580.0,0.0,0.0,775.2,0.0,2642.79,0.0,-558.3799999999992
9,6725.0,8540.0,1111.0,2504.0,65.8,1295.4,0.0,0.0,0.0,0.21,17108.0,0.0,0.0,1151.3,64.5,2532.14,0.0,-614.5299999999997
10,7081.0,8539.0,1122.0,2449.0,65.9,1302.1,0.0,0.0,0.0,0.0,17322.0,0.0,0.0,1223.59,69.7,2615.38,0.0,-671.6700000000001
11,7340.0,8537.0,1130.0,2479.0,65.9,1319.2,0.0,0.0,0.0,0.0,17577.0,0.0,0.0,1168.0,96.6,2714.89,0.0,-685.3900000000012
12,7461.0,8538.0,1122.0,2435.0,65.9,1339.6,0.0,0.0,0.0,0.0,17674.0,0.0,0.0,1196.4,22.8,2779.67,0.0,-711.3699999999999
13,7703.0,8538.0,1132.0,2373.0,65.9,1331.0,0.0,0.0,0.0,0.0,17940.0,0.0,0.0,1339.62,10.2,2562.22,1.1,-710.2399999999984
14,8112.0,8538.0,1129.0,2439.0,65.9,1300.1,0.0,0.0,0.0,0.0,18464.0,0.0,0.0,1414.63,190.5,1988.64,182.4,-656.1700000000005
15,8496.0,8538.0,1135.0,2436.0,66.0,985.5,0.0,0.0,0.0,0.0,18882.0,0.0,0.0,1394.96,211.5,1373.91,499.1,-704.9699999999998
16,8655.0,8535.0,1141.0,2482.0,65.9,690.2,0.0,0.0,0.0,0.0,18964.0,0.0,0.0,1569.39,545.7,597.98,597.4,-705.3700000000017
17,8563.0,8535.0,1141.0,2512.0,100.5,365.0,0.0,0.0,0.0,0.0,18724.0,0.0,0.0,1485.14,536.4,564.24,597.4,-690.6799999999998
18,8517.0,8535.0,1137.0,2509.0,172.5,701.2,0.0,0.0,0.0,0.0,18444.0,0.0,0.0,1444.62,430.3,1226.52,597.4,-571.139999999999
19,8193.0,8536.0,1152.0,2454.0,198.6,680.4,0.0,0.0,0.0,0.0,17962.0,0.0,0.0,1273.26,283.1,1728.83,597.5,-630.69
20,8158.0,8538.0,1116.0,2416.0,248.1,541.2,0.0,0.0,0.0,0.0,17307.0,0.0,0.0,1555.56,324.9,1893.89,597.5,-661.5500000000011
21,7753.0,8536.0,1111.0,2362.0,296.7,712.6,0.0,0.0,0.0,0.0,16822.0,0.0,0.0,1654.69,155.2,2102.23,597.5,-560.3200000000006
22,6679.0,8537.0,1109.0,2277.0,377.6,1029.1,0.0,0.0,0.0,0.0,15874.0,0.0,0.0,1386.81,28.1,2250.5,483.7,-14.409999999998945
23,5262.0,8537.0,1086.0,2077.0,241.1,972.4,0.0,48.2,0.0,0.0,15306.0,0.0,0.0,782.5,0.0,2303.98,26.7,-195.4799999999991
24,4989.0,8537.0,1090.0,2001.0,244.4,1006.38,0.0,42.7,0.0,0.0,14998.0,0.0,0.0,618.8,0.0,2575.63,0.0,-281.9500000000007
25,4908.0,8536.0,1092.0,1951.0,244.6,831.9,0.0,32.6,0.0,0.0,14892.0,0.0,0.0,575.4,0.0,2457.16,0.0,-328.4600000000014
26,4859.0,8261.0,1092.0,1903.0,272.5,703.61,0.0,76.3,0.0,0.0,15036.0,0.0,0.0,486.7000000000001,0.0,2350.88,0.0,-706.1700000000005
27,5354.0,7338.0,1095.0,1861.0,302.7,597.62,0.0,8.4,0.0,0.0,16009.0,0.0,0.0,519.9,0.0,1824.56,0.0,-1796.7399999999989
28,6135.0,7337.0,1108.0,1815.0,365.2,654.6700000000001,0.0,0.0,0.0,0.0,16815.0,0.0,0.0,1240.74,38.7,770.04,0.4,-1450.0100000000011
29,8340.0,7336.0,1122.0,1766.0,44.8,695.09,0.0,10.7,0.0,0.0,17252.0,0.0,0.0,1683.71,0.0,301.86,173.2,-96.17999999999984
30,10743.0,7332.0,1202.0,1710.0,0.0,0.0,0.0,0.0,1517.42,0.0,19206.0,453.5,432.32,1751.2,101.3,0.0,529.8,30.299999999998363
31,11711.0,7329.0,1216.0,1638.0,0.0,0.0,0.0,0.0,1855.98,0.0,19705.0,608.0,681.85,1536.3,413.0,0.0,597.4,208.42999999999984
32,12097.0,7330.0,1193.0,1527.0,0.0,0.0,0.0,0.0,2052.3,0.0,19794.0,610.3,1121.53,1781.2,230.3,0.0,597.4,64.56999999999971
33,12253.0,7328.0,1219.0,1443.0,0.0,0.0,0.0,0.0,2359.85,0.0,20224.0,610.5,1230.8,1823.46,237.5,0.0,597.4,-120.81000000000131
34,12290.0,7320.0,1223.0,1359.0,0.0,0.0,0.0,0.0,2556.85,0.0,20342.0,610.5,1311.84,1794.0,301.5,0.0,597.4,-208.39000000000124
35,12240.0,7319.0,1208.0,1285.0,0.0,0.0,0.0,0.0,2708.19,0.0,20308.0,610.5,1370.36,1930.66,263.1,0.0,597.5,-319.9300000000012
36,12217.0,7318.0,1203.0,1266.0,0.0,0.0,0.0,0.0,2732.48,0.0,20167.0,610.5,1259.91,1987.37,320.3,0.0,597.6,-206.20000000000073
37,12223.0,7319.0,1192.0,1293.0,0.0,0.0,0.0,0.0,3042.49,0.0,20272.0,610.5,1128.92,2267.55,290.4,0.0,597.6,-97.48000000000229
38,12352.0,7318.0,1132.0,1338.0,0.0,0.0,0.0,0.0,2937.93,0.0,20792.0,610.4,1120.59,2004.19,89.7,0.0,597.6,-136.54999999999927
39,12347.0,7317.0,1112.0,1374.0,0.0,0.0,0.0,71.2,2767.13,0.0,20972.0,610.2,1344.24,1648.93,0.0,0.0,597.6,-184.6399999999985
40,12213.0,7316.0,1138.0,1410.0,0.0,0.0,0.0,48.6,2845.66,0.0,21176.0,610.1,1525.91,1472.68,0.0,0.0,597.7,-411.1300000000019
