,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,CZ -> SK,HU -> SK,PL -> SK,demand,SK -> CZ,SK -> HU,SK -> PL,mismatch
0,28.2,175.6,48.1,455.93,179.5,1819.3,478.8,41.4,0.0,1153.93,0.0,431.6,2734.27,0.0,1431.7,0.0,646.3900000000006
1,28.1,172.9,48.0,461.95,177.9,1816.7,475.8,41.0,0.0,1127.55,0.0,431.7,2658.82,0.0,1335.73,0.0,787.0500000000002
2,28.1,162.1,46.7,513.39,174.7,1808.7,469.5,40.8,0.0,1067.03,0.0,424.2,2582.76,0.0,1332.91,0.0,819.55
3,29.7,140.3,45.3,587.83,168.5,1803.6,455.6,39.4,0.0,1088.43,0.0,435.4,2567.72,0.0,1363.38,0.0,862.9599999999996
4,29.5,143.5,46.4,562.89,170.6,1809.1,461.5,40.4,0.0,1119.6,0.0,439.2,2562.35,0.0,1345.0,0.0,915.3399999999997
5,29.4,132.8,44.6,517.13,166.4,1752.8,445.7,40.4,0.0,1207.3,0.0,443.8,2612.95,0.0,1369.49,0.0,797.8900000000001
6,29.0,130.1,44.6,599.47,166.0,1736.0,437.5,40.2,0.0,1239.88,0.0,461.7,2607.92,0.0,1433.98,0.0,842.5499999999997
7,29.0,128.3,44.7,628.86,166.4,1734.1,436.8,38.4,0.0,1386.08,0.0,479.0,2683.77,0.0,1404.96,0.0,982.9099999999994
8,29.2,126.9,44.6,584.68,166.2,1734.0,434.3,38.8,1.3,1313.3,0.0,463.5,2827.21,0.0,1402.88,0.0,706.6900000000005
9,28.9,151.3,46.4,578.18,173.1,1784.8,451.3,39.8,3.9,1254.4,0.0,465.8,2918.55,0.0,1503.5,0.0,555.8299999999999
10,28.6,163.3,47.7,593.48,178.0,1817.3,462.9,41.3,7.6,1296.75,0.0,486.6,3047.91,0.0,1503.7,0.0,571.9200000000008
11,29.0,169.9,48.9,610.26,180.2,1820.7,464.6,40.3,12.6,1157.23,0.0,440.7,3013.77,0.0,1434.64,0.0,525.9800000000002
12,28.7,178.9,49.7,649.61,181.9,1822.3,474.6,40.5,12.8,1055.05,0.0,336.0,3030.66,0.0,1304.05,0.0,495.3500000000006
13,27.9,181.6,50.0,680.41,179.4,1821.2,478.7,40.1,9.5,929.18,0.0,290.1,2995.06,0.0,1224.53,0.0,468.5000000000002
14,28.7,181.0,49.8,715.83,178.1,1820.7,477.1,41.1,5.7,821.08,0.0,284.5,2961.26,0.0,1144.8,0.0,497.5499999999995
15,28.8,180.4,49.7,707.11,178.3,1822.2,478.7,41.2,1.5,886.2,0.0,269.2,3066.84,0.0,1073.56,0.0,502.9099999999994
16,28.7,170.5,48.5,660.43,179.1,1816.3,474.4,40.4,0.0,787.63,0.0,217.8,3125.36,0.0,1017.13,0.0,281.2700000000001
17,29.1,179.0,49.6,690.49,181.6,1821.9,487.4,40.5,0.0,815.38,0.0,215.1,3155.2,0.0,1012.87,0.0,341.9999999999999
18,28.7,177.0,49.3,677.68,181.1,1820.6,486.7,40.8,0.0,817.4,0.0,185.4,3137.91,0.0,1038.0,0.0,288.77000000000044
19,28.5,178.1,49.6,714.75,180.4,1821.9,491.8,39.9,0.0,846.65,0.0,262.2,3107.53,0.0,1140.3,0.0,365.97
20,28.9,176.2,49.1,727.86,179.2,1816.2,490.4,40.4,0.0,735.35,0.0,206.0,3010.61,0.0,1087.6,0.0,351.40000000000055
21,28.7,176.3,49.3,705.62,180.0,1819.5,489.7,40.0,0.0,608.43,0.0,151.6,2901.5,0.0,954.77,0.0,392.87999999999965
22,28.9,176.3,48.8,608.75,178.0,1816.3,485.0,38.8,0.0,511.2,0.0,140.4,2779.64,0.0,937.67,0.0,315.14000000000044
23,28.9,174.5,48.5,593.15,178.2,1817.5,485.0,39.5,0.0,211.55,0.0,181.3,2677.03,0.0,840.24,0.0,240.8299999999997
24,28.4,175.7,53.8,583.23,187.3,1815.8,483.7,39.2,0.0,0.0,0.0,136.2,2570.41,20.8,694.79,0.0,217.3299999999997
25,27.9,168.3,54.5,571.81,185.9,1813.4,479.2,38.4,0.0,0.0,0.0,128.8,2546.0,121.03,626.26,0.0,174.92000000000007
26,28.4,172.8,56.3,555.71,187.2,1816.5,481.6,36.8,0.0,0.0,0.0,109.5,2517.74,174.2,574.7,0.0,178.17000000000007
27,28.6,168.0,54.4,545.4,186.4,1813.0,478.6,34.9,0.0,0.0,0.0,199.4,2602.72,7.949999999999999,742.63,0.0,155.40000000000043
28,28.4,175.6,58.5,565.43,189.3,1845.1,484.9,34.4,0.0,211.65,0.0,273.3,2762.13,0.0,879.03,0.0,225.41999999999985
29,28.3,175.3,57.1,584.74,188.2,1880.5,488.4,34.2,0.0,504.93,0.0,320.3,3077.94,0.0,954.73,0.0,229.30000000000018
